percent_of_white_psal,number_of_students_entering_8,percent_of_students_entering_1,percent_of_students_entering,number_of_students_entering_2,number_of_white_students,percent_of_english_language,number_of_female_students,percent_of_students_entering_7,percent_of_female_psal,number_of_male_students,number_of_students_entering_4,percent_of_students_entering_2
2.2,182,0,0,0,21,19.7,419,27.4,44.6,520,s,0
21.2,1442,0,0,s,1513,5.6,3479,25.7,48.7,3665,38,s
21.9,144,0,0,s,140,3.3,316,23.0,49.5,323,14,s
s,65,0,0,s,s,17.6,169,22.9,41.2,241,s,s
19.3,s,0,0,0,352,8.3,840,s,46.0,988,s,0
16.6,400,0,0,0,303,1.3,940,30.1,51.4,890,s,0
31.2,95,0,0,s,139,5.6,193,24.5,43.4,252,s,s
7.4,s,0,0,0,61,9.2,310,s,37.5,517,s,0
