percent_of_students_entering_6,total_number_of_students,percent_of_students_entering_5,number_of_asian_students,number_of_students_entering,percent_of_students_entering_4,number_of_english_language,percent_of_black_psal,percent_of_asian_psal
29.1,939,23.7,11,0,s,185,34.4,1.2
27.5,1294,25.3,194,0,s,96,31.9,15.0
27.8,1693,27.6,397,0,s,42,27.9,23.4
29.1,1692,28.3,302,0,0.6,104,6.4,17.8
28.7,749,27.1,32,0,s,69,30.2,4.3
27.1,36150,25.8,5670,0,0.5,2157,27.5,15.7
27.8,562,s,54,0,s,35,31.9,9.6
