hh_id,changed_income,modes_before_tnc,shopping_food_in_store,attitude_telework,subway_attitude_none,bike_purpose_visit_friend,employment_change_pay,modes_before_bike,bus_attitude_empty_seats,bike_type_borrowed,work_mode_cms,employment_change_reduced,disability_none_cms,mode_change_errands,errand_mode,modes_used_other_vehicle,home_cms_zone,gender_cms,subway_attitude_limit,bike_freq_cms,bike_num_days,num_people_cms,industry,modes_before_scooter,bus_attitude_stops,medical_appointment,race_other_cms,race_asian_cms,shopping_food_grocery_delivery,num_people,employment_change_furloughed,employment_change_none,exercise_sidewalk,attitude_grocery_in_store,delivery_home,employment_before,changed_none,bus_attitude_none,num_vehicles,bike_purpose_recreation_cms,bus_attitude_all,delivery_major_retailer,age_65_over_imputed,num_vehicles_cms,car_use,modes_during_rail,changed_num_adults,modes_during_other_vehicle,modes_during_ferry,modes_during_scooter,exercise_open_street,modes_during_tnc,modes_used_household_vehicle,telework_before,disability_hearing_cms
19797249,0,0,2,1,3,995,0,0,995,995,105,0,1,2,995,0,Outer Brooklyn,2,2,5,0,1,995,0,995,0,0,0,0,995,0,1,1,1,0,1,1,995,995,995,995,0,0,0,995,0,0,0,0,0,1,0,0,8,0
19155306,0,0,0,995,995,995,995,0,1,995,995,995,0,2,995,0,Southern Bronx,1,995,5,0,3,995,0,1,0,0,0,0,3,995,995,995,3,0,5,0,2,995,995,1,0,0,0,995,0,1,0,0,0,995,0,0,995,0
19794099,1,1,3,995,2,1,0,1,995,0,995,0,1,2,995,0,Inner Queens,2,1,1,1,1,995,0,995,1,0,0,0,995,0,1,1,1,3,3,0,995,995,1,995,2,0,1,995,0,0,0,1,0,0,0,0,2,0
19262663,0,0,0,5,2,995,0,0,995,995,105,0,1,1,1,0,Upper Manhattan,1,1,5,0,1,995,0,995,0,0,0,1,1,0,1,1,4,0,1,1,995,995,995,995,0,0,0,995,0,0,0,0,0,0,0,0,8,0
19012312,0,1,0,1,995,995,0,0,2,995,105,0,1,2,995,0,Inner Queens,1,995,5,0,1,995,0,2,0,0,1,1,995,0,0,995,3,3,1,1,3,995,995,2,1,-9999,0,995,0,0,0,0,0,995,1,0,5,0
19046088,0,0,3,5,995,995,0,0,1,995,100,1,1,2,995,7,Inner Brooklyn,2,995,5,0,5,3,0,1,0,0,0,1,995,0,0,995,1,7,1,1,2,995,995,1,7,0,2,2,0,0,1,0,0,995,0,7,8,0
192624173,0,0,1,1,4,995,0,1,995,995,105,0,1,1,5,0,Inner Brooklyn,1,3,2,0,2,995,0,995,0,0,1,0,995,0,1,1,3,0,2,0,995,995,0,995,0,0,0,995,0,0,0,0,0,0,0,0,8,0
19702567,0,1,1,3,995,995,0,0,2,995,102,0,1,1,9,0,Middle Queens,1,995,5,0,4,995,0,2,1,0,0,0,995,0,0,1,2,1,2,1,2,995,995,1,0,0,1,995,0,0,0,0,0,0,0,0,8,0
19282504,0,0,2,995,995,995,995,0,2,995,995,995,1,2,995,0,Inner Brooklyn,1,995,5,0,2,995,0,2,0,0,0,0,995,995,995,1,1,3,6,1,3,995,995,2,4,2,1,1,0,0,0,0,0,0,0,2,995,0
19807824,0,1,0,995,4,995,0,1,995,995,995,0,1,1,9,0,Inner Queens,1,2,4,0,2,995,0,995,0,0,0,0,995,0,0,1,2,2,1,1,995,995,1,995,2,0,0,995,0,0,0,0,0,0,0,0,1,0
19718448,0,1,6,995,995,995,995,0,1,995,995,995,1,2,995,0,Southern Bronx,2,995,5,0,2,995,0,1,1,0,0,0,995,995,995,0,1,0,5,1,1,995,995,1,0,0,0,2,0,0,0,0,0,0,1,0,995,0
19595248,0,0,3,995,995,995,0,0,3,995,105,0,1,1,1,0,Southern Bronx,1,995,3,0,5,995,0,3,0,0,1,0,4,0,1,1,3,2,1,0,3,995,1,3,2,0,1,1,0,1,0,0,0,0,0,0,8,0
19429695,0,1,1,995,995,995,995,1,3,995,995,995,1,2,995,0,Southern Bronx,2,995,5,0,6,995,0,4,0,999,999,0,995,995,995,0,3,1,6,1,4,995,995,3,0,0,0,995,0,0,0,0,0,0,0,0,995,0
19187283,0,0,4,995,995,995,995,0,1,995,995,995,0,2,995,0,Inner Queens,2,995,4,0,1,995,0,1,0,0,0,0,995,995,995,1,1,0,5,1,5,995,1,1,0,0,0,995,0,0,0,0,0,0,0,0,995,0
19054390,0,1,0,1,995,995,0,0,1,995,106,0,1,2,995,0,Northern Bronx,1,995,5,0,4,995,0,1,0,0,0,2,995,0,1,995,3,1,1,1,5,995,995,1,1,-9999,1,995,0,0,0,0,0,995,0,0,8,0
191601905,1,1,3,995,2,995,0,0,995,995,105,0,1,2,995,0,Upper Manhattan,1,1,5,0,1,995,0,995,0,999,999,0,2,0,0,1,1,2,1,0,995,995,995,995,0,0,0,995,0,1,0,0,0,0,0,0,4,0
197556698,0,1,2,2,4,0,0,0,995,0,105,0,1,1,9,0,Inner Brooklyn,2,4,4,1,2,997,0,995,0,0,1,0,2,0,1,1,2,3,1,0,995,995,1,995,1,0,0,995,0,1,0,0,1,0,1,0,8,0
19491184,0,0,5,995,995,0,0,0,3,0,105,0,1,2,995,0,Staten Island,2,995,4,4,4,995,0,3,0,0,0,0,995,0,0,1,1,3,2,0,3,4,1,3,1,0,3,2,0,0,0,0,0,0,0,3,8,0
198077751,1,0,0,5,995,995,0,0,2,995,105,0,1,1,9,0,Manhattan Core,1,995,5,0,2,995,0,2,1,0,0,0,2,0,1,995,4,0,1,0,2,995,995,4,0,0,0,995,0,0,0,0,0,995,0,0,7,0
19295945,0,0,0,1,4,995,0,1,995,995,105,0,1,1,2,0,Inner Queens,2,5,3,0,2,995,0,995,0,0,0,2,995,0,1,1,2,1,1,1,995,995,0,995,0,0,1,1,0,0,0,0,0,0,0,2,5,0
19029229,0,0,1,995,995,995,0,0,1,995,102,0,1,1,2,0,Inner Queens,1,995,5,0,5,995,0,1,0,0,1,0,995,0,1,1,1,0,2,1,1,995,995,1,0,-9999,1,1,0,0,0,0,0,0,0,1,8,0
19618291,0,1,1,995,995,995,0,0,1,995,105,0,1,2,995,0,Staten Island,2,995,2,0,1,995,0,1,0,0,0,0,995,0,0,1,1,2,2,1,1,995,1,1,0,0,0,995,0,0,0,0,0,0,0,0,8,0
19454920,1,0,2,995,995,995,995,0,2,995,995,995,1,2,995,1,Staten Island,2,995,5,0,2,995,0,2,1,0,0,0,995,995,995,1,1,2,6,0,4,995,995,2,1,1,2,1,0,0,0,0,0,0,0,2,995,0
19345002,1,0,2,995,995,995,0,0,1,995,102,0,0,2,995,0,Northern Bronx,1,995,5,0,2,995,0,3,1,999,999,0,995,0,0,1,2,3,1,0,3,995,995,1,3,-9999,1,2,0,0,0,0,0,0,0,2,8,0
19790332,0,0,1,3,995,995,0,0,2,995,102,0,1,1,9,2,Northern Bronx,2,995,5,0,4,995,0,2,1,999,999,0,995,0,1,995,3,0,1,1,2,995,995,2,0,-9999,0,995,0,0,0,0,0,995,0,0,8,0
19840270,0,0,1,995,995,995,995,0,3,995,995,995,1,2,995,0,Northern Bronx,1,995,4,0,2,995,0,3,0,0,0,0,995,995,995,995,1,2,6,1,3,995,1,3,2,0,2,2,0,0,0,0,0,995,0,1,995,0
196350723,1,1,2,995,995,995,0,1,3,995,105,0,1,2,995,0,Inner Brooklyn,1,995,-9998,0,2,995,0,4,0,0,0,0,995,0,0,1,1,1,1,0,4,995,-9998,1,1,-9999,0,995,0,0,0,0,0,0,0,0,5,0
