job_number,bin,latitude,longitude,version,datefiled,units_co,classanet,classainit,bctcb2020
200623806,2126461,40.88077317689581,-73.82772167789537,25Q2,2000-05-17T00:00:00.000,,3.0,0.0,20462033009.0
B08050434,3063319,40.71071994119467,-73.95926282600755,25Q2,2023-01-06T00:00:00.000,6.0,6.0,0.0,30523002001.0
B00920911,3326183,40.698152035481215,-73.91090248018136,25Q2,2023-08-28T00:00:00.000,,2.0,0.0,30439002004.0
B00852647,3055002,40.69343994588078,-73.95626826530335,25Q2,2023-04-04T00:00:00.000,,8.0,0.0,30235002000.0
201075184,2115533,40.840098453162895,-73.88825620729249,25Q2,2006-09-01T00:00:00.000,2.0,2.0,0.0,20367001002.0
M00565578,1057899,40.80968581660736,-73.94645675206658,25Q2,2021-08-04T00:00:00.000,,2.0,0.0,10224002001.0
301860706,3139359,40.632881,-73.996581,25Q2,2007-05-17T00:00:00.000,,2.0,0.0,30218001002.0
M00729758,1062610,40.835602408367386,-73.9388694547331,25Q2,2022-05-13T00:00:00.000,,2.0,0.0,10243012000.0
B01123588,3855925,40.708183,-73.961392,25Q2,2024-10-08T00:00:00.000,,7.0,0.0,30525002001.0
B00921440,3062655,40.71394522326294,-73.95865574301791,25Q2,2023-08-21T00:00:00.000,,-2.0,3.0,30519003007.0
Q00602704,4051237,40.72985950515286,-73.85155177346884,25Q2,2021-10-04T00:00:00.000,,0.0,2.0,40721005002.0
M08050063,1040033,40.75994067436603,-73.96404944534343,25Q2,2023-01-26T00:00:00.000,,1.0,0.0,10108022000.0
322087790,3079250,40.687816,-73.910158,25Q2,2020-11-23T00:00:00.000,,-2.0,2.0,30413001002.0
M00514918,1080594,40.746178071210295,-73.99144781550925,25Q2,2021-05-21T00:00:00.000,,0.0,0.0,10095001002.0
X01121277,2131029,40.83138619134439,-73.89052285187967,25Q2,2024-10-04T00:00:00.000,,37.0,0.0,20123001000.0
420910973,4039957,40.74397044979661,-73.8715799935935,25Q2,2014-01-15T00:00:00.000,3.0,3.0,0.0,40463002001.0
B00987249,3111347,40.64256853060645,-73.94749029764792,25Q2,2024-01-15T00:00:00.000,,10.0,0.0,30830001002.0
123101543,1013098,40.742964350450094,-74.0019998685424,25Q2,2017-06-12T00:00:00.000,,1.0,0.0,10089002001.0
B00957989,3042251,40.67796039530995,-73.90909477555174,25Q2,2023-11-29T00:00:00.000,,5.0,2.0,30369002000.0
123172716,1091040,40.815507037965865,-73.94261972293204,25Q2,2017-10-23T00:00:00.000,27.0,27.0,0.0,10228002000.0
B00922459,3137185,40.63766982552766,-73.99388462079345,25Q2,2023-08-24T00:00:00.000,,2.0,0.0,30222002002.0
M00499952,1091035,40.745518618831504,-73.99791299337389,25Q2,2021-07-08T00:00:00.000,190.0,190.0,0.0,10091002000.0
M08035543,1091748,40.802275,-73.944675,25Q2,2024-09-18T00:00:00.000,,2.0,0.0,10184001000.0
Q00852652,4299975,40.60699547080335,-73.76484728779955,25Q2,2023-04-05T00:00:00.000,,0.0,1.0,41008011006.0
M00948794,1058710,40.81318351815265,-73.94602407804793,25Q2,2024-01-17T00:00:00.000,,0.0,9.0,10226003003.0
210178216,2130524,40.83308160534527,-73.92885621833321,25Q2,2018-06-12T00:00:00.000,,7.0,0.0,20189004001.0
B08005429,3114090,40.635816,-73.944363,25Q2,2022-10-31T00:00:00.000,,8.0,0.0,30784001003.0
B00665953,3039964,40.68558085768569,-73.91877576375113,25Q2,2023-11-09T00:00:00.000,,1.0,4.0,30377001000.0
B00987075,3025757,40.66730118220389,-73.97932840989318,25Q2,2024-02-01T00:00:00.000,,1.0,1.0,30153002000.0
B00632050,3429217,40.68409061,-73.87599532,25Q2,2022-02-15T00:00:00.000,,3.0,0.0,31176012001.0
B01224916,3070177,40.71673611473414,-73.94166507328023,25Q2,2025-06-06T00:00:00.000,,10.0,0.0,30477002004.0
B01175942,3426234,40.61896295146191,-73.90317469832567,25Q2,2025-03-07T00:00:00.000,,2.0,0.0,30706011002.0
M01135979,1010312,40.72554306008482,-74.0079273583634,25Q2,2024-12-04T00:00:00.000,,8.0,0.0,10037001017.0
M01090928,1055806,40.803175065303726,-73.95782046483252,25Q2,2024-08-21T00:00:00.000,,0.0,59.0,10197021000.0
B00785354,3063655,40.711009,-73.966101,25Q2,2022-11-01T00:00:00.000,7.0,7.0,0.0,30549002016.0
B01009693,3389541,40.67294719885734,-73.88782645895417,25Q2,2024-02-26T00:00:00.000,10.0,8.0,2.0,31150002005.0
Q00567930,4.466645E+6,40.556881,-73.920731,25Q2,2021-08-10T00:00:00.000,,1.0,0.0,40916036031.0
B01076560,3074389,40.69680990747067,-73.92396953331837,25Q2,2024-07-29T00:00:00.000,,8.0,0.0,30421002002.0
M08046785,1067309,40.73614957265105,-73.99942767853412,25Q2,2023-06-08T00:00:00.000,,0.0,3.0,10071003000.0
Q00543172,4623771,40.74646569749698,-73.9067492043734,25Q2,2021-07-27T00:00:00.000,3.0,3.0,0.0,40257001008.0
Q00754013,4100807,40.768781,-73.832,25Q2,2022-08-30T00:00:00.000,,17.0,0.0,40889021002.0
B01203403,3255913,40.70924774527492,-73.96316831869983,25Q2,2025-03-31T00:00:00.000,,0.0,9.0,30547003000.0
Q00517918,4623459,40.561655,-73.918184,25Q2,2021-05-20T00:00:00.000,1.0,1.0,0.0,40916034004.0
B01054603,3119923,40.64184217581114,-73.9507463161156,25Q2,2024-05-29T00:00:00.000,,8.0,0.0,30828003002.0
Q01088465,4625211,40.717331,-73.833854,25Q2,2024-08-05T00:00:00.000,,6.0,0.0,40757013003.0
321383276,3066720,40.722224,-73.950128,25Q2,2018-07-03T00:00:00.000,,8.0,0.0,30569001002.0
B01225325,3000396,40.69184603434753,-73.98649136200241,25Q2,2025-05-20T00:00:00.000,,-6.0,6.0,30011001006.0
121193190,1813187,40.810637,-73.942916,25Q2,2015-05-11T00:00:00.000,,26.0,0.0,10208002000.0
B01221563,3097331,40.659542336744025,-73.8910227841128,25Q2,2025-05-20T00:00:00.000,,4.0,6.0,31104002001.0
B00953948,3068642,40.714486398092056,-73.9503207722865,25Q2,2023-11-07T00:00:00.000,,1.0,0.0,30501003018.0
201127510,2007705,40.84948925378972,-73.90430819691252,25Q2,2007-05-25T00:00:00.000,29.0,29.0,0.0,20235021002.0
X00742070,2005675,40.825793,-73.895461,25Q2,2022-06-07T00:00:00.000,,13.0,0.0,20131004000.0
B00885771,3137240,40.635359,-73.990117,25Q2,2023-06-20T00:00:00.000,,2.0,0.0,30234002000.0
220306381,2123926,40.862230949022056,-73.86387834301189,25Q2,2013-06-06T00:00:00.000,2.0,2.0,0.0,20328004002.0
B01037461,3062137,40.71513689853056,-73.95391477477246,25Q2,2024-05-16T00:00:00.000,,6.0,0.0,30519002006.0
Q00523537,4112220,40.760912,-73.834154,25Q2,2021-06-09T00:00:00.000,,150.0,0.0,40869001019.0
X00684456,2129722,40.869626,-73.892684,25Q2,2022-03-15T00:00:00.000,21.0,21.0,0.0,20403031003.0
B00927550,3059207,40.68641959740044,-73.97708094319856,25Q2,2024-02-01T00:00:00.000,,1.0,1.0,30035001000.0
S01185887,5176985,40.57138659760884,-74.09912836240346,25Q2,2025-03-13T00:00:00.000,,2.0,0.0,50112032017.0
B01003851,3021906,40.66931712011661,-73.98354607231474,25Q2,2024-02-14T00:00:00.000,,0.0,4.0,30137003003.0
