job_number,addressnum,occ_prop,ntaname20,:@computed_region_f5dn_yrer,policepcnt,hotelinit,firedivsn,bldg_class,pl_pfirm15,boro,job_type,classaprop,schsubdist,compltyear,datepermit,specldst2
B01241439,474,Empty Site,Bedford-Stuyvesant (East),69.0,81.0,,15.0,1 Family,,3,Demolition,0.0,16_2,,,
S00767656,183,,New Dorp-Midland Beach,30.0,122.0,0.0,8.0,2 Family,1.0,5,New Building,2.0,31_3,,2023-10-30T00:00:00.000,
B01100641,2143,,Mapleton-Midwood (West),2.0,66.0,0.0,8.0,3 Family,,3,New Building,3.0,21_3,,2025-03-19T00:00:00.000,
Q00564000,252-35,,Douglaston-Little Neck,26.0,111.0,,14.0,1 Family,,4,Alteration,1.0,26_3,2023.0,,
M08055337,219,,East Village,70.0,9.0,,1.0,2 Family,,1,Alteration,2.0,1_3,,,
B01161645,87,,Prospect Lefferts Gardens-Wingate,17.0,71.0,0.0,15.0,Other,,3,New Building,8.0,17_2,,2025-03-26T00:00:00.000,
M00683925,1026,,Upper East Side-Carnegie Hill,23.0,19.0,0.0,3.0,Other,,1,New Building,108.0,2_5,,2023-06-21T00:00:00.000,
B01226303,1463,,Midwood,60.0,70.0,,15.0,1 Family,,3,Alteration,1.0,21_3,,,
B00760649,7917,,Dyker Heights,10.0,68.0,0.0,8.0,1 Family,,3,New Building,1.0,20_2,,,
B00991959,181,,Williamsburg,36.0,94.0,,11.0,1 Family,,3,Alteration,1.0,14_3,,2024-12-09T00:00:00.000,
122483455,91,Residential: 3 or More Units (R-2),Lower East Side,70.0,7.0,0.0,1.0,D3,,1,New Building,44.0,1_2,2019.0,2017-12-14T00:00:00.000,
B00813913,60,,South Williamsburg,36.0,90.0,0.0,11.0,Other,,3,New Building,3.0,14_1,,2025-05-09T00:00:00.000,
Q00530829,25-89,,Astoria (Central),39.0,114.0,0.0,14.0,2 Family,,4,New Building,2.0,30_2,,,
B00909222,2757,,Cypress Hills,45.0,75.0,0.0,15.0,Other,,3,New Building,8.0,19_1,,2025-04-22T00:00:00.000,EC-6
301989515,1295,Residential: 1-2 Family Houses (J-3),Bushwick (West),42.0,83.0,0.0,11.0,S2,,3,New Building,2.0,32_2,2011.0,2005-11-23T00:00:00.000,
B01056928,15,Empty Site,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,32.0,61.0,,8.0,1 Family,1.0,3,Demolition,0.0,22_3,,,
