bin,borough,queens_cooperatives_comparable_properties_gross_income_per_sqft,comparable_rental_2_neighborhood,comparable_rental_1_est_gross_income,queens_cooperatives_comparable_properties_building_classification,comparable_rental_1_gross_sqft,queens_cooperatives_comparable_properties_year_built,comparable_rental_2_building_classification
4206510.0,4,14.9,BRIARWOOD,978460,D4-ELEVATOR,69384,1954,D1-ELEVATOR
4212289.0,4,12.4,HOLLIS,497549,D4-ELEVATOR,45000,1963,D1-ELEVATOR
4115670.0,4,12.4,JACKSON HEIGHTS,1300355,D4-ELEVATOR,87408,1956,D1-ELEVATOR
4443788.0,4,7.7,RICHMOND HILL,375000,C6-WALK-UP,34695,1950,C1-WALK-UP
4460302.0,4,12.0,FLUSHING-SOUTH,115233,C6-WALK-UP,12580,1948,C9-WALK-UP
4117143.0,4,14.51,FLUSHING-NORTH,1520907,D4-ELEVATOR,106848,1959,D1-ELEVATOR
,4,12.4,JACKSON HEIGHTS,579491,D4-ELEVATOR,46854,1938,D1-ELEVATOR
,4,7.64,FAR ROCKAWAY,2971163,D4-ELEVATOR,236400,1936,D1-ELEVATOR
4039012.0,4,11.0,REGO PARK,2240993,D4-ELEVATOR,172494,1951,D7-ELEVATOR
,4,13.0,REGO PARK,748781,D4-ELEVATOR,62400,1956,D1-ELEVATOR
4170057.0,4,11.75,JAMAICA,886397,D4-ELEVATOR,68257,1964,D1-ELEVATOR
,4,12.75,FLUSHING-NORTH,2277003,D4-ELEVATOR,161508,1956,D3-ELEVATOR
,4,11.5,FLUSHING-NORTH,453667,D4-ELEVATOR,43000,1958,D1-ELEVATOR
4.0357120E+6,4,11.0,JACKSON HEIGHTS,1101205,D4-ELEVATOR,100000,1956,D1-ELEVATOR
,4,12.75,ELMHURST,192140,C6-WALK-UP,15752,1921,C1-WALK-UP
4443729.0,4,14.57,BAYSIDE,2134727,D4-ELEVATOR,146525,1961,D3-ELEVATOR
4037714.0,4,11.5,ELMHURST,757477,D4-ELEVATOR,65000,1962,D1-ELEVATOR
4078759.0,4,14.1,FOREST HILLS,345009,D4-ELEVATOR,24408,1930,D1-ELEVATOR
4436431.0,4,14.04,FAR ROCKAWAY,3013652,D4-ELEVATOR,214701,1960,D1-ELEVATOR
4046343.0,4,10.7,JACKSON HEIGHTS,1101205,D4-ELEVATOR,100000,1965,D1-ELEVATOR
,4,7.64,FAR ROCKAWAY,2971163,D4-ELEVATOR,236400,1922,D1-ELEVATOR
4433333.0,4,11.75,FLUSHING-NORTH,2277003,D4-ELEVATOR,161508,1959,D1-ELEVATOR
,4,10.84,JACKSON HEIGHTS,86578,C6-WALK-UP,10208,1917,C1-WALK-UP
4037155.0,4,13.0,ELMHURST,781531,D4-ELEVATOR,60000,1940,D1-ELEVATOR
4433327.0,4,11.25,FLUSHING-NORTH,2277003,D4-ELEVATOR,161508,1957,D1-ELEVATOR
4051462.0,4,16.2,FOREST HILLS,935938,D4-ELEVATOR,52800,1950,D1-ELEVATOR
,4,11.57,FAR ROCKAWAY,793994,D4-ELEVATOR,73500,1928,D1-ELEVATOR
4455901.0,4,12.0,FLUSHING-SOUTH,115233,C6-WALK-UP,12580,1952,C9-WALK-UP
4451270.0,4,13.5,BAYSIDE,596412,C6-WALK-UP,44100,1949,C1-WALK-UP
4104354.0,4,11.5,FLUSHING-NORTH,453667,D4-ELEVATOR,43000,1958,D1-ELEVATOR
4431979.0,4,14.1,FOREST HILLS,1600499,D4-ELEVATOR,97200,1949,D1-ELEVATOR
,4,12.75,ELMHURST,192140,C6-WALK-UP,15752,1921,C1-WALK-UP
,4,13.2,FLUSHING-NORTH,4840000,D4-ELEVATOR,317277,1957,D7-ELEVATOR
,4,13.25,BAYSIDE,596412,C6-WALK-UP,44100,1949,C1-WALK-UP
4455454.0,4,14.0,BRIARWOOD,2596037,D4-ELEVATOR,219516,1952,D1-ELEVATOR
4192309.0,4,11.0,HOLLIS,677927,D4-ELEVATOR,61000,1928,D1-ELEVATOR
,4,12.75,ELMHURST,192140,C6-WALK-UP,15752,1921,C1-WALK-UP
4052582.0,4,14.5,FLUSHING-NORTH,1418367,D4-ELEVATOR,95644,1940,D1-ELEVATOR
