bin,staten_island_cooperatives_comparable_properties_gross_income_per_sqft,staten_island_cooperatives_comparable_properties_building_classification,staten_island_cooperatives_comparable_properties_total_units,comparable_rental_1_year_built,staten_island_cooperatives_comparable_properties_est_gross_income,comparable_rental_1_market_value_per_sqft
5108585,12.51,C6-WALK-UP,24,1973,217899,39.6
5113337,11.35,D4-ELEVATOR,17,1920,285731,33.4
5008972,10.92,D4-ELEVATOR,143,1973,1395148,32.7
5131612,10.98,C6-WALK-UP,19,1991,408676,18.4
5000009,10.75,D4-ELEVATOR,140,1976,1563096,17.35
