fullpermitno,trailerstate,axle10space,endzipcode,truckyear,permitallowedto,axle5weight,overallheight,trailerlength,totalnumberofaxle,totalgrossweight,axle2weight,axle3space
UHNR-202336-9674,ME,,10032,2019,2023-03-06T03:59:00.000Z,,13.06,45.0,4,55000,14333,21.0
Y41N-20231214-37497,ON,,22222,2015,2023-12-14T15:00:00.000Z,9600.0,13.06,53.0,6,62000,9600,4.06
S592-20211112-33014,,,11361,2008,2021-11-12T07:00:00.000Z,26400.0,13.01,,5,132000,26400,5.05
TGTD-20231010-31569,NY,,11501,2017,2023-10-10T05:30:00.000Z,16975.0,13.02,48.0,5,79900,16975,4.06
BSOG-202275-24023,NY,,11207,2012,2022-07-05T03:59:00.000Z,10000.0,13.06,53.0,5,55000,10000,5.0
ZJ23-2023327-12934,ME,,10455,2004,2023-03-27T05:30:00.000Z,17200.0,13.06,53.0,6,99000,17200,4.06
AZUT-2021915-25600,ME,,11111,2015,2021-09-15T05:30:00.000Z,7000.0,13.06,53.0,5,40000,7000,4.06
DFKN-2021722-19281,PA,,10002,1996,2021-07-22T04:59:00.000Z,,13.06,53.0,4,53080,19480,38.06
Y52W-2023210-6410,NJ,,10017,2004,2023-02-10T05:30:00.000Z,14850.0,13.0,50.0,8,117950,14850,4.06
LOKI-202244-11294,PA,,11111,1987,2022-04-04T05:30:00.000Z,18800.0,13.06,53.0,6,106000,18800,4.04
AEDK-2022616-21758,PA,,10016,2018,2022-06-16T02:59:00.000Z,3300.0,13.06,45.0,5,22100,7400,23.06
WMF7-20231025-32905,NY,,11111,2001,2023-10-25T05:30:00.000Z,7400.0,13.06,53.0,6,49000,7400,4.06
DPAP-2021122-35024,PA,,11418,2013,2021-12-02T03:29:00.000Z,13000.0,13.06,53.0,5,49000,5000,4.04
BUNC-202355-18407,NJ,,22222,2007,2023-05-05T05:30:00.000Z,7200.0,13.06,53.0,6,50000,7200,4.06
TMEI-202262-19754,PA,,11101,2017,2022-06-02T05:30:00.000Z,3600.0,12.0,48.0,5,26400,3600,4.06
TIQA-202183-20458,PA,,10016,2005,2021-08-03T04:59:00.000Z,9477.0,13.06,40.0,5,44197,10076,30.1
W3OG-2023125-3560,NJ,,22222,2018,2023-01-25T05:30:00.000Z,6502.0,13.06,53.0,8,59020,6508,4.05
O3LB-2022217-5344,QC,,10459,2001,2022-02-17T05:30:00.000Z,20000.0,13.06,73.0,8,149000,19000,4.04
R6IT-2022816-29821,NJ,,10013,2012,2022-08-16T05:30:00.000Z,8750.0,13.06,48.0,5,47000,8750,4.06
U4PL-202369-21812,ON,,44111,2019,2023-06-09T16:00:00.000Z,10000.0,13.06,55.0,6,63000,10000,4.07
FWM1-20221123-43537,ME,,11111,2020,2022-11-23T05:30:00.000Z,5000.0,13.06,53.0,6,41000,10000,5.01
FYZP-2021917-26064,NY,,10469,2006,2021-09-17T05:30:00.000Z,,8.06,50.0,4,52000,15000,36.06
ZKBE-20211029-31451,VT,,11111,2015,2021-10-29T05:30:00.000Z,13400.0,11.06,53.0,6,79000,13400,4.08
JZUO-2022624-22892,NJ,,22222,2018,2022-06-24T05:30:00.000Z,7750.0,13.06,48.0,5,43000,7750,4.06
E92Z-202268-20471,TN,,11362,2019,2022-06-08T16:00:00.000Z,12000.0,13.06,53.0,5,60000,12000,4.04
SKAV-20211129-34467,ME,,11111,1997,2021-11-29T05:30:00.000Z,5600.0,11.06,53.0,6,40000,5600,4.08
YCXM-2022812-29563,NJ,,10017,1992,2022-08-12T05:30:00.000Z,15625.0,12.08,55.0,5,74500,15625,4.06
