dfta_id,programphone,location1,communityboard,sunhouropen,councildist,providertype,censustract,latitude,wedhourclose
46G01,212-273-5200,"{'type': 'Point', 'coordinates': [-73.753207, 40.593761]}",414.0,,31.0,HOME DELIVERED MEAL SERVICE CONTRACTS,99802.0,40.593761,
C5001,718-588-8200,"{'type': 'Point', 'coordinates': [-73.922277, 40.827412]}",204.0,00:00,16.0,OLDER ADULT CENTER CONTRACTS,18301.0,40.827412,07:00
1K501,718-542-0006,"{'type': 'Point', 'coordinates': [-73.895879, 40.822052]}",202.0,00:00,17.0,CAREGIVER SERVICES CONTRACTS,87.0,40.822052,05:00
W2104,718-961-3660,"{'type': 'Point', 'coordinates': [-73.829935, 40.766044]}",407.0,00:00,20.0,OLDER ADULT CENTER CONTRACTS,88901.0,40.766044,04:00
C0804,718-253-5557,"{'type': 'Point', 'coordinates': [-73.917858, 40.625065]}",318.0,00:00,46.0,OLDER ADULT CENTER CONTRACTS,692.0,40.625065,05:00
42N03,718-806-1080,"{'type': 'Point', 'coordinates': [-73.778431, 40.709634]}",412.0,00:00,27.0,HOME DELIVERED MEAL SERVICE CONTRACTS,470.0,40.709634,04:00
C8306,718-373-3954,"{'type': 'Point', 'coordinates': [-74.001587, 40.573144]}",313.0,00:00,47.0,OLDER ADULT CENTER CONTRACTS,342.0,40.573144,04:00
C3502,718-346-7167,"{'type': 'Point', 'coordinates': [-73.914575, 40.670654]}",316.0,00:00,41.0,OLDER ADULT CENTER CONTRACTS,902.0,40.670654,05:00
N6805,718-372-8815,"{'type': 'Point', 'coordinates': [-73.970866, 40.579782]}",313.0,00:00,48.0,NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,35602.0,40.579782,05:00
C1709,347-926-4119,"{'type': 'Point', 'coordinates': [-73.817309, 40.5877]}",414.0,00:00,32.0,OLDER ADULT CENTER CONTRACTS,94202.0,40.5877,04:00
C4301,718-665-8400,"{'type': 'Point', 'coordinates': [-73.922123, 40.832289]}",204.0,00:00,16.0,OLDER ADULT CENTER CONTRACTS,195.0,40.832289,05:00
C2601,212-781-6580,"{'type': 'Point', 'coordinates': [-73.940952, 40.834326]}",112.0,00:00,10.0,OLDER ADULT CENTER CONTRACTS,245.0,40.834326,04:00
C7703,718-984-8589,"{'type': 'Point', 'coordinates': [-74.222403, 40.508809]}",503.0,00:00,51.0,OLDER ADULT CENTER CONTRACTS,198.0,40.508809,04:00
2MP01,929-251-6626,"{'type': 'Point', 'coordinates': [-73.919907, 40.691707]}",304.0,00:00,37.0,CASE MANAGEMENT SERVICES CONTRACTS,399.0,40.691707,05:00
C5810,718-597-9220,"{'type': 'Point', 'coordinates': [-73.861061, 40.835141]}",209.0,00:00,18.0,OLDER ADULT CENTER CONTRACTS,212.0,40.835141,04:00
C8102,646-395-4270,"{'type': 'Point', 'coordinates': [-73.988219, 40.714219]}",103.0,00:00,1.0,OLDER ADULT CENTER CONTRACTS,6.0,40.714219,05:00
C5301,718-945-8640,"{'type': 'Point', 'coordinates': [-73.78843, 40.588954]}",414.0,00:00,31.0,OLDER ADULT CENTER CONTRACTS,97202.0,40.588954,04:00
W1902,718-328-2811,"{'type': 'Point', 'coordinates': [-73.901821, 40.822812]}",203.0,00:00,17.0,OLDER ADULT CENTER CONTRACTS,12901.0,40.822812,04:00
C3801,212-788-5580,"{'type': 'Point', 'coordinates': [-74.004007, 40.710353]}",101.0,00:00,1.0,OLDER ADULT CENTER CONTRACTS,1501.0,40.710353,04:30
C0102,212-923-5715,"{'type': 'Point', 'coordinates': [-73.935379, 40.853017]}",112.0,00:00,10.0,OLDER ADULT CENTER CONTRACTS,271.0,40.853017,04:00
W2003,718-782-3601,"{'type': 'Point', 'coordinates': [-73.935675, 40.700163]}",304.0,00:00,34.0,OLDER ADULT CENTER CONTRACTS,391.0,40.700163,04:00
6K101,212-349-3724,"{'type': 'Point', 'coordinates': [-74.004007, 40.710353]}",101.0,00:00,1.0,CAREGIVER SERVICES CONTRACTS,1501.0,40.710353,03:00
W1909,347-918-9185,"{'type': 'Point', 'coordinates': [-73.928282, 40.837077]}",204.0,00:00,16.0,OLDER ADULT CENTER CONTRACTS,193.0,40.837077,04:00
C1105,,"{'type': 'Point', 'coordinates': [-73.895991, 40.856391]}",205.0,00:00,15.0,OLDER ADULT CENTER CONTRACTS,38302.0,40.856391,04:00
C9201,718-538-1515,"{'type': 'Point', 'coordinates': [-73.90854, 40.834189]}",203.0,00:00,16.0,OLDER ADULT CENTER CONTRACTS,14701.0,40.834189,04:00
1E901,718-981-6226,"{'type': 'Point', 'coordinates': [-74.076954, 40.642992]}",501.0,00:00,49.0,ELDER ABUSE SERVICES CONTRACTS,3.0,40.642992,05:00
W2202,718-320-1345,"{'type': 'Point', 'coordinates': [-73.829619, 40.877087]}",210.0,00:00,12.0,OLDER ADULT CENTER CONTRACTS,46201.0,40.877087,04:00
24605,718-449-5000,"{'type': 'Point', 'coordinates': [-74.002509, 40.573177]}",313.0,,47.0,TRANSPORTATION SERVICES CONTRACTS,340.0,40.573177,
C5502,212-673-7704,"{'type': 'Point', 'coordinates': [-73.985016, 40.726683]}",103.0,00:00,2.0,OLDER ADULT CENTER CONTRACTS,32.0,40.726683,05:00
W1601,718-292-4922,"{'type': 'Point', 'coordinates': [-73.914941, 40.81085]}",201.0,00:00,8.0,OLDER ADULT CENTER CONTRACTS,41.0,40.81085,04:00
11Y02,718-829-2131,"{'type': 'Point', 'coordinates': [-73.848594, 40.876304]}",212.0,00:00,12.0,HOME DELIVERED MEAL SERVICE CONTRACTS,364.0,40.876304,05:00
36G01,646-726-4299,"{'type': 'Point', 'coordinates': [-73.985312, 40.761143]}",105.0,,3.0,HOME DELIVERED MEAL SERVICE CONTRACTS,125.0,40.761143,
C8901,212-781-8331,"{'type': 'Point', 'coordinates': [-73.932494, 40.853679]}",112.0,00:00,10.0,OLDER ADULT CENTER CONTRACTS,271.0,40.853679,04:00
36702,212-962-7653,"{'type': 'Point', 'coordinates': [-73.987636, 40.766197]}",104.0,00:00,3.0,TRANSPORTATION SERVICES CONTRACTS,133.0,40.766197,05:00
