dfta_id,programname,programaddress,bin,programstate,:@computed_region_efsh_h5xi,sponsorname,thuhourclose,bbl,frihourclose
C9501,CENTER FOR ADULTS LIVING WELL @ THE Y (OAC) (C95),54 Nagle Avenue,1064146.0,NY,13098.0,YM YWHA OF WASHINGTON HEIGHTS AND INWOOD INC,04:00,1021720064.0,04:00
C6101,RSS CENTER FOR AGELESS LIVING (C61),2600 Netherland Avenue,2083247.0,NY,11272.0,RIVERDALE SENIOR SERVICES INC,05:00,2057220475.0,05:00
29E01,JASA BROOKLYN HOME DELIVERED MEALS (29E),1201 PENNSYLVANIA AVENUE,3336175.0,NY,13830.0,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,,3044350001.0,
C4704,JCCGCI KINGS HIGHWAY OLDER ADULT CENTER (C47),1879 East 3rd Street,3178594.0,NY,18183.0,JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC,05:00,3066810225.0,05:00
C1701,CCNS BAYSIDE OAC (C17),221-15 Horace Harding Expressway,4161696.0,NY,14506.0,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,04:00,4075270065.0,04:00
28E02,RISEBORO HDM - BROOKLYN 2 (28E),80 Seigel Street,3071447.0,NY,17213.0,RISEBORO COMMUNITY PARTNERSHIP INC,05:00,3030960030.0,05:00
2MP01,RISEBORO - CMA - BK01 03 04 (2MP),1175 Gates Avenue,3076253.0,NY,18181.0,RISEBORO COMMUNITY PARTNERSHIP INC,05:00,3033310025.0,05:00
C5101,NYFSC DYCKMAN OLDER ADULT CENTER (C51),3754 10th Avenue,1080032.0,NY,13092.0,NEW YORK FOUNDATION FOR SENIOR CITIZENS INC,04:30,1022160001.0,04:30
C2602,POLO GROUNDS SATELLITE (MN10) (C26),2965 Frederick Douglass Blvd,1084520.0,NY,13097.0,COTHOA LUNCHEON CLUB INC,05:00,1021060003.0,05:00
C7204,RAICES BLAND SOCIAL CLUB (C72),40-15 College Point Blvd,4443443.0,NY,13832.0,SPANISH SPEAKING ELDERLY COUNCIL RAICES INC.,05:00,4050370008.0,05:00
3M901,SELFHELP - CMA - MN 4 7 (3M9),520 8 Avenue,1083624.0,NY,12080.0,SELFHELP COMMUNITY SERVICES INC,04:00,1007860001.0,04:00
11S01,EAST SIDE HOUSE - HDM - BX1-6 (11S),805 E. 139TH STREET,2004017.0,NY,10932.0,EAST SIDE HOUSE INC,05:00,2025910037.0,05:00
3HR01,NY FOUNDATION FOR SC HOME ATTENDANT - HOME CARE - MN (3HR),11 PARK PLACE,1001399.0,NY,11728.0,NEW YORK FOUNDATION FOR SENIOR CITIZENS HOME ATTENDANT SERVI,05:00,1001240004.0,05:00
C4701,JCCGCI CONEY ISLAND SEASIDE OLDER ADULT CENTER (ISC) (C47),3001 West 37th Street,3189617.0,NY,18184.0,JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC,04:00,3070650001.0,04:00
15Y01,SENIOR OPTIONS HOME DELIVERED MEALS PROGRAM (15Y),3450 Boston Road,2060739.0,NY,11607.0,REGIONAL AID FOR INTERIM NEEDS INC,,2047370105.0,
C3506,ALBANY OAC (C35),196 Albany Avenue,3031082.0,NY,17615.0,FORT GREENE COUNCIL,05:00,3012300044.0,05:00
C3505,CHRISTOPHER BLENMAN OAC (C35),720 East New York Avenue,3106612.0,NY,16866.0,FORT GREENE COUNCIL,05:00,3047950016.0,05:00
C1705,CCNS OZONE PARK OAC (C17),103-02 101st Avenue,4198392.0,NY,24012.0,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,04:00,4094210001.0,04:00
2TT01,COPO (2TT),1081 Coney Island Avenue,3178916.0,NY,13513.0,COUNCIL OF PEOPLES ORGANIZATION INC.,,3066860076.0,
C8309,JASA THROGGS NECK OLDER ADULT CENTER (C83),2705 Schley Avenue,2080423.0,NY,11274.0,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,03:00,2055680050.0,03:00
W2402,WASHINGTON LEXINGTON SATELLITE (W24),1775 Third Avenue,1079203.0,NY,12426.0,UNION SETTLEMENT ASSOCIATION,05:00,1016470001.0,05:00
C3601,GODDARD RIVERSIDE LSNC OAC @ WEST 65TH ST (C36),250 West 65th Street,1030340.0,NY,12420.0,GODDARD-RIVERSIDE COMMUNITY CENTER,04:00,1011560020.0,04:00
N6803,JASA CONEY ISLAND ACTIVE AGING NORC (N68),2950 WEST 35TH STREET,3189511.0,NY,18184.0,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,05:00,3070460022.0,05:00
