pop_black_male,pop_white,assault_white_male,pop_white_male,pop_asian_pac
16116,243289,26,116813,38826
24894,30983,1,15492,4617
5671,29670,2,13378,3535
3693,53515,4,23808,13059
1031,38943,5,18687,44210
268106,752977,76,364871,252161
2752,28313,1,14063,33895
2610,92694,11,43906,22176
3168,21471,1,10376,32328
7144,6000,6,2844,4830
1828,52969,7,25638,109610
1023,34225,4,18346,42341
1042,56180,4,26149,24056
