pop_hispanic,assault_amer_indian,assault_amer_indian_male,assault_asian_pac,assault_hispanic,assault_amer_indian_female,assault_black_male
70253,0,0,8,103,0,38
13904,0,0,1,15,0,30
45448,0,0,2,64,0,9
371692,0,0,63,541,0,218
85435,1,0,3,244,1,93
46378,0,0,8,105,0,36
33622,0,0,9,61,0,23
16982,1,0,2,24,1,15
24441,0,0,2,29,0,19
44435,0,0,3,41,0,31
24199,0,0,17,37,0,1
48386,0,0,17,117,0,51
22460,0,0,2,49,0,49
