address,streetname,schooldist,factype,datasource,bin,geometry
"38 WIMAN PLACE, STATEN ISLAND, NY 10305, USA",,31.0,TEXTILES,dsny_donatenycdirectory,5042128,POINT(965826.0922551155 163587.08856725693)
,,2.0,STATE HISTORIC PLACE,nysparks_historicplaces,1013879,POINT(984562.1174826622 209505.00749015808)
95-18 NORTHERN BOULEVARD,NORTHERN BOULEVARD,30.0,SENIOR CENTER,dfta_contracts,4042344,POINT(1019598.9310054779 214956.97754859924)
115-15 101 AVENUE,101 AVENUE,27.0,SATELLITE SITE FOR STUDENTS WITH DISABILITIES,nysed_activeinstitutions,4198275,POINT(1031699.6027150154 190479.5329055786)
1087 OCEAN AVENUE,OCEAN AVENUE,22.0,FEEDING SITE,nysed_activeinstitutions,3339044,POINT(995911.5452699661 170951.32921743393)
5475 AMBOY ROAD,AMBOY ROAD,31.0,DAY CARE,dohmh_daycare,5107786,POINT(930767.2542362213 133154.6762022972)
,,21.0,SCHOOL BUS DEPOT,doe_busroutesgarages,0,POINT(991316.0000023842 165791.0000023842)
317 LENOX AVENUE,LENOX AVENUE,5.0,ARTICLE 10 PETITION PARENTAL REPRESENTATION,moeo_socialservicesitelocations,1085673,POINT(999283.0093393326 233782.07084798813)
154 SHEFFIELD AVENUE,SHEFFIELD AVENUE,19.0,SCHOOL BUS DEPOT,doe_busroutesgarages,3393335,POINT(1012688.1079931259 184721.45025348663)
341 WEST 38 STREET,WEST 38 STREET,2.0,MUSIC,dcla_culturalinstitutions,1013637,POINT(986082.5330882072 214601.6713256836)
626 EAST 11 STREET,EAST 11 STREET,1.0,GARDEN,dpr_parksproperties,0,POINT(990219.4647521973 204072.27065515518)
156-45 84 STREET,84 STREET,27.0,SATELLITE SITE FOR STUDENTS WITH DISABILITIES,nysed_activeinstitutions,4292302,POINT(1026214.306245327 180434.8931593895)
880 RIVER AVENUE,RIVER AVENUE,9.0,DAY CARE,dohmh_daycare,2002988,POINT(1004938.0175995827 241098.95996141434)
2 WEST 115 STREET,WEST 115 STREET,3.0,AFTERSCHOOL PROGRAMS; COMMUNITY SERVICES; EDUCATIONAL SERVICES; FAMILY SUPPORT,dycd_service_sites,1083316,POINT(998769.1186203957 230664.349506855)
1340 STRATFORD AVENUE,STRATFORD AVENUE,12.0,"SYEP AND WORK, LEARN & GROW (WLG)",moeo_socialservicesitelocations,2027509,POINT(1018633.6706347466 242817.95554208755)
,,29.0,SCHOOL BUS DEPOT,doe_busroutesgarages,0,POINT(1044536.0000023842 181633.00001239777)
