address,streetname,schooldist,factype,datasource,bin,geometry
1859 RICHMOND AVENUE,RICHMOND AVENUE,31.0,DAY CARE,dohmh_daycare,5034924,POINT(939041.3085823059 158813.627038002)
34-25 VERNON BOULEVARD,VERNON BOULEVARD,30.0,INTENSIVE RESIDENTIAL,nysoasas_programs,4003826,POINT(1000791.5383005142 217876.88722610474)
8401 23 AVENUE,23 AVENUE,21.0,ELEMENTARY SCHOOL - NON-PUBLIC,nysed_activeinstitutions,3329173,POINT(986955.33893013 158381.21775197983)
562 MADISON STREET,MADISON STREET,16.0,SENIOR CENTER,dfta_contracts,3045125,POINT(1002180.8660526276 189299.54465055466)
200 CITY ISLAND AVENUE,CITY ISLAND AVENUE,11.0,AFTERSCHOOL PROGRAMS; COMMUNITY SERVICES; EDUCATIONAL SERVICES,dycd_service_sites,2082444,POINT(1043802.9784631729 246765.63803100586)
315 WYCKOFF AVENUE,WYCKOFF AVENUE,32.0,OUTPATIENT MENTAL HEALTH,nysomh_mentalhealth,3076376,POINT(1008709.0968475342 194395.22745466232)
141 SOUTH 3 STREET,SOUTH 3 STREET,14.0,OUTPATIENT CLINIC,nysoasas_programs,3393850,POINT(994808.9181838036 198872.93732500076)
,,12.0,SUMMER ONLY FEEDING SITE,nysed_activeinstitutions,0,POINT(1017853.5388998985 243217.4322195053)
750 CONCOURSE VILLAGE WEST,CONCOURSE VILLAGE WEST,7.0,ELEMENTARY SCHOOL - PUBLIC,doe_lcgms,2002454,POINT(1005605.0306348801 239132.13164567947)
1011 1 AVENUE,1 AVENUE,2.0,CITY COUNCIL AWARDS,moeo_socialservicesitelocations,1039972,POINT(994218.2318234444 215251.58608293533)
4063 EDSON AVENUE,EDSON AVENUE,11.0,DAY CARE,dohmh_daycare,2067475,POINT(1027264.0816988945 264119.1849551201)
,,31.0,STATE HISTORIC PLACE,nysparks_historicplaces,0,POINT(946581.7681202888 163721.01039600372)
201 ST ANN'S AVENUE,ST ANN'S AVENUE,7.0,NYCHA COMMUNITY CENTER - SENIOR CENTER,nycha_communitycenters,2090986,POINT(1006637.7793774605 232743.97126960754)
3495 NOSTRAND AVENUE,NOSTRAND AVENUE,22.0,"MULTI-DISCIPLINE, PERFORMING",dcla_culturalinstitutions,3200300,POINT(1000571.648496151 157464.84099769592)
205 W 101ST ST,,3.0,COMMERCIAL GARAGE & PARKING LOT,dca_operatingbusinesses,1056507,POINT(992977.086575985 229893.0565018654)
661 LINDEN BOULEVARD,LINDEN BOULEVARD,18.0,EARLY EDUCATION PROGRAM,doe_universalprek,3108481,POINT(1002580.918651104 177516.51647663116)
25-10 30 AVENUE,30 AVENUE,30.0,HOSPITAL,nysdoh_healthfacilities,4436864,POINT(1005061.5956234932 219182.3358926773)
1150 EAST 229 STREET,EAST 229 STREET,11.0,SUMMER ONLY FEEDING SITE,nysed_activeinstitutions,2094178,POINT(1027033.5765123367 262076.4335808754)
400 PENNSYLVANIA AVENUE,PENNSYLVANIA AVENUE,19.0,EDUCATIONAL SERVICES; JOBS AND INTERNSHIPS,dycd_service_sites,3084440,POINT(1013343.4279322624 182252.47823429108)
857 LEXINGTON AVENUE,LEXINGTON AVENUE,16.0,DANCE,dcla_culturalinstitutions,3251314,POINT(1004683.9864997864 190945.26653003693)
87 BAY 49 STREET,BAY 49 STREET,21.0,EDUCATIONAL SERVICES,dycd_service_sites,3187407,POINT(988256.6007642746 153311.5629992485)
,,21.0,STATE HISTORIC PLACE,nysparks_historicplaces,0,POINT(995512.2008457184 158292.7005763054)
266 WEST 37 STREET,WEST 37 STREET,2.0,OUTPATIENT CLINIC,nysoasas_programs,1083624,POINT(986492.3426589966 213842.76081514359)
1681 49 STREET,49 STREET,20.0,DAY CARE,dohmh_daycare,3129017,POINT(988855.008790493 168814.82355308533)
114-28 FRANCIS LEWIS BOULEVARD,FRANCIS LEWIS BOULEVARD,29.0,ELEMENTARY SCHOOL - NON-PUBLIC,nysed_activeinstitutions,4236999,POINT(1053972.7346224785 194630.42675352097)
111 LIVINGSTON STREET,,15.0,COMMERCIAL GARAGE & PARKING LOT,dca_operatingbusinesses,3002555,POINT(987076.9621458054 191199.95843744278)
213 EAST 144 STREET,EAST 144 STREET,7.0,SUMMER ONLY FEEDING SITE,nysed_activeinstitutions,2000967,POINT(1004773.7816429138 236631.13864564896)
232 THIRD STREET,THIRD STREET,15.0,LITERATURE,dcla_culturalinstitutions,3337594,POINT(987599.0481300354 185131.40618944168)
187-01 FOCH BOULEVARD,FOCH BOULEVARD,29.0,CAMP - ALL AGE,dohmh_daycare,4268900,POINT(1049729.180718422 191205.5293393135)
501 WEST 165 STREET,WEST 165 STREET,6.0,COMPASS HIGH,moeo_socialservicesitelocations,1085733,POINT(1001246.2902941704 244731.32353782654)
,,32.0,PEDESTRIAN PLAZA,dot_pedplazas,0,POINT(1006793.2526512146 193911.91235160828)
1540 AMSTERDAM AVENUE,AMSTERDAM AVENUE,6.0,JOINTLY OPERATED PLAYGROUND,dpr_parksproperties,1059815,POINT(997505.2945919037 238161.84358882904)
440 STANLEY AVENUE,STANLEY AVENUE,19.0,SCHOOL BUS DEPOT,doe_busroutesgarages,3319741,POINT(1014222.209207058 178156.97506952286)
10-26 41 AVENUE,41 AVENUE,30.0,SATELLITE SITE FOR STUDENTS WITH DISABILITIES,nysed_activeinstitutions,4433390,POINT(999426.2081708908 214280.6972641945)
1150 CASTLETON AVENUE,CASTLETON AVENUE,31.0,EMERGENCY/CRISIS MENTAL HEALTH,nysomh_mentalhealth,5005607,POINT(950727.8426132202 170270.86213064194)
33-16 108 STREET,108 STREET,24.0,MUSIC,dcla_culturalinstitutions,4042761,POINT(1022659.5715441704 215202.36989831924)
2090 ADAM CLAYTON POWELL BOULEVARD,ADAM CLAYTON POWELL BOULEVARD,5.0,SUPPORT MENTAL HEALTH,nysomh_mentalhealth,1058640,POINT(998387.7200937271 233934.80344629288)
1131 MANOR ROAD,MANOR ROAD,31.0,CAMP - ALL AGE,dohmh_daycare,5104674,POINT(950197.0783157349 157423.6381430626)
825 WEST END AVENUE,WEST END AVENUE,3.0,DANCE,dcla_culturalinstitutions,1057135,POINT(992118.8812317848 230070.31920957565)
330 WEST 15 STREET,WEST 15 STREET,2.0,MUSEUM,dcla_culturalinstitutions,1013028,POINT(983286.9020190239 209192.31102085114)
1220 GERARD AVENUE,GERARD AVENUE,9.0,K-8 SCHOOL - PUBLIC,doe_lcgms,2097130,POINT(1006467.0942058563 243729.95974826813)
83-10 188 STREET,188 STREET,26.0,DAY CARE,dohmh_daycare,4156255,POINT(1045472.9023337364 203278.52832317352)
850 KENT AVENUE,KENT AVENUE,14.0,SCHOOL'S OUT NEW YORK CITY (SONYC),moeo_socialservicesitelocations,3054671,POINT(995343.6493391991 192633.85437870026)
108 AVENUE D,AVENUE D,1.0,DAY CARE,dohmh_daycare,1077507,POINT(990983.8267736435 202813.87427186966)
317 ALBANY AVENUE,ALBANY AVENUE,17.0,CAMP - ALL AGE,dohmh_daycare,3037244,POINT(1001128.6905989647 183291.3449959755)
110 BROADWAY,,14.0,COMMERCIAL GARAGE & PARKING LOT,dca_operatingbusinesses,3397723,POINT(993971.9261693954 198005.23418045044)
202 AVENUE C,AVENUE C,20.0,ELEMENTARY SCHOOL - PUBLIC,doe_lcgms,3126001,POINT(990556.8048381805 172532.56306028366)
612 WORTMAN AVENUE,WORTMAN AVENUE,19.0,SCHOOL BUS DEPOT,doe_busroutesgarages,3380830,POINT(1020253.9945464134 180619.67615175247)
50 EAST 168 STREET,EAST 168 STREET,9.0,CITY COUNCIL AWARDS,moeo_socialservicesitelocations,2101464,POINT(1006626.2138094902 243986.5404138565)
,,32.0,COMPOST,dsny_fooddrop,0,POINT(1008826.1259255409 194818.1831059456)
34 1/2 EAST 12 STREET,EAST 12 STREET,2.0,PUBLIC SAFETY FACILITY,dcp_colp,1009129,POINT(986357.9379043579 206514.1469669342)
2095 BROADWAY,BROADWAY,3.0,CITY COUNCIL AWARDS,moeo_socialservicesitelocations,1030519,POINT(989192.1973910332 223271.50481319427)
260 EASTERN PARKWAY,EASTERN PARKWAY,17.0,ELEMENTARY SCHOOL - NON-PUBLIC,nysed_activeinstitutions,3029670,POINT(995123.0491666794 183638.13448047638)
89-00 23 AVENUE,23 AVENUE,30.0,CAMP - SCHOOL AGE,dohmh_daycare,4023535,POINT(1017492.5898728371 218776.31883382797)
2037 UTICA AVENUE,UTICA AVENUE,22.0,SUPPORT MENTAL HEALTH,nysomh_mentalhealth,3336912,POINT(1004558.194861412 165927.9279575348)
31 WASHINGTON PLACE,WASHINGTON PLACE,2.0,COMMUNITY SERVICES,dycd_service_sites,1008820,POINT(985468.7288212776 205363.15585708618)
125 WALKER STREET,WALKER STREET,2.0,CITY COUNCIL AWARDS,moeo_socialservicesitelocations,1084583,POINT(984267.9336266518 200616.03345918655)
209 YORK STREET,YORK STREET,13.0,AFTERSCHOOL PROGRAMS; COMMUNITY SERVICES; EDUCATIONAL SERVICES,dycd_service_sites,3000158,POINT(989335.8222727776 194945.4481201172)
90 BROAD STREET,BROAD STREET,2.0,CITY COUNCIL AWARDS,moeo_socialservicesitelocations,1000025,POINT(980933.0338349342 195694.1263217926)
2315 SURF AVENUE,SURF AVENUE,21.0,CITY COUNCIL AWARDS,moeo_socialservicesitelocations,3321840,POINT(986944.8609218597 148503.08128261566)
1901 OCEAN PARKWAY,OCEAN PARKWAY,21.0,EARLY EDUCATION PROGRAM,doe_universalprek,3190468,POINT(993851.6677289009 158697.85782289505)
680 LENOX AVENUE,LENOX AVENUE,5.0,NEIGHBORHOOD PARK,dpr_parksproperties,1053945,POINT(1001902.6084246635 237889.90097236633)
302 EAST 111 STREET,EAST 111 STREET,4.0,SATELLITE SITE FOR STUDENTS WITH DISABILITIES,nysed_activeinstitutions,1081364,POINT(1000959.7060322762 228332.0711121559)
