school_name,latitude,grade9swdapplicantsperseat10,grade9swdapplicantsperseat4,admissionspriority15,requirement1_6,admissionspriority32,seats9swd7,requirement3_5,grade9swdapplicantsperseat3,grade9gefilledflag1,pct_stu_enough_variety,requirement2_4,grade9geapplicants7,program3,bus,census_tract,grade9swdapplicantsperseat1,offer_rate7,requirement8_2,seats9ge7,attendance_rate,applicants3specialized,grade9swdapplicantsperseat9,common_audition3,grade9swdfilledflag10,common_audition1,eligibility5,requirement6_7,code8,girls,common_audition7,seats107,grade9geapplicants3,common_audition5,admissionspriority41,auditioninformation6,requirement6_3,method7,admissionspriority16,zip,eligibility1,location,grade9geapplicantsperseat5,state_code,auditioninformation3,finalgrades,method10,requirement4_7,auditioninformation5,offer_rate4,grade9gefilledflag4,seats9swd2,overview_paragraph,requirement7_3,offer_rate9,method6
International High School at Lafayette,40.593028,,,,,,,,,N,0.88,,,,"B1, B3, B4, B6, B64, B82, X28, X38",306.0,2.0,,,,0.9,,,,,,,,,,,,,,,,,,,11214,"Open only to New York City residents living in the United States four years or fewer who are English Language Learners per New York City Department of Education guidelines scoring at the Entering, Emerging or Transitioning levels on the NYSESLAT, NYSITELL, or LAB-R","2630 Benson Avenue, Brooklyn NY 11214(40.593028, -73.986313)",,NY,,9 to 12,,,,,,,We serve recent immigrant English Language Learners. Students learn English in all of their classes and have the chance to work in groups with students from more than 25 different countries. We are a small school where every student gets the attention and support he or she needs to be successful. Students will graduate from our school with the skills necessary for success in college and beyond.,,,
Williamsburg High School for Architecture and Design,40.715561,,,,,,,,,Y,1.0,,,,"B24, B32, B39, B44, B44-SBS, B46, B48, B60, B62, Q54, Q59",519.0,8.0,,,,0.91,,,,,,,,,,,,,,Then to New York City residents,,,,,11211,,"257 North 6th Street, Brooklyn NY 11211(40.715561, -73.954815)",,NY,,9 to 12,,,,,,,"At the heart of one of New York City's most culturally invigorating neighborhoods, our school (WHSAD) focuses on architectural drafting, computer-aided design (AutoCAD), and design principles. Our hands-on approach to architecture, design, and the visual arts integrates college prep, internship experiences, and skills training throughout core academic disciplines, providing students with the education to succeed in the 21st century workplace. Partnerships with local businesses and apprenticeships provide students with job opportunities and internships with industry professionals. Students can earn a CTE-endorsed diploma in Architectural Drafting and CAD, and up to six college credits, upon graduation.",,,
Central Park East High School,40.793649,,,,,,,,,Y,0.92,,,,"BxM11, BxM2, BxM3, BxM4, M1, M101, M102, M103, M106, M116, M15, M15-SBS, M2, M3, M4, M96, M98",17401.0,26.0,,,,0.95,,,,,,,,,,,,,,,,,,,10029,,"1573 Madison Avenue, Manhattan NY 10029(40.793649, -73.948488)",,NY,,9 to 12,,,,,,,"Central Park East HS embodies New York City, a cultural Mecca. Our academic program provides a wide range of accelerated courses which prepare our students for the most competitive colleges and universities. Students also come together in clubs like Creative Writing, Anime, Running, Improv, and many more. While academic excellence is deeply rooted in the culture of the school community, students are also expected to give back through programs that support and enrich students' lives academically and socially. Eleventh graders support ninth graders in the Peer Group Connections mentoring program. Our school's staff is deeply committed to education and care about each student's social and emotional well being.",,,
Richard R. Green High School of Teaching,40.705688,,,,,,,,,N,0.75,,,,"BM1, BM2, BM3, BM4, BxM18, M15, M15-SBS, M20, M5, M9, QM11, QM25, QM7, QM8, X1, X10, X10B, X11, X12, X14, X15, X17, X17A, X19, X2, X27, X28, X3, X37, X38, X4, X42, X5, X7, X8, X9",9.0,4.0,,,,0.87,,,,,,,,,,,,,,,,,,,10004,,"7 Beaver Street, Manhattan NY 10004(40.705688, -74.013303)",,NY,,9 to 12,,,,,,13,"Our school is located in a historic building overlooking Bowling Green, Battery Park, and New York Harbor. Students enroll in either the Teaching Academy or the Liberal Arts Academy. Our Teaching Academy develops students with a lasting commitment to education who participate in offsite internships in neighboring schools. Our Liberal Arts Academy develops students as mentors, and offers a range of engaging electives that build transferrable skills. The school has a rich array of college preparatory programs.",,,
 The American Sign Language and English Secondary School,40.738374,,,,,,,,,N,0.66,,,,"BM1, BM2, BM3, BM4, BxM1, BxM10, BxM11, BxM18, BxM3, BxM4, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M14A, M14D, M15, M15-SBS, M2, M23, M3, M34A-SBS, M5, M9, QM21, X1, X10, X10B, X12, X14, X17, X2, X27, X28, X37, X38, X42, X5, X63, X64, X68, X7, X9",64.0,2.0,,,,0.89,,,,,,,,,,,,,,,,,,,10010,,"223 East 23rd Street, Manhattan NY 10010(40.738374, -73.981329)",,NY,,9 to 12,,,,,,," the American Sign Language and English High School, we believe that all students have the right to learn in an inclusive, academically rigorous environment. Our elective courses challenge our students' creativity and our graduates emerge proficient in American Sign Language (ASL). Our school community nurtures responsible citizens of the world, addressing all aspects of young adult development by providing the necessary individual supports for our students to be college and career ready.",,,
Frederick Douglass Academy VI High School,40.601537,,,,,,,,,N,0.49,,,,"Q114, Q22, QM17",100802.0,3.0,,,,0.85,,,,,,,,,,,,,,Then to New York City residents,,,,,11691,,"8-21 Bay 25th Street, Far Rockaway NY 11691(40.601537, -73.763995)",,NY,,9 to 12,,,,,,,"Frederick Douglass Academy (FDA) VI High School is a high school built on Dr. Lorraine Monroe's vision of academic and personal excellence for all students. The emphasis on college preparation is supported by a challenging academic program and cultural enrichment. A set of core rules visible at every Frederick Douglass Academy signals the seriousness of purpose for the school, its students, and teachers. All students must adhere to a code of student conduct, the Scholar's Creed, and a strict uniform code. Students are also required to participate in extensive after-school academic enrichment programs.",,,
Urban Assembly Gateway School for Technology,40.763655,,,,,,,,,Y,0.81,,,,"BxM2, M10, M104, M11, M12, M20, M31, M34A-SBS, M42, M50, M57, M7, X1, X12, X14, X17J, X21, X22, X22A, X30, X31, X42, X7, X9",127.0,19.0,,,,0.87,,,,,,,,,,,,,,Then to New York City residents,,,,,10019,,"439 West 49th Street, Manhattan NY 10019(40.763655, -73.990318)",,NY,,9 to 12,,,,,,,"Our mission is to engage students through inventive problem-solving that integrates innovative technology with the habits of mind that prepare them for college, careers, and life. Graduates will be college and career-ready, prepared in digital animation & design, information technology & systems, or software engineering. Students will engage in other technologies, including film making/editing, audio production, engineering, gaming, software design, and robotics. Creative and connected teaching and learning with our award-winning staff takes place in a technology-rich environment with fully operational tech labs, and laptops available during & after school. Our campus also has a new media center/library that includes additional resources.",,,
Crotona International High School,40.855392,,,,,,,,,N,0.89,,,,"Bx12, Bx12-SBS, Bx15, Bx17, Bx19, Bx22, Bx36, Bx9",393.0,2.0,,,,0.85,,,,,,,,,,,,,,,,,,,10458,"Open only to New York City residents living in the United States four years or fewer who are English Language Learners per New York City Department of Education guidelines scoring at the Entering, Emerging, or Transitioning levels on the NYSESLAT, NYSITELL, or LAB-R.","2474 Crotona Avenue, Bronx NY 10458(40.855392, -73.882487)",,NY,,9 to 12,,,,,,,"Our mission is to partner with families and local organizations to serve English Language Learners who have recently immigrated to the United States from countries around the globe. Our graduates are prepared for success both in college and in careers in media & communications. Our school and classes are small; every student is known and supported to achieve. Staff and students work and learn collaboratively in heterogeneous groups. Students develop English language literacy and critical thinking skills by engaging in classroom projects, service learning, and internship programs. They learn to advocate for themselves and their families and to become active leaders in their communities.",,,
"The School for Classics: An Academy of Thinkers, Writers and Performers",40.67002,,,,,,,,,N,0.51,,,,"B13, B14, B15, B20, BM5, Q7, Q8",1118.0,2.0,,,,0.83,,,,,,,,,,,,,,,,,,,11208,,"370 Fountain Avenue, Brooklyn NY 11208(40.67002, -73.874537)",,NY,,9 to 12,,,,,,,"The adults in our school community work together to create a caring and nurturing second home for our learners. Our educational premise is that all children deserve grade-level instruction that is challenging, yet engaging, rigorous, yet motivational. The majority of our elective courses revolve around theater. Performances are staged by students guided by their teachers. Additionally, through the AP for ALL Program, we offer Biology, Environmental, and AP Language Advanced Placement courses. In 2018, we will add AP US History and AP Statistics. These courses are open to all students, in particular, those students who choose to follow an intensive academic schedule in lieu of performing art classes. We partner with Medgar Evers College.",,,
"The Marie Curie School for Medicine, Nursing, and Health Professions",40.875636,,,,,,,,,N,0.49,,,,"Bx1, Bx10, Bx2, Bx20, Bx22, Bx26, Bx3, Bx32, Bx7, Bx9, BxM1, BxM18, BxM2, BxM3",273.0,4.0,,,,0.84,,,,,,,,,,,,,,Then to New York City residents,,,,,10463,,"120 West 231st Street, Bronx NY 10463(40.875636, -73.901565)",,NY,,9 to 12,,,,,,,"Our goal is to inspire students to learn as much as they can about health to prepare them for life experiences and future careers in health-related professions. Students will master skills in literacy, technology, and community responsibility. Graduates will succeed as a result of advanced level courses in math, science, and our interdisciplinary health curriculum. Courses are infused with various themes, skills, and contemporary issues prominent in the field of health. Students receive classroom visits from health care professionals and may take trips to observe them in the workplace. Our partnerships provide students with academic support, mentoring, and extended learning opportunities.",,,
