latitude,longitude,dobrundate,house,permit_type,owner_s_business_type,filing_status,census_tract,bldg_type,job_doc,permittee_s_phone,borough,job_start_date,self_cert,zip_code
40.617545,-73.985949,2016-01-03T00:00:00,1974,PL,INDIVIDUAL,RENEWAL,254.0,2,1,7187691800,BROOKLYN,2012-04-17T00:00:00,,11204
40.765839,-73.76885,2016-01-03T00:00:00,215-02,AL,INDIVIDUAL,INITIAL,1123.0,1,1,7189617700,QUEENS,2013-04-23T00:00:00,,11361
40.721323,-73.997987,2016-01-03T00:00:00,200,EQ,PARTNERSHIP,RENEWAL,45.0,2,1,7185290508,MANHATTAN,2012-05-25T00:00:00,Y,10013
40.818132,-73.918855,2016-01-03T00:00:00,615,EW,INDIVIDUAL,INITIAL,67.0,2,1,2121234567,BRONX,2013-04-24T00:00:00,,10451
40.680715,-73.939714,2016-01-03T00:00:00,92,EW,CORPORATION,INITIAL,273.0,2,1,7183840909,BROOKLYN,2013-04-24T00:00:00,,11216
40.619089,-73.924799,2016-01-03T00:00:00,5201,EW,CORPORATION,INITIAL,680.0,1,1,7183830294,BROOKLYN,2013-04-23T00:00:00,Y,11234
40.725602,-73.988047,2016-01-03T00:00:00,118,EW,PARTNERSHIP,INITIAL,38.0,2,1,7184025013,MANHATTAN,2013-04-24T00:00:00,Y,10003
40.725309,-73.957522,2016-01-03T00:00:00,12,PL,INDIVIDUAL,INITIAL,561.0,2,3,7183762666,BROOKLYN,2013-04-24T00:00:00,,11222
40.729404,-73.99991,2016-01-03T00:00:00,219,EQ,PARTNERSHIP,RENEWAL,65.0,2,1,7185290508,MANHATTAN,2013-03-25T00:00:00,Y,10012
40.784526,-73.85033,2016-01-03T00:00:00,14-45,EW,CORPORATION,INITIAL,929.0,2,1,7183264868,QUEENS,2013-04-23T00:00:00,Y,11356
40.645262,-74.012072,2016-01-03T00:00:00,445,EW,INDIVIDUAL,INITIAL,78.0,1,1,9178812941,BROOKLYN,2013-04-24T00:00:00,,11220
