lionkey,tolatitude,dateadded,ccunum,secondstudycode,numsrproposed,trafficdirection,requestdate,geoboroughname,cb
5598800020,40.550778,2024-09-03T15:43:52.000,,,,A,2021-11-03T00:00:00.000,Staten Island,503.0
3914401020,40.64054,2023-11-08T15:43:34.000,,,,W,2023-11-07T00:00:00.000,Brooklyn,312.0
1138000100,40.727091,2014-06-10T15:39:51.000,231127-S6T3,,1.0,W,2014-06-10T00:00:00.000,Manhattan,103.0
3892400550,40.612734,2024-05-30T15:43:37.000,,,,T,2024-05-24T00:00:00.000,Brooklyn,311.0
5585003190,40.547326,2024-09-26T16:13:03.000,,,,T,2024-09-25T00:00:00.000,Staten Island,503.0
4546802010,40.743338,2024-09-20T15:57:55.000,,,,T,2024-09-18T00:00:00.000,Queens,402.0
4536001390,40.759672,2024-09-23T14:16:18.000,,,,T,2024-09-20T00:00:00.000,Queens,401.0
5282000200,40.620431,2024-09-27T16:56:03.000,,,,T,2024-09-17T00:00:00.000,Staten Island,501.0
4536601190,40.770247,2024-06-10T12:16:06.000,,,,T,2024-05-31T00:00:00.000,Queens,407.0
4689404020,40.717404,2024-09-23T16:56:32.000,,,,W,2024-09-20T00:00:00.000,Queens,412.0
3396003050,40.676405,2023-11-21T10:10:28.000,,,,W,2023-11-21T00:00:00.000,Brooklyn,308.0
4483000040,40.77926,2024-06-06T12:15:08.000,,,,T,2024-05-31T00:00:00.000,Queens,411.0
5585401520,40.572334,2021-12-22T12:23:17.000,,,,T,2021-12-01T00:00:00.000,Staten Island,503.0
4582607010,40.749152,2024-05-15T17:01:59.000,,,,T,2024-05-11T00:00:00.000,Queens,411.0
4636602010,40.686452,2024-09-16T14:13:26.000,,,,A,2024-09-13T00:00:00.000,Queens,410.0
5422400230,40.612314,2022-04-01T10:52:39.000,,,,T,2022-03-17T00:00:00.000,Staten Island,501.0
3708407100,40.633437,2024-05-13T11:10:20.000,,,,A,2023-03-26T00:00:00.000,Brooklyn,318.0
3284802030,40.639672,2024-11-15T11:33:49.000,,,,W,2024-11-13T00:00:00.000,Brooklyn,314.0
5738400050,40.616984,2024-02-27T08:44:23.000,,,,W,2024-02-07T00:00:00.000,Staten Island,501.0
4597000750,40.678266,2024-07-09T12:37:42.000,,,1.0,T,2024-07-07T00:00:00.000,Queens,410.0
5076200040,40.590713,2024-11-18T13:03:59.000,,,,T,2024-11-18T00:00:00.000,Staten Island,502.0
3683201040,40.67264,2024-11-13T09:32:29.000,,,,W,2024-11-10T00:00:00.000,Brooklyn,308.0
3892400540,40.613341,2024-05-30T15:43:37.000,,,,T,2024-05-24T00:00:00.000,Brooklyn,311.0
2344200030,40.873346,2024-06-17T12:11:31.000,,,,T,2024-06-14T00:00:00.000,Bronx,212.0
4640201010,40.675187,2024-06-04T15:48:28.000,,,,T,2024-05-22T00:00:00.000,Queens,413.0
4630605075,40.685873,2021-07-13T08:36:13.000,,,,T,2021-05-07T00:00:00.000,Queens,412.0
4407400005,40.71538,2006-11-13T14:41:19.000,,,,A,2006-11-01T00:00:00.000,Queens,406.0
