geocoded_column,:@computed_region_efsh_h5xi,primary_fur_color,hectare_squirrel_number,other_interactions,climbing,moans,quaas,shift,:@computed_region_f5dn_yrer
"{'type': 'Point', 'coordinates': [-73.958024711869, 40.7938724278575]}",,Gray,1,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.958060992131, 40.7907158878729]}",,Gray,6,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9698032734704, 40.7782343912417]}",,Gray,2,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9624546917649, 40.78882349597921]}",,Gray,4,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.960601067176, 40.7917243850136]}",,Gray,9,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9666007935638, 40.7845098131567]}",,Gray,3,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.980948293606, 40.7685688850628]}",,Gray,4,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9726747666002, 40.7703022669308]}",,Gray,2,see stories and locations,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9688454483585, 40.7845301288163]}",,Gray,5,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9772576561244, 40.7679895093963]}",,Cinnamon,8,approaches (food stand),False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9745305540008, 40.7742043234014]}",,Gray,2,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9737266070919, 40.7786338379896]}",,Gray,1,,True,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9534306291679, 40.7959052073753]}",,Gray,7,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9738611257716, 40.7737246779587]}",,Gray,1,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9706641770728, 40.7759229213762]}",,Gray,12,,False,False,False,AM,19
"{'type': 'Point', 'coordinates': [-73.9779228287629, 40.7681019683859]}",,Gray,1,,False,False,False,PM,19
"{'type': 'Point', 'coordinates': [-73.9766440589836, 40.7682390282581]}",,Gray,2,,False,False,False,AM,19
