legal_business_name,bin,nta,seating_interest_sidewalk,zip,latitude,approved_for_sidewalk_seating,bbl
KEUR COUMBA RESTAURANT INC,1057402.0,Central Harlem South,sidewalk,10026,40.80242,yes,1019010019.0
Carra LLC,1018080.0,Gramercy,sidewalk,10010,40.740028,yes,1008800050.0
27 East Restaurant Holdings LLC,1040895.0,Upper East Side-Carnegie Hill,both,10065,40.76537,yes,1013770024.0
TROPILYZ B RESTAURANT INC,2094665.0,Bedford Park-Fordham North,sidewalk,10458,40.861553,yes,2031530001.0
Asian Kabab and Curry Inc,,,both,11208,,yes,
Barghost Corp.,3028034.0,Prospect Heights,both,11217,40.680531,yes,3011430008.0
Sunrise Mart Inc.,,,both,10017,,yes,
R &amp; J LOUNGE CORP,1052283.0,East Harlem North,both,10029,40.799043,yes,1016440007.0
108 Gigs LLC,3045006.0,Stuyvesant Heights,roadway,11227,40.688059,no,3016420039.0
"HBC GROUP USA, INC.",4027374.0,Woodside,both,11377,40.749883,yes,4011980001.0
G & J Restaurant Corp,4156901.0,Bayside-Bayside Hills,sidewalk,11361,40.759406,yes,4073140027.0
Xochil Pizza Corp,,Sunset Park West,openstreets,11220,40.64714,no,
SWEETGREEN NEW YORK LLC,1033584.0,Upper West Side,sidewalk,10025,40.791559,yes,1012390023.0
Kobe 1 Inc.,3166702.0,Bensonhurst West,both,11214,40.606257,yes,3063710049.0
di bella corp,3020608.0,Park Slope-Gowanus,both,11215,40.674461,yes,3009650009.0
"APQ E53 NY, LLC",1035739.0,Midtown-Midtown South,both,10022,40.760222,yes,1012890107.0
Absurd Conclave,3072391.0,Bushwick North,both,11237,40.705764,yes,3031760011.0
"SDJR SYSTEMS 3, LLC",2041855.0,Van Nest-Morris Park-Westchester Square,sidewalk,10461,40.841082,yes,2039810021.0
LOS CAFETALES RESTAURANT CORP,4029940.0,Jackson Heights,sidewalk,11372,40.747278,yes,4012890039.0
Kitsby Cafe Inc,3395392.0,North Side-South Side,both,11211,40.714271,yes,3023937501.0
One One Domestic Corp,1080634.0,Hudson Yards-Chelsea-Flatiron-Union Square,both,10011,40.738475,yes,1008190017.0
HOU YI HOT POT INC,1003885.0,Chinatown,both,10002,40.71641,yes,1003000015.0
MALA MIDTOWN LLC,1034321.0,Midtown-Midtown South,roadway,10036,40.75663,no,1012620018.0
"Laguna Azul 1910, Inc.",3175209.0,Homecrest,both,11230,40.610909,yes,3066170036.0
jaya 888 inc,1002364.0,Chinatown,both,10013,40.71685,yes,1001980001.0
Paris Oven Inc,4436905.0,Astoria,sidewalk,11103,40.764201,yes,4006600045.0
EVIR CORP,1006651.0,East Village,both,10003,40.727897,yes,1004620023.0
"LEGENDARY NIGHT SPOTS, INC",1082224.0,West Village,sidewalk,10014,40.733697,yes,1006100001.0
Affys Premium Grill Inc.,,,both,11230,,yes,
MMG Tribeca NY Inc.,1001399.0,SoHo-TriBeCa-Civic Center-Little Italy,both,10007,40.713298,yes,1001240004.0
81 PEARL STREET V ENTURE LTD,1000838.0,Battery Park City-Lower Manhattan,openstreets,10004,40.704023,no,1000290024.0
115 RESTAURANT CORP,1055213.0,Central Harlem South,openstreets,10026,40.803649,no,1018300061.0
IDG Seaport Corp,1001381.0,Battery Park City-Lower Manhattan,both,10038,40.708143,yes,1001070042.0
EAST COAST BURGERS INC.,4437509.0,Maspeth,both,11385,40.7133,yes,4026340050.0
FRESH SUBWAY 168 INC,4152844.0,Fresh Meadows-Utopia,sidewalk,11365,40.739945,yes,4070740005.0
Noree Thai Bazaar Inc,,,both,10002,,yes,
TASTE GOOD PLACE INC,4314742.0,Flushing,roadway,11355,40.750047,no,4051490138.0
CDDF Inc.,,,both,10036,,yes,
TAKE AWAY AND CAFE INC.,,,both,11209,,yes,
SHIAWASE FACTORY LTD,1005034.0,East Village,both,10009,40.723716,yes,1004000050.0
"RF Broadway, LLC",1030865.0,Upper West Side,sidewalk,10024,40.782137,yes,1011680044.0
PEE DEE CORP.,1082322.0,East Harlem South,roadway,10029,40.794292,no,1016380033.0
Calabria Restaurant LLC,1086562.0,Battery Park City-Lower Manhattan,openstreets,10038,40.707333,no,1000977504.0
232 Vanderbilt Ave Restaurant Corp,3058576.0,Fort Greene,both,11205,40.690562,yes,3020920048.0
4902 Skillman Cafe LLC,4001159.0,Hunters Point-Sunnyside-West Maspeth,roadway,11377,40.746223,no,4001340025.0
"LA TRONCALENA RESTAURANT &amp; FOOD OPERATIONS, INC.",4044219.0,North Corona,both,11368,40.753059,yes,4017680007.0
Springbone 90 West 3rd LLC,1008671.0,West Village,sidewalk,10012,40.729909,yes,1005390014.0
L &amp; F MARTHA CORP.,4030314.0,Woodside,both,11377,40.746021,yes,4013000031.0
Gerizim Burger Factory,,,both,11233,,yes,
APQ Bryant Park NY LLC,1016059.0,Midtown-Midtown South,both,10018,40.753266,yes,1008410085.0
9 Crosby LLC & Highgate Hotels LP,1088790.0,SoHo-TriBeCa-Civic Center-Little Italy,roadway,10013,40.719904,no,1002330002.0
Bul Inc,3151324.0,Bay Ridge,sidewalk,11209,40.625663,yes,3059890043.0
Raguboy Corp,1004985.0,East Village,roadway,10009,40.722774,no,1003980061.0
"12 Chairs BYN, LLC.",3062890.0,North Side-South Side,both,11249,40.714522,yes,3024030031.0
PHO PLUS INC,4112225.0,Flushing,both,11354,40.760757,yes,4049700037.0
WEST 68TH STREET PIZZA CORP,1028939.0,Lincoln Square,both,10023,40.774949,yes,1011400029.0
