globalid,council_district,landmark_district_or_building,doing_business_as_dba,borough,approved_for_roadway_seating
{ABA9D22F-D002-4D7F-8B1C-DFC1BC784FEE},9.0,no,KEUR COUMBA RESTAURANT,Manhattan,no
{2DDC7213-5F11-4534-883A-8622D0AA67E8},2.0,no,Carra LLC,Manhattan,no
{5A0F9168-3D6D-4179-89A6-5FDD32EB850C},4.0,no,Fleming By Le Bilboquet,Manhattan,yes
{DFF5C0D6-07E8-4028-88BC-7EB7FBD24D55},15.0,no,TROPILYZ B RESTAURANT INC,Bronx,no
{55E1297F-3A71-4902-822C-69FB043C0B58},,no,Asian Kabab and Curry Inc,Brooklyn,yes
ed43d70c-12db-484f-814e-fa009684ba6b,35.0,no,Sweet Polly,Brooklyn,yes
{22CA7F2F-9A0A-45AB-8676-D5BDF29C701D},,no,Sunrise Mart Inc.,Manhattan,yes
{C88A09A9-9F8C-4043-88FB-74720843B3F7},8.0,no,R &amp; J LOUNGE,Manhattan,yes
{2CAF71B0-636A-4279-8B68-BC091CAA4669},36.0,no,The Wilky,Brooklyn,yes
{25D28DF5-DAFF-4AB8-887A-9BEEFB006853},26.0,no,GULSHAN TERRACE,Queens,yes
{238E0C84-0AD1-43E0-8A41-1CA6B17E329C},19.0,no,TOSOCCHON,Queens,no
{DA48265D-7730-416F-8E1C-EBC8C8ACE2C2},38.0,no,Xochil Pizza Corp,Brooklyn,no
{D4CC700E-963F-4A3F-89EC-0896E0CA0AFE},6.0,no,SWEETGREEN,Manhattan,no
{125A71BA-6C13-43EC-847E-C1D45A082D44},47.0,no,Kobe 1 Inc.,Brooklyn,yes
{FE63E11B-1E7A-437F-820E-B4FA74C8E009},39.0,no,la villa pizza,Brooklyn,yes
{3B6348D5-4FA5-477B-8590-1BE221D52BD7},4.0,no,Le Pain Quotidien,Manhattan,yes
{BA34B317-FCC5-41E2-889F-539C361E3A84},34.0,no,absurd conclave,Brooklyn,yes
{653C3C43-0A1F-46FE-8169-9ABC472500F8},13.0,no,MCDONALD'S,Bronx,no
{AF0E6C9E-5607-4377-8DF5-7D895659767B},25.0,no,LOS CAFETALES RESTAURANT CORP,Queens,no
{9D3B1993-13AF-4378-8585-0C16A563CA66},34.0,no,Kitsby Cafe Inc,Brooklyn,yes
{4DA0FA7B-DAAD-4D0D-840E-764611D01EFE},3.0,no,Basta Pasta,Manhattan,yes
{C42FEC0F-0B4B-4EDD-821C-F21A06BB5F76},1.0,no,HOU YI HOT POT,Manhattan,yes
{7EA632D4-F01B-46CF-8295-3378F4C8CA6C},4.0,no,MALA PROJECT,Manhattan,yes
{01184FC8-DE42-4D05-85A1-0D757B339B81},44.0,no,"Laguna Azul 1910, Inc.",Brooklyn,yes
33c98c02-fda5-4366-8b3a-2f8a4845e37d,1.0,yes,jaya 888,Manhattan,yes
24e91288-b49c-4ea5-850c-378a7779d72d,22.0,no,Paris Oven Inc,Queens,no
{101126BA-B696-4B06-855A-1E87CCF47B3E},2.0,yes,SAN MARZANO,Manhattan,yes
{F78EBF30-27EA-4D7B-87BA-EB8F7126F882},3.0,no,THE DUPLEX,Manhattan,no
{B64B6B2E-304F-4312-8149-86CED505B008},,no,Affys Premium Grill,Brooklyn,yes
{3E25AAA3-D232-4C1B-803D-4C0EFDA2B91F},1.0,no,Healthy Joe's,Manhattan,yes
{46F009AC-1DF9-4F39-8973-01E407466B67},1.0,yes,81 PEARL STREET V ENTURE LTD,Manhattan,no
{D3545387-9321-498A-8EC0-903D4FDE7704},9.0,no,ROW HOUSE,Manhattan,no
444b8588-85bc-44fd-8c2a-855bb5aa3cb8,1.0,yes,Thai Farm Kitchen Seaport,Manhattan,yes
{A2641570-9B32-46EC-8080-D9F1EBE40C59},30.0,no,EAST COAST BURGERS,Queens,yes
{9D8FA13C-DF64-42FE-819A-B8461874DB4D},23.0,no,Fresh Sub 168 Inc,Queens,no
{B2380BF7-7318-4CC5-8B3E-0A945616C75C},,no,Noree Thai Bazaar,Manhattan,yes
{53991CB4-082F-4D87-8985-74CD3ACB71DA},20.0,no,CHINESE RESTAURANT,Queens,yes
a323f70c-c586-42a7-8f87-53b230fb1a95,,no,Tito Murphys,Manhattan,yes
5be2bf16-1d12-4a3b-8a48-e9b931e8bf6d,,no,1974,Brooklyn,yes
50e6ec3b-fb79-4ffa-851f-d6503432b455,2.0,no,THE IZAKAYA,Manhattan,yes
{346C0704-1DC5-4081-85AF-84A0E76AF01E},6.0,no,RedFarm,Manhattan,no
{BD45D158-9EF2-45CA-828F-49420616FA34},8.0,no,PEE DEE STEAK,Manhattan,yes
{F916872C-A8F1-4150-8A20-2307EA416D99},1.0,yes,Il Brigante Restaurant,Manhattan,no
8e70838c-e737-47f0-87e8-f062d915a8dd,35.0,no,Graziella's Restaurant,Brooklyn,yes
cf1c71e2-79cc-4dc6-89f1-9246e3e82c32,26.0,no,P J Horgan's,Queens,yes
{1511AF75-228B-4EAF-8AD6-847AE505019A},21.0,no,LA TRONCALENA RESTAURANT,Queens,yes
{3F2B4026-DF96-4366-88CB-3D10DC67D8D6},1.0,yes,Springbone Kitchen,Manhattan,no
{A213525C-A6BC-420A-8A5B-99DD28ADEEC8},26.0,no,pasiones sport bar,Queens,yes
{595E6DAF-2D64-408A-8267-E12CC39C1C19},,no,Gerizim Burger Factory,Brooklyn,yes
{E160C2CA-FB1F-4065-8277-F790AF64FD0C},4.0,no,Le Pain Quotidien,Manhattan,yes
{4B48B0F3-A472-447F-834C-A6D8B2FEFF2B},45.0,no,LA Products and Services Corp,Brooklyn,yes
{09D067D4-B638-48B3-8390-91DE1A7BA764},20.0,no,DENGJI IIII RESTAURANT,Queens,yes
