objectid,legal_business_name,roadway_dimensions_length,restaurant_name,landmarkdistrict_terms,roadway_dimensions_area
10619,KEUR COUMBA RESTAURANT INC,,KEUR COUMBA RESTAURANT,,
10222,Carra LLC,,Dog and Bone,,
10059,27 East Restaurant Holdings LLC,36.0,Fleming By Le Bilboquet,,288.0
10182,TROPILYZ B RESTAURANT INC,,TROPILYZ B RESTAURANT INC,,
10265,Asian Kabab and Curry Inc,20.0,Asian Kabab and Curry,,60.0
1050,Barghost Corp.,20.0,Sweet Polly,,360.0
10489,Sunrise Mart Inc.,41.0,Sunrise Mart,,328.0
10616,R &amp; J LOUNGE CORP,32.0,R &amp; J LOUNGE,,256.0
10299,108 Gigs LLC,78.0,The Wilky,,624.0
10792,"HBC GROUP USA, INC.",100.0,GULSHAN TERRACE,,800.0
10130,G & J Restaurant Corp,,TOSOCCHON,,
10002,Xochil Pizza Corp,,Xochil Pizza Corp,,
10382,SWEETGREEN NEW YORK LLC,,SWEETGREEN,,
10145,Kobe 1 Inc.,19.0,Kasumi Sushi & BBQ Restaurant,,152.0
10036,di bella corp,40.0,la villa pizza,,320.0
10311,"APQ E53 NY, LLC",25.0,Le Pain Quotidien 53rd street,,200.0
10511,Absurd Conclave,50.0,Absurd Conclave,,400.0
10759,"SDJR SYSTEMS 3, LLC",,MCDONALD'S,,
10504,LOS CAFETALES RESTAURANT CORP,,LOS CAFETALES RESTAURANT CORP,,
10293,Kitsby Cafe Inc,30.0,Kitsby Dessert Bar,,240.0
10449,One One Domestic Corp,40.0,Basta Pasta,,320.0
10768,HOU YI HOT POT INC,18.0,HOU YI HOT POT,,144.0
10620,MALA MIDTOWN LLC,20.0,MALA PROJECT,,160.0
10545,"Laguna Azul 1910, Inc.",42.0,The Circus,,336.0
108,jaya 888 inc,50.0,jaya 888,yes,500.0
1059,Paris Oven Inc,,Paris Oven,,
10701,EVIR CORP,70.0,SAN MARZANO,yes,560.0
10815,"LEGENDARY NIGHT SPOTS, INC",,THE DUPLEX,,
10445,Affys Premium Grill Inc.,18.0,Affy's Premium Grill,,144.0
10319,MMG Tribeca NY Inc.,20.0,Healthy Joe's,,160.0
10003,81 PEARL STREET V ENTURE LTD,,BECKETTS BAR,yes,
