fwc_unique_individuals_by_5,fwc_race_ethnicity_hoh_white,af_unique_individuals_by_1,report_date,fwc_unique_individuals_by_6,fwc_avg_daily_census_2,sa_race_ethnicity_hoh_white,af_race_ethnicity_hoh_hispanic,fwc_unique_individuals_by_8,fwc_race_ethnicity_hoh_black,af_unique_individuals_by_4,total_homebase_enrollments,af_avg_daily_census_individual
7843,414,1363,2018-10-01T00:00:00.000,2156,39687,1922,949,43746,7820,258,2670,5355
16263,689,1190,2024-07-01T00:00:00.000,2793,62752,1861,846,68356,6785,245,2609,4060
15468,701,1560,2024-03-01T00:00:00.000,2677,61683,1927,1113,66041,6563,236,2562,4444
7563,386,1324,2020-01-01T00:00:00.000,1882,37433,2082,909,41024,7120,275,2027,5219
7639,408,1163,2015-11-01T00:00:00.000,2198,40518,1651,744,44443,7743,146,1978,4556
7661,402,1361,2019-03-01T00:00:00.000,2099,38517,2012,931,42222,7491,268,2594,5305
5321,245,826,2021-07-01T00:00:00.000,1194,25421,1811,605,28083,4755,193,1922,3510
7567,386,1340,2019-12-01T00:00:00.000,1892,37721,2055,905,40903,7096,278,2435,5221
15612,717,1633,2024-02-01T00:00:00.000,2671,63161,1945,1213,66895,6571,224,2438,4852
7647,404,1156,2015-10-01T00:00:00.000,2241,40333,1647,736,44555,7712,145,2241,4535
5518,267,829,2021-03-01T00:00:00.000,1294,28988,2023,667,28653,5406,195,2621,3979
5306,249,789,2021-08-01T00:00:00.000,1158,25371,1784,580,27971,4710,184,2015,3400
10493,385,2320,2023-01-01T00:00:00.000,1916,42445,1909,1994,48200,5273,202,2424,5691
12898,520,2647,2023-05-01T00:00:00.000,2174,50677,2375,2217,49274,5361,208,2741,6440
7727,410,1332,2018-08-01T00:00:00.000,2125,38732,1902,922,43230,7665,244,2716,5229
7478,396,1146,2015-07-01T00:00:00.000,2198,39546,1560,697,43992,7466,136,2455,4446
7473,392,1365,2019-07-01T00:00:00.000,1962,36761,1992,931,40849,7117,277,2777,5288
7607,428,1452,2017-05-01T00:00:00.000,2119,39402,1798,909,43156,7764,216,2401,5247
15113,556,1233,2025-03-01T00:00:00.000,2870,58591,1996,903,63619,6920,273,2576,4187
5321,245,826,2021-07-01T00:00:00.000,1194,25421,1811,605,28083,4755,193,1922,3510
7650,410,1327,2018-07-01T00:00:00.000,2103,38512,1923,919,42551,7445,247,2206,5156
15253,550,1238,2025-02-01T00:00:00.000,2863,58962,1977,870,64004,6972,272,2628,4172
7667,388,1368,2019-09-01T00:00:00.000,1980,37857,1994,923,41879,7334,271,2114,5299
16063,585,1241,2025-01-01T00:00:00.000,2945,56032,2002,849,67263,7179,266,2910,4094
8166,273,1503,2022-09-01T00:00:00.000,1562,34584,1637,1189,39541,5234,160,2116,3770
13460,553,2359,2023-07-01T00:00:00.000,2252,28105,2110,1936,58691,5679,211,2175,6170
5491,257,799,2021-10-01T00:00:00.000,1170,26157,1804,585,28759,4854,186,2093,3297
15945,763,1622,2023-12-01T00:00:00.000,2629,63314,2016,1224,68531,6550,208,2107,4772
11650,475,2434,2023-04-01T00:00:00.000,2048,46292,2330,2047,49274,5273,204,2282,6117
