bronx_cooperatives_comparable_properties_boro_block_lot,comparable_rental_1_gross_sqft,comparable_rental_2_boro_block_lot,comparable_rental_3_full_market_value,comparable_rental_3_address,comparable_rental_2_distance_from_coop_in_miles,comparable_rental_3_estimated_gross_income,comparable_rental_2_net_operating_income,comparable_rental_2_building_classification,comparable_rental_3_neighborhood,comparable_rental_1_building_classification,borough
2-05723-0084,92782,2-05789-0024,"10,760,000",3950 BLACKSTONE AVENUE,0.54,"3,092,924",1118726,D1-ELEVATOR,RIVERDALE,D1-ELEVATOR,2
2-05788-0074,64490,2-05705-0036,"1,485,000",3025 GODWIN TERRACE,0.49,"715,469",272132,C1-WALK-UP,KINGSBRIDGE/JEROME PARK,C7-WALK-UP,2
2-02683-0100,75672,2-02750-0022,"965,000",920 AVENUE ST JOHN,1.02,"523,347",381646,C7-WALK-UP,MORRISANIA/LONGWOOD,C7-WALK-UP,2
2-02721-0020,31282,2-03196-0058, , ,2.86, ,302702,C7-WALK-UP, ,C1-WALK-UP,2
2-04251-0011,112000,2-04178-0005, , ,0.51, ,274333,D1-ELEVATOR, ,D3-ELEVATOR,2
2-02746-0023,13547,2-02716-0031,"600,000",993 INTERVALE AVENUE,0.34,"188,365",48402,C7-WALK-UP,MORRISANIA/LONGWOOD,C7-WALK-UP,2
2-05904-0100,84925,2-05796-0129, , ,0.16, ,650595,D3-ELEVATOR, ,D1-ELEVATOR,2
2-05747-0605,92782,2-05732-0924,"3,795,000",3220 NETHERLAND AVENUE,0.07,"1,312,394",689838,D1-ELEVATOR,RIVERDALE,D1-ELEVATOR,2
2-02471-0050,92180,2-02471-0024,"1,537,000",1005 WALTON AVENUE,0.0,"750,180",247062,D7-ELEVATOR,MELROSE/CONCOURSE,D1-ELEVATOR,2
2-05796-0107,90025,2-05793-0467, , ,0.12, ,553390,D1-ELEVATOR, ,D7-ELEVATOR,2
2-03253-0221,75821,2-04319-0045, , ,2.31, ,372142,D1-ELEVATOR, ,D1-ELEVATOR,2
2-05746-0584,100498,2-05732-0924, , ,0.12, ,689838,D1-ELEVATOR, ,D1-ELEVATOR,2
2-03095-0007,19250,2-03128-0029, , ,0.46, ,142692,D7-ELEVATOR, ,D1-ELEVATOR,2
2-02301-0004,9280,2-02301-0040,"538,000",234 WILLIS AVENUE,0.0,"67,241",69668,C7-WALK-UP,MOTT HAVEN/PORT MORRIS,C7-WALK-UP,2
2-02791-0054,31125,2-02854-0018,"2,611,000",1971 GRAND AVENUE,0.55,"723,240",294411,D1-ELEVATOR,HIGHBRIDGE/MORRIS HEIGHTS,D1-ELEVATOR,2
2-03246-0056,137495,2-02880-0115, , ,2.51, ,647969,D3-ELEVATOR, ,D1-ELEVATOR,2
2-03900-0039,198104,2-03925-0018,"2,629,000",1742 EAST 172 STREET,0.24,"1,093,143",859246,D1-ELEVATOR,SOUNDVIEW,D3-ELEVATOR,2
2-03117-0010,19668,2-03111-0010,"774,000",2117 DALY AVENUE,0.23,"263,022",113956,C7-WALK-UP,EAST TREMONT,C1-WALK-UP,2
2-03100-0018,19750,2-03119-0007, , ,0.27, ,73493,C1-WALK-UP, ,C1-WALK-UP,2
2-05737-0061,100498,2-05732-0924,"1,475,000",3214 KINGSBRIDGE AVENUE,0.09,"599,169",689838,D1-ELEVATOR,KINGSBRIDGE/JEROME PARK,D1-ELEVATOR,2
2-03179-0052,70110,2-03194-0031,"861,000",2195 WALTON AVENUE,0.1,"382,615",155004,D7-ELEVATOR,FORDHAM,D1-ELEVATOR,2
2-03287-0100,81315,2-03287-0109,"1,694,000",2805 POND PLACE,0.0,"706,596",239455,D1-ELEVATOR,BEDFORD PARK/NORWOOD,D1-ELEVATOR,2
2-02727-0039,21995,2-02740-0004, , ,0.54, ,132423,C7-WALK-UP, ,C7-WALK-UP,2
2-04247-0057,42000,2-04178-0010, , ,0.39, ,837360,D3-ELEVATOR, ,D1-ELEVATOR,2
2-03567-0001,95370,2-03138-0001,"5,492,000",1018 EAST 163 STREET,2.11,"2,042,681",1380200,D1-ELEVATOR,MORRISANIA/LONGWOOD,D1-ELEVATOR,2
2-04289-0050,81456,2-04253-0080,"4,723,000",1541 WILLIAMSBRIDGE ROAD,0.28,"1,438,693",415281,D1-ELEVATOR,MORRIS PARK/VAN NEST,D1-ELEVATOR,2
2-02849-0028,34580,2-02861-0052,"1,573,000",1727 WALTON AVENUE,0.05,"474,534",226016,C1-WALK-UP,MOUNT HOPE/MOUNT EDEN,C1-WALK-UP,2
2-02461-0045,131600,2-02461-0001,"3,554,000",201 EAST 164 STREET,0.07,"1,392,730",383689,D7-ELEVATOR,MELROSE/CONCOURSE,D8-ELEVATOR,2
2-03277-0002,22000,2-03055-0012,"585,000",2362 WEBSTER AVENUE,0.55,"221,627",83816,C1-WALK-UP,BATHGATE,C1-WALK-UP,2
