novdescription,certifieddate,novid,latitude,nta,highhousenumber,bin,councildistrict,class,ordernumber,lot,originalcertifybydate,boro,currentstatusid,registrationid,novtype,streetcode
"§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR CEILING AND ALL WALLS IN THE 2nd ROOM FROM NORTH LOCATED AT APT A7, 2nd STORY, 1st APARTMENT FROM NORTH AT EAST , SECTION AT EAST",,4955278.0,40.664935,East Flatbush-Remsen Village,56,3099542.0,41.0,B,508,33,2015-01-12T00:00:00.000,BROOKLYN,22,312121,Original,73480
"§ 27-2005 ADM CODE REFIT APARTMENT ENTRANCE DOOR LOCATED AT APT 1F, 1st STORY, APARTMENT AT WEST , SECTION AT NORTH",2017-07-01T00:00:00.000,5695151.0,,,22 FRONT,,,A,529,15,2017-06-19T00:00:00.000,BROOKLYN,4,306067,Original,80930
"§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE CEILING IN THE 6th ROOM FROM EAST AT SOUTH LOCATED AT APT 41L, 4th STORY, 1st APARTMENT FROM NORTH AT EAST",,4790035.0,40.829536,Concourse-Concourse Village,1076,2002229.0,16.0,B,508,54,2014-04-18T00:00:00.000,BRONX,19,210186,Original,32820
"§ 27-2014 ADM CODE AND DEPT. RULES AND REGULATIONS. SCRAPE AND REMOVE RUST SCALES AND PAINT WITH 2 COATS OF PAINT THE FIRE ESCAPE, FRONT OF BUILDING",,4849852.0,40.663067,East New York-New Lots,575,3085038.0,42.0,A,561,51,2014-09-19T00:00:00.000,BROOKLYN,19,335352,Original,76430
§ 27-2033 ADM CODE PROVIDE READY ACCESS TO BUILDINGS HEATING SYSTEM DOOR LOCKED AT BOILER ROOM AT BASEMENT,2013-12-03T00:00:00.000,4722540.0,40.770917,Upper East Side-Lenox Hill-Roosevelt Island,1477,1045177.0,5.0,C,672,30,2013-11-25T00:00:00.000,MANHATTAN,19,134933,Original,10010
"§ 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT ALL WALL AND CEILING IN THE BATHROOM LOCATED AT APT C10H, 10th STORY, 1st APARTMENT FROM NORTH AT EAST",,4846868.0,40.818858,Manhattanville-West Harlem,3333C,1085767.0,7.0,A,556,9005,2014-09-14T00:00:00.000,MANHATTAN,19,143318,Original,13610
"§ 27-2005 ADM CODE REPLACE WITH NEW THE MISSING METAL COVER AT FUSE BOX IN THE KITCHENETTE LOCATED AT APT 3A, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",,4858535.0,40.829864,Hamilton Heights-Sugar Hill,722,1062442.0,7.0,B,506,17,2014-08-04T00:00:00.000,MANHATTAN,19,111978,Original,29690
"§ 27-2005 ADM CODE REPLACE WITH NEW THE MISSING UPPER AND LOWER WINDOW GLASS PANE AT NORTH AT PUBLIC HALL STAIRS, 1st STORY",,4773256.0,40.846921,Mount Hope,1812,2009359.0,15.0,C,506,59,2014-02-17T00:00:00.000,BRONX,19,205445,Original,20020
"§ 27-2045 ADM CODE REPAIR OR REPLACE THE SMOKE DETECTOR MISSING IN THE ENTIRE APARTMENT LOCATED AT APT 5, 5th STORY",,4787481.0,40.831085,Hamilton Heights-Sugar Hill,614,1062459.0,7.0,B,702,43,2014-04-15T00:00:00.000,MANHATTAN,19,124412,Original,36810
"§ 27-2005 ADM CODE PROPERLY REPAIR THE BROKEN OR DEFECTIVE LIGHT FIXTURE AT SOUTH WALL IN THE 1st PRIVATE HALLWAY FROM EAST LOCATED AT APT 12R, 1st STORY, 2nd APARTMENT FROM NORTH AT EAST",,4721219.0,40.829536,Concourse-Concourse Village,1076,2002229.0,16.0,B,501,54,2013-12-27T00:00:00.000,BRONX,19,210186,Original,32820
"§ 27-2018 ADMIN. CODE: ABATE THE NUISANCE CONSISTING OF MICE IN THE ENTIRE APARTMENT LOCATED AT APT 5, 2nd STORY, 2nd APARTMENT FROM SOUTH AT WEST",,4871187.0,40.862634,University Heights (North)-Fordham,2567,2016320.0,15.0,B,569,46,2014-08-27T00:00:00.000,BRONX,19,200072,Original,23920
"§ 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE CONCRETE AND CERAMIC FLOOR TILES AT 1ST STEP FROM BOTTOM AT ENTRANCE TO 1ST APT FROM EAST AT SOUTH ( # 1A ) AT PUBLIC HALL, 1st STORY",,4769184.0,40.844393,Washington Heights (South),277,1063422.0,10.0,C,502,204,2014-02-12T00:00:00.000,MANHATTAN,19,103373,Original,21190
"§ 27-2046.1 HMC: REPAIR OR REPLACE THE CARBON MONOXIDE DETECTING DEVICE(S). DEFECTIVE IN THE ENTIRE APARTMENT LOCATED AT APT 1GH, 1st STORY, 1st APARTMENT FROM EAST AT SOUTH",2014-03-19T00:00:00.000,4769477.0,40.852685,University Heights (South)-Morris Heights,226,2008964.0,14.0,B,1503,516,2014-03-20T00:00:00.000,BRONX,9,204975,Original,76850
§ 27-2005 ADM CODE & 309 M/D LAW ABATE THE NUISANCE CONSISTING OF STAGNANT WATER ON THE FLOOR NEAR WATER HEATER AT BOILER ROOM,2014-06-18T00:00:00.000,4799428.0,40.593572,Far Rockaway-Bayswater,120,4436179.0,31.0,B,510,1,2014-05-01T00:00:00.000,QUEENS,19,421091,Original,30190
"§ 300 M/D LAW FILE PLANS AND APPLICATION AND LEGALIZE THE FOLLOWING ALTERATION OR RESTORE TO THE LEGAL CONDITION EXISTING PRIOR TO THE MAKING OF SAID ALTERATION DROP CEILING. IN THE FOYER LOCATED AT APT 1A, 2nd STORY, 1st APARTMENT FROM SOUTH AT WEST",,4733591.0,40.846921,Mount Hope,1812,2009359.0,14.0,A,491,59,2014-03-21T00:00:00.000,BRONX,19,205445,Original,20020
