sitekey,sitename,apptorwalkin,ifridayclose,ifridayopen,aarp,:@computed_region_efsh_h5xi,sitestatus,prioryear,nta,fridayclose
FBNYC - 58,EDENWALD,Appointment Only,,,Yes,11275,Active,Yes,BX03,
FBNYC - 14,NYCHA Brooklyn Community Service Farragut Cornerstone,Appointment Only,14.0,11.0,No,16865,Active,Yes,BK38,2:00 PM
FBNYC - 50,East Flatbush Kings County Hospital NYC Health+Hospitals,Appointment Only,17.0,11.0,No,16866,Active,Yes,BK60,5:00 PM
FBNYC - 84,Sunnyside,Appointment Only,,,No,16861,Active,Yes,QN31,
FBNYC - 9,"""NYCHA Armstrong I & II, Marcy & Lafayette Houses - Bedford Stuyvesant Restoration Corporation- Flushing """,Appointment Only,17.0,9.5,No,17213,Active,Yes,BK75,5:00 PM
FBNYC - 8,Northern Manhattan Improvement Corporation,Appointment Only,16.0,9.0,No,13091,Active,Yes,MN36,4:00 PM
FBNYC - 43,Tremont Library,Walk-in Only,13.0,10.0,No,10935,Active,No,BX01,1:00 PM
AARPMN - 9,Our Lady of Pompeii Sr. Center,Walk-in Only,,,Yes,12077,Active,Yes,MN23,
FBNYC - 53,Office of Council Member Deutsch,Appointment Only,,,No,13512,Active,Yes,BK44,
FBNYC - 76,Flushing Library,Walk-in Only,,,No,14190,Active,No,QN22,
ARIVA - 8,Hunts Point Library,Appointment Only,,,No,10937,Active,No,BX27,
FBNYC - 31,Phipps Opportunity Center At Melrose,Walk-in Only,,,No,10929,Active,No,BX34,
UU - 1,Jesus Is The Answer,Both,,,No,24670,Active,Yes,QN61,
ARIVA - 14,Ariva at University Neiborhood Housing Program,Appointment Only,,,No,10936,Active,Yes,BX05,
FBNYC - 67,Bronx,Appointment Only,,,No,10936,Active,Yes,BX06,
GB - 2,Commonpoint Queens,Appointment Only,14.0,9.5,No,14786,Active,No,QN17,2:00 PM
CCHAYA - 2,Youth Ministriess for Peace and Justice,Appointment Only,,,No,11610,Active,Yes,BX08,
GB - 5,Blessed Assurance Church of God,Appointment Only,14.0,11.0,No,13516,Active,Yes,BK79,2:00 PM
UU - 21,Morrisania Baptist Church,Appointment Only,,,No,10934,Active,Yes,BX01,
AARPMN - 19,Parkchester Library,Walk-in Only,,,Yes,11271,Active,Yes,BX46,
FBNYC - 5,New York Common Pantry,Both,18.0,9.0,,12426,Active,Yes,MN33,6:00 PM
ARIVA - 2,Ariva at Springbank,Walk-in Only,,,No,10930,Active,Yes,BX63,
UU - 12,Grand Street Settlement,Both,14.0,10.0,No,17214,Active,Yes,BK85,2:00 PM
ARIVA - 13,Mexican Consulate,Appointment Only,16.0,8.5,No,12078,Active,Yes,MN20,4:00 PM
AARPMN - 23,Science Industry Business Library,Walk-in Only,,,Yes,12078,Active,Yes,MN17,
FBNYC - 39,Staten Island Seventh Day Adventist Church/New Brighton Community Church,Both,,,No,10691,Active,Yes,SI37,
AARPMN - 7,Center for Recovery and Wellness,Walk-in Only,,,Yes,11729,Active,Yes,MN28,
UU - 8,Food Bank For New York City - Virtual Prep - South Harlem,Walk-in Only,19.0,9.0,No,12423,Active,Yes,MN11,7:00 PM
PREP-BK,Brooklyn,Walk-in Only,,,No,16867,Active,No,BK29,
PREP-MH,Manhattan,Walk-in Only,,,No,13097,Active,No,MN03,
ARIVA - 11,Ariva at Part Of the Solution,Appointment Only,,,No,10936,Active,Yes,BX05,
FBNYC - 69,Congressmember Hakeem Jefferies,Appointment Only,,,No,17619,Active,No,BK68,
AARPMN - 11,St. Nicholas Church,Walk-in Only,,,Yes,11729,Active,Yes,MN22,
FBNYC - 42,Together We Can,Both,12.0,10.0,No,14784,Active,Yes,QN29,12:00 PM
NH - 1,Central Library,Walk-in Only,14.5,10.0,No,11729,Active,No,MN22,2:30 PM
GB - 8,Chhaya CDC-Jackson Heights,Appointment Only,,,No,14783,Active,No,QN28,
FBNYC - 27,"""NYCHA Van Dyke I and Brownsville Housed (DB Grant Associates, Inc)""",Both,17.0,9.0,No,17614,Active,Yes,BK81,5:00 PM
AARPMN - 13,Harlem Branch Library,Walk-in Only,14.0,10.0,Yes,12424,Active,Yes,MN11,2:00 PM
FBNYC - 30,Per Scholas,Appointment Only,17.0,9.0,No,10932,Active,Yes,BX39,5:00 PM
FBNYC - 64,Nazareth Housing,Appointment Only,,,No,11729,Active,Yes,MN22,
FBNYC - 23,NYCHA Manhattanville Cornerstone Community Center Graham-Windham,Both,21.0,19.0,No,12424,Active,Yes,MN06,9:00 PM
AARPMN - 15,Kennedy Center,Walk-in Only,13.5,9.5,Yes,12083,Active,Yes,MN31,1:30 PM
FBNYC - 1,Morrisania Community Resource Center,Both,18.5,9.0,No,10934,Active,Yes,BX01,6:30 PM
FBNYC - 3,Neighbors Together,Both,,,No,13516,Active,Yes,BK79,
