fax_number,number_programs,:@computed_region_f5dn_yrer,extracurricular_activities,addtl_info1,state_code,community_board,priority09,priority07,end_time
718-922-0593,1,45,"EMT Explorers, Explorer Program, Graphic Arts, Internships within the Fire Department, School Newsletter, Student Council Activities and Events, Student Government, Technology, PSAL Activities","Uniform Required: FDNY collared polo shirt, blue or black Dickies work pants",NY,5.0,,,3:00 PM
718-647-4458,6,45,"Band, Cheerleading, Chess, Chorus, Community Service, Computers, Conflict Resolution, Consultative Council, Dance, Debate, Drama, Honor Society, Leadership, Math, Newspaper, Peer Mediation, Shakespeare Festival, SkillsUSA, Steppers, Student Council, Student Mentoring, Transit Club, Yearbook",,NY,5.0,,,2:45 PM
718-589-1595,1,34,"Artist Residencies, 'Beyond the Mat' Wrestling Appreciation, College Prep, Community Service, Dance Team, Ballet & Pointe Class, Digital Photography, Drumming, 'Elite Productions' DJ and Music Production Squad, Health and Environment, Curatorial Program, Mural Painting, Japanese Culture and Anime, Fitness, Latino, Newspaper, Creative Writing, Restorative Justice Committee, Mock Trial & Debate, Student Council, Gay-Straight Alliance, Vocal Team, Visual Art, Yoga","Freshmen have the opportunity to take elective arts courses. We offer sequences of arts courses., Online grade books and assignment schedules allow students and their families to keep track of projects, assessments, and grades., Our portfolio program includes roundtable reviews. Seniors will present independent arts and research projects., We believe students learn best by doing. Our classes include projects, presentations, and discussions., We provide tutoring and Extracurricular Activities and Clubscurricular Activities and Clubshelp for students during lunch clubs and after school office hours.",NY,3.0,,,3:15 PM
718-381-3012,1,36," School Newspaper, Garden Club, Certamen (Latin Competition), Saltare (Dance), Drama, Global Awareness, Law Club, Legati, Math Team, Model UN, Moot Court, Muslim Student Association, National Honor Society, Outdoors Club, Peer Mediation, Photography, Public Declamation, Science Olympiad, Stoked Skateboarding, Student Senate, Studio Art, Viajeros, Yearbook"," from your guidance counselor., Uniform Required: white oxford shirt, school tie, khaki pants/skirt, black belt, black shoes",NY,1.0,,,2:30 PM
718-824-1663,1,58,"Youth Court, Student Government, Youth Service, Youth Service Leaders, Art, Graffiti Mural, Yearbook, Homework Help & Tutoring Services, Regents Prep, Saturday Academy, Senior Committee, Video Game, Yoga, Dance, Digital Media, Book, Chess, Soccer, Softball, Basketball Intramurals, National Honor Society","All students are individually programmed (based on academic needs), Incoming 9th grade students attend our Summer Orientation Session, All students are assigned to a small Student Learning Community that meets twice a week, College preparation begins in 9th grade and continues through 12th grade; this preparation includes College Trips (in-state, out-of-state, trade schools), College Fairs, College Workshops",NY,9.0,,,3:50 PM
718-590-1081,1,34,"National Honor Society / Spanish National Honor Society, Student Government, Peer Mentoring Program, School Leadership Team, Academic Enrichment Program, Small Group Tutoring, Test Preparation Seminars, Yearbook, Keyboard Music, Visual Arts, Theater Arts, Chorus, Dance, & Cheerleading, Photography, Art, Technology, Glee, Drama/Theatre","Uniform Required: short or long-sleeved collared white button-down shirt with school logo, khaki pants/maroon plaid skirt or v-neck sweater with school logo, Eximius tie, black shoes; boys wear black socks; girls wear maroon socks or stockings; all items may be purchased at Flynn and O'Hara or Kid's Place, Regents Preparation Academy Required",NY,3.0,,,3:22 PM
718-230-6262,1,17,"Variety of clubs: Chess, The Step Team, Fashion, Tech Team, Women's Group; Extensive arts after-school program: Dance Company, Drama Company and Chorus Company, back stage crew program that trains students in running the lights, sound, video and all back stage and pit crew responsibilities; Saturday and After-school classes for Regents Preparation; School Leadership Team; Student Government; at least three annual major school-wide productions; two annual talent shows",,NY,9.0,,,3:00 PM
718-944-3479,1,59,"The Challenge (academic competition sponsored by Cablevision), Art, ASPIRA, Beginner's Band, CFES Leadership Class, Chess, College and SAT Preparation, Computer, Dance, Drama, Drama Workshop, Introduction to Computers, Mentoring Program, National Honor Society, Panther Press Journalism, Peer Tutoring, PEP & Latin Jazz Band, Pep Band, Poetry, Sociedad Honoraria Hispanica (National Spanish Honor Society), Student Council, Student Union, Web Design","Students are required to take four years of Science, Mathematics and a Second Language, Incoming Freshmen are expected to attend a Summer Bridge Program prior to 9th grade",NY,11.0,,,3:45 PM
718-292-2172,1,49,"Artist-in-Residence Program, Career Fair, Dance, Debate, Hip-Hop Workshop, Horror, Math, Mathletes, MOUSE Squad, Movies in History, National Honor Society, Newspaper, SBP Prep Players, Sci-Fi, Step Team, Student Advisory Board; Cougar Council, Webcasting","Uniform Required: white or navy blue school shirt (polo, sweatshirt, hoodie or sweater vest), khaki pants, skirt/skort, After-school Programs",NY,1.0,,,3:00 PM
718-597-1371,1,58,"Student Government, School-based garden, EPIC Theater Ensemble","Students work at their apprenticeships two or three days a week for 12–18 hours a week (usually from 9:00AM - 3:00PM on work days)., Weekend Outward Bound Adventure required for all new students (e.g., Overnight Camping trip)",NY,9.0,,,3:00 PM
