brooklyn_cooperatives_comparable_properties_boro_block_lot,brooklyn_cooperatives_comparable_properties_address,latitude,longitude,bin,comparable_rental_1_building_classification,comparable_rental_2_est_gross_income,comparable_rental_1_neighborhood,comparable_rental_1_boro_block_lot,brooklyn_cooperatives_comparable_properties_market_value_per_sqft,brooklyn_cooperatives_comparable_properties_year_built,census_tract,comparable_rental_2_boro_block_lot,comparable_rental_1_full_market_value,comparable_rental_1_est_gross_income,comparable_rental_1_address
3-08686-0025,"{'latitude': '40.575664330365', 'longitude': '-73.963810696133', 'human_address': '{""address"": ""313 BRIGHTWATER COURT"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.575685,-73.963445,3245063.0,D1-ELEVATOR,547909.0,BAY RIDGE,3-06060-0032,48.5,1931,36001.0,3-05389-0067,2460000,727326,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""8802 RIDGE BOULEVARD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06498-0068,"{'latitude': '40.664323475913', 'longitude': '-73.977929398408', 'human_address': '{""address"": ""759 10 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,,,D1-ELEVATOR,4596080.0,OCEAN PARKWAY-SOUTH,3-06683-0052,41.6,1958,,3-08470-1018,723000,340920,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""1965 7 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-02103-0062,"{'latitude': '40.687615468111', 'longitude': '-73.971245850843', 'human_address': '{""address"": ""159 LAFAYETTE AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.687592,-73.971248,3326231.0,C1-WALK-UP,387334.0,BOERUM HILL,3-00396-0053,83.0,1920,181.0,3-03044-0029,1650000,398277,"{'latitude': '40.685046380837', 'longitude': '-73.992259277473', 'human_address': '{""address"": ""311 BALTIC STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06681-0415,"{'latitude': '40.604687768398', 'longitude': '-73.967081100248', 'human_address': '{""address"": ""1802 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.604451,-73.966742,317865900.00%,D1-ELEVATOR,4596080.0,OCEAN PARKWAY-SOUTH,3-06683-0052,39.9,1926,41402.0,3-08470-1018,723000,340920,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""1965 7 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06344-0033,"{'latitude': '40.60699030783', 'longitude': '-74.000615843195', 'human_address': '{""address"": ""1864 85 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.607039,-74.000677,3165771.0,D1-ELEVATOR,908920.0,BAY RIDGE,3-06047-0031,67.0,1930,278.0,3-06107-0029,4510000,1206404,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""8708 RIDGE BOULEVARD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-07433-0025,"{'latitude': '40.585332588779', 'longitude': '-73.982093898409', 'human_address': '{""address"": ""2546 13 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,,,D1-ELEVATOR,4596080.0,OCEAN PARKWAY-SOUTH,3-06683-0052,50.0,1960,,3-08470-1018,723000,340920,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""1965 7 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01179-0066,"{'latitude': '40.672522980592', 'longitude': '-73.965110559869', 'human_address': '{""address"": ""115 EASTERN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.672505,-73.965374,3029630.0,D1-ELEVATOR,601194.0,PARK SLOPE,3-01078-0016,49.8,1922,215.0,3-01361-0043,2030000,599874,"{'latitude': '40.670711051002', 'longitude': '-73.977282710454', 'human_address': '{""address"": ""530 2 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01178-0059,"{'latitude': '40.671694141811', 'longitude': '-73.958263369849', 'human_address': '{""address"": ""547 LINCOLN PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.671674,-73.958269,3029605.0,C1-WALK-UP,232529.0,GREENPOINT,3-02495-0042,43.4,1911,217.0,3-01281-0009,503000,237257,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""1085 MANHATTAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05329-0072,"{'latitude': '40.647115378443', 'longitude': '-73.974518259433', 'human_address': '{""address"": ""135 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.647121,-73.974523,3124349.0,D1-ELEVATOR,347984.0,KENSINGTON,3-05324-0001,40.1,1965,504.0,3-05325-0065,10800000,3474118,"{'latitude': '40.645989842578', 'longitude': '-73.980004122275', 'human_address': '{""address"": ""333 MC DONALD AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01249-0007,"{'latitude': '40.672319847849', 'longitude': '-73.946859405594', 'human_address': '{""address"": ""960 STERLING PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.672325,-73.946639,3031981.0,D1-ELEVATOR,725000.0,CROWN HEIGHTS,3-01403-0055,17.69,1937,339.0,3-01220-0019,1140000,535723,"{'latitude': '40.666969275512', 'longitude': '-73.929857516628', 'human_address': '{""address"": ""1745 PRESIDENT STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-07244-0058,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""711 MONTAUK COURT"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.585692,-73.961488,3196230.0,D1-ELEVATOR,1211526.0,OCEAN PARKWAY-SOUTH,3-07234-0100,68.0,1955,370.0,3-07212-0104,4720000,1514196,"{'latitude': '40.585949806647', 'longitude': '-73.971218109239', 'human_address': '{""address"": ""2611 2 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06796-0017,"{'latitude': '40.607324969984', 'longitude': '-73.958996347677', 'human_address': '{""address"": ""1730 14 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,,,D1-ELEVATOR,4596080.0,OCEAN PARKWAY-SOUTH,3-06683-0052,51.0,1961,,3-08470-1018,723000,340920,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""1965 7 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-07159-0040,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""735 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,,,D1-ELEVATOR,1041998.0,BAY RIDGE,3-06111-0057,68.0,1962,,3-06111-0057,3900000,1041998,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""9480 RIDGE BOULEVARD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-00919-0006,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""4011 7 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.647917,-74.000202,3018063.0,C1-WALK-UP,675288.0,BOROUGH PARK,3-00733-0038,64.0,1924,90.0,3-00297-0019,1680000,497015,"{'latitude': '40.644026338157', 'longitude': '-73.998001532029', 'human_address': '{""address"": ""874 43 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01091-0035,"{'latitude': '40.700627228686', 'longitude': '-73.985419059894', 'human_address': '{""address"": ""133 PROSPECT PARK"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.661354,-73.96968,3000000.0,D1-ELEVATOR,676934.0,PARK SLOPE,3-01065-0027,49.6,1904,177.0,3-00220-0016,2450000,655910,"{'latitude': '40.673611671934', 'longitude': '-73.973367230345', 'human_address': '{""address"": ""862 UNION STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05305-0051,"{'latitude': '40.646445987146', 'longitude': '-73.981227081954', 'human_address': '{""address"": ""36 DAHILL ROAD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.646384,-73.981186,3123574.0,D1-ELEVATOR,1074839.0,KENSINGTON,3-05328-0037,18.48,1950,498.0,3-05307-0045,2760000,1064706,"{'latitude': '40.645723070538', 'longitude': '-73.974867230943', 'human_address': '{""address"": ""178 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06620-0001,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""100 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,,,D1-ELEVATOR,4596080.0,OCEAN PARKWAY-SOUTH,3-06683-0052,36.4,1938,,3-08470-1018,723000,340920,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""1965 7 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06818-0025,"{'latitude': '40.601818337569', 'longitude': '-73.985222128236', 'human_address': '{""address"": ""1840 13 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,,,D1-ELEVATOR,4596080.0,OCEAN PARKWAY-SOUTH,3-06683-0052,34.5,1954,,3-08470-1018,723000,340920,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""1965 7 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05209-0022,"{'latitude': '40.639451899077', 'longitude': '-73.955216461757', 'human_address': '{""address"": ""2323 NEWKIRK AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.639411,-73.955249,3.1203060E+6,C1-WALK-UP,136329.0,FLATBUSH-CENTRAL,3-05212-0043,18.08,1934,51601.0,3-05213-0062,355000,167451,"{'latitude': '40.639673108024', 'longitude': '-73.953048861657', 'human_address': '{""address"": ""2516 NEWKIRK AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05826-0001,"{'latitude': '40.638629113203', 'longitude': '-74.022457644565', 'human_address': '{""address"": ""350 65 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",,,,D1-ELEVATOR,5576956.0,BATH BEACH,3-06469-0001,33.9,1971,,3-06489-0001,15800000,5069960,"{'latitude': '40.581338573306', 'longitude': '-73.985731991852', 'human_address': '{""address"": ""2064 CROPSEY AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01181-0055,"{'latitude': '40.670928665677', 'longitude': '-73.958115619028', 'human_address': '{""address"": ""321 EASTERN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.670735,-73.958306,3029661.0,C1-WALK-UP,372014.0,CROWN HEIGHTS,3-01178-0075,55.0,1920,217.0,3-01085-0037,1680000,449518,"{'latitude': '40.671963251969', 'longitude': '-73.959568191482', 'human_address': '{""address"": ""505 LINCOLN PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-00302-0009,"{'latitude': '40.688174410977', 'longitude': '-73.995247591158', 'human_address': '{""address"": ""200 CONGRESS STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.688123,-73.994984,3003273.0,D7-ELEVATOR,2815602.0,BROOKLYN HEIGHTS,3-00236-0015,56.0,1952,45.0,3-08719-0038,5380000,2536474,"{'latitude': '40.695829631478', 'longitude': '-73.995231517766', 'human_address': '{""address"": ""55 PIERREPONT STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-03243-0052,"{'latitude': '40.697188790348', 'longitude': '-73.925104568118', 'human_address': '{""address"": ""87 STOCKHOLM STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.697063,-73.925187,3073775.0,C1-WALK-UP,127271.0,BROWNSVILLE,3-03612-0011,26.7,1931,421.0,3-03243-0048,527000,203457,"{'latitude': '40.657863656559', 'longitude': '-73.910606048624', 'human_address': '{""address"": ""919 HOPKINSON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05424-0001,"{'latitude': '40.631063312045', 'longitude': '-73.971458088', 'human_address': '{""address"": ""715 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",40.630992,-73.971747,3127938.0,D1-ELEVATOR,1289875.0,OCEAN PARKWAY-NORTH,3-05376-0033,54.0,1954,482.0,3-05376-0033,4820000,1289875,"{'latitude': '40.667123961228', 'longitude': '-73.980367254498', 'human_address': '{""address"": ""430 8 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
