brooklyn_cooperatives_comparable_properties_boro_block_lot,borough,postcode,comparable_rental_1_market_value_per_sqft,comparable_rental_2_market_value_per_sqft,comparable_rental_1_year_built,comparable_rental_2_address
3-06111-0001,3,11209.0,52.0,66.0,1926,"{'latitude': '40.619199405119', 'longitude': '-74.025508438186', 'human_address': '{""address"": ""8829 FT HAMILTON PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-02338-0023,3,11211.0,51.0,54.0,1910,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""281 7 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06503-0020,3,11230.0,28.8,210.0,1931,"{'latitude': '40.609047457105', 'longitude': '-73.914120999897', 'human_address': '{""address"": ""5905 STRICKLAND AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06681-0415,3,11223.0,28.8,210.0,1931,"{'latitude': '40.609047457105', 'longitude': '-73.914120999897', 'human_address': '{""address"": ""5905 STRICKLAND AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06606-0026,3,,28.8,210.0,1931,"{'latitude': '40.609047457105', 'longitude': '-73.914120999897', 'human_address': '{""address"": ""5905 STRICKLAND AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-08669-0068,3,11235.0,64.0,41.2,1924,"{'latitude': '40.579359485036', 'longitude': '-73.955902832961', 'human_address': '{""address"": ""3047 BRIGHTON 13 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01173-0040,3,11238.0,43.4,78.0,1911,"{'latitude': '40.698595632509', 'longitude': '-73.961752211107', 'human_address': '{""address"": ""51 CLASSON AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06462-0040,3,11214.0,22.29,15.24,1951,"{'latitude': '40.631822215887', 'longitude': '-74.029428222636', 'human_address': '{""address"": ""238 BAY RIDGE PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05209-0022,3,11226.0,22.19,24.18,1931,"{'latitude': '40.638449910913', 'longitude': '-73.951964112481', 'human_address': '{""address"": ""2617 FOSTER AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-07674-0021,3,11230.0,23.73,21.97,1925,"{'latitude': '40.644765865704', 'longitude': '-73.959963262862', 'human_address': '{""address"": ""735 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01066-0063,3,11215.0,119.0,72.0,1920,"{'latitude': '40.696688625974', 'longitude': '-73.931086906737', 'human_address': '{""address"": ""703 BUSHWICK AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01103-0073,3,,109.0,91.0,1920,"{'latitude': '40.665655682039', 'longitude': '-73.979265416551', 'human_address': '{""address"": ""911 8 AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05611-0044,3,11219.0,68.0,78.0,1916,"{'latitude': '40.661320254035', 'longitude': '-73.961214173092', 'human_address': '{""address"": ""526 FLATBUSH AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-07440-0028,3,11235.0,28.8,210.0,1931,"{'latitude': '40.609047457105', 'longitude': '-73.914120999897', 'human_address': '{""address"": ""5905 STRICKLAND AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-00261-0018,3,11201.0,245.0,51.0,1930,"{'latitude': '40.684505153339', 'longitude': '-73.946215456001', 'human_address': '{""address"": ""377 PUTNAM AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-01165-0011,3,11238.0,96.0,92.0,1931,"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""633 GRAND AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-06296-0046,3,11214.0,28.8,210.0,1931,"{'latitude': '40.609047457105', 'longitude': '-73.914120999897', 'human_address': '{""address"": ""5905 STRICKLAND AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
3-05375-0049,3,11218.0,72.0,54.0,1927,"{'latitude': '40.618015768336', 'longitude': '-74.031381813636', 'human_address': '{""address"": ""364 93 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}"
