bin,comparable_rental_1_dist_from_coop_in_miles,brooklyn_cooperatives_comparable_properties_full_market_value,brooklyn_cooperatives_comparable_properties_gross_sqft,bbl,comparable_rental_1_total_units,comparable_rental_2_year_built,nta,comparable_rental_2_total_units,brooklyn_cooperatives_comparable_properties_building_classification,comparable_rental_2_building_classification,comparable_rental_2_full_market_value,brooklyn_cooperatives_comparable_properties_gross_income_per_sqft
3121544.0,0.3,1000000,64800,3052460001.0,35,1917.0,Flatbush                                                                   ,59.0,D4-ELEVATOR,C1-WALK-UP,1320000.0,7.31
3029328.0,0.2,1080000,17680,3011700041.0,16,1920.0,Prospect Heights                                                           ,16.0,C6-WALK-UP,C1-WALK-UP,797000.0,16.37
3001724.0,2.15,2110000,37800,3002300017.0,35,1926.0,Brooklyn Heights-Cobble Hill                                               ,39.0,D4-ELEVATOR,C1-WALK-UP,1900000.0,16.52
3038759.0,0.7,309000,17576,3014420066.0,12,1910.0,Ocean Hill                                                                 ,16.0,C6-WALK-UP,C1-WALK-UP,283000.0,8.29
3000000.0,2.05,1290000,17324,3011170001.0,20,1930.0,park-cemetery-etc-Brooklyn                                                 ,39.0,C6-WALK-UP,C1-WALK-UP,1600000.0,19.88
3174960.0,0.5,1550000,35160,3066120052.0,35,2000.0,Ocean Parkway South                                                        ,98.0,D4-ELEVATOR,D9-ELEVATOR,22600000.0,14.17
,2.9,1170000,17976,,32,1900.0,,20.0,C6-WALK-UP,C1-WALK-UP,1650000.0,17.4
3068059.0,1.3,816000,15225,3027320010.0,20,1930.0,North Side-South Side                                                      ,16.0,C6-WALK-UP,C1-WALK-UP,3180000.0,25.3
3319501.0,1.45,702000,8000,3019160008.0,16,1900.0,Clinton Hill                                                               ,14.0,C6-WALK-UP,C1-WALK-UP,600000.0,21.18
,0.4,1010000,18720,,31,1912.0,,30.0,C6-WALK-UP,C7-WALK-UP,1900000.0,16.0
3001926.0,0.8,2790000,27294,3002380024.0,60,1999.0,Brooklyn Heights-Cobble Hill                                               ,46.0,D4-ELEVATOR,D9-ELEVATOR,5910000.0,24.72
3001799.0,0.7,2130000,22750,3002350044.0,40,1931.0,Brooklyn Heights-Cobble Hill                                               ,16.0,D4-ELEVATOR,C1-WALK-UP,2530000.0,22.65
,0.1,1080000,24600,,24,1912.0,,30.0,C6-WALK-UP,C1-WALK-UP,1020000.0,14.1
3345768.0,1.8,4480000,138600,3064940051.0,35,2000.0,Flatbush                                                                   ,98.0,D4-ELEVATOR,D9-ELEVATOR,22600000.0,11.49
3035282.0,1.25,206000,9964,3013280044.0,20,1922.0,Prospect Lefferts Gardens-Wingate                                          ,32.0,C6-WALK-UP,C1-WALK-UP,573000.0,9.75
,1.1,1020000,11704,,16,1920.0,,14.0,C6-WALK-UP,C1-WALK-UP,1180000.0,21.11
3326019.0,0.25,28700000,593599,3002170001.0,191,1960.0,Brooklyn Heights-Cobble Hill                                               ,138.0,D4-ELEVATOR,D1-ELEVATOR,6160000.0,14.32
3379645.0,5.6,6410000,95960,3019430006.0,139,1982.0,Clinton Hill                                                               ,135.0,D4-ELEVATOR,D1-ELEVATOR,9220000.0,17.86
3145074.0,0.95,2270000,69600,3058610043.0,60,1925.0,Bay Ridge                                                                  ,39.0,C6-WALK-UP,C1-WALK-UP,1000000.0,11.59
