dbn,location_name,_04_expulsions,_10_superintendent,_02_superintendent,_04_superintendent,_12_expulsions,_07_expulsions,_10_principal,_06_expulsions,_08_expulsions,_0k_superintendent,_04_removals,_04_principal
02M280,Manhattan Early College School for Advertising,R,R,R,R,R,R,8,R,R,R,R,R
11X087,P.S. 087 Bronx,R,R,R,R,R,R,R,R,R,R,R,R
11X275,High School of Computers and Technology,R,11,R,R,R,R,32,R,R,R,R,R
11X181,I.S. 181 Pablo Casals,R,R,R,R,R,R,R,R,R,R,R,R
15K447,The Math & Science Exploratory School,R,R,R,R,R,R,R,R,R,R,R,R
02M520,Murry Bergtraum High School for Business Careers,R,R,R,R,R,R,22,R,R,R,R,R
20K185,P.S. 185 Walter Kassenbrock,R,R,R,R,R,R,R,R,R,R,R,R
11X508,Bronxdale High School,R,R,R,R,R,R,R,R,R,R,R,R
11X096,P.S. 096 Richard Rodgers,R,R,R,R,R,R,R,R,R,R,R,R
02M011,P.S. 011 William T. Harris,R,R,R,R,R,R,R,R,R,R,R,R
06M324,M.S. 324 - Patria Mirabal,R,R,R,R,R,R,R,R,R,R,R,R
11X498,P.S./M.S. 11X498 - VAN NEST ACADEMY,R,R,R,R,R,R,R,R,R,R,R,R
17K092,P.S. 092 Adrian Hegeman,R,R,R,R,R,R,R,R,R,R,R,R
05M046,P.S. 046 Arthur Tappan,R,R,R,R,R,R,R,R,R,R,8,R
10X080,J.H.S. 080 The Mosholu Parkway,R,R,R,R,R,R,R,R,R,R,R,R
07X522,Bronx Design and Construction Academy,R,R,R,R,R,R,16,R,R,R,R,R
14K257,P.S. 257 John F. Hylan,R,R,R,R,R,R,R,R,R,R,R,R
09X250,Eximius College Preparatory Academy: A College Boa,R,R,R,R,R,R,9,R,R,R,R,R
08X130,P.S. 130 Abram Stevens Hewitt,R,R,R,R,R,R,R,R,R,R,R,R
15K529,West Brooklyn Community High School,R,R,R,R,R,R,R,R,R,R,R,R
06M528,I.S. 528 Bea Fuller Rodgers School,R,R,R,R,R,R,R,R,R,R,R,R
04M112,P.S. 112 Jose Celso Barbosa,R,R,R,R,R,R,R,R,R,R,R,R
19K292,J.H.S. 292 Margaret S. Douglas,R,R,R,R,R,R,R,R,R,R,R,R
15K592,Khalil Gibran International Academy,R,R,R,R,R,R,R,R,R,R,R,R
18K233,P.S. 233 Langston Hughes,R,R,R,R,R,R,R,R,R,R,R,R
12X067,P.S. 067 Mohegan School,R,R,R,R,R,R,R,R,R,R,R,R
03M191,The Riverside School for Makers and Artists,R,R,R,R,R,R,R,R,R,R,R,R
13K483,The Urban Assembly School for Law and Justice,R,7,R,R,R,R,26,R,R,R,R,R
12X458,Samara Community School,R,R,R,R,R,R,R,R,R,R,R,R
02M407,Institute for Collaborative Education,R,R,R,R,R,R,R,R,R,R,R,R
13K616,Brooklyn High School for Leadership and Community,R,R,R,R,R,R,R,R,R,R,R,R
07X223,The Laboratory School of Finance and Technology: X,R,R,R,R,R,R,R,R,R,R,R,R
15K767,The Little Brooklyn Pre-K Center,R,R,R,R,R,R,R,R,R,R,R,R
18K268,P.S. 268 Emma Lazarus,R,R,R,R,R,R,R,R,R,R,R,R
10X331,The Bronx School of Young Leaders,R,R,R,R,R,R,R,R,R,R,R,R
01M839,Tompkins Square Middle School,R,R,R,R,R,R,R,R,R,R,R,R
06M153,P.S. 153 Adam Clayton Powell,R,R,R,R,R,R,R,R,R,R,R,R
17K547,Brooklyn Academy of Science and the Environment,R,12,R,R,R,R,26,R,R,R,R,R
03M415,Wadleigh Secondary School for the Performing & Vis,R,R,R,R,R,R,6,R,R,R,R,R
05M030,P.S. 030 Hernandez/Hughes,R,R,R,R,R,R,R,R,R,R,9,R
13K575,Bedford Stuyvesant Preparatory High School,R,8,R,R,R,R,10,R,R,R,R,R
18K566,Brooklyn Generation School,R,R,R,R,R,R,R,R,R,R,R,R
02M933,City Knoll Middle School,R,R,R,R,R,R,R,R,R,R,R,R
02M439,Manhattan Village Academy,R,R,R,R,R,R,R,R,R,R,R,R
06M513,Castle Bridge School,R,R,R,R,R,R,R,R,R,R,R,R
13K901,G. Westinghouse Evening H.S.,R,R,R,R,R,R,R,R,R,R,R,R
13K305,P.S. 305 Dr. Peter Ray,R,R,R,R,R,R,R,R,R,R,R,R
15K676,Red Hook Neighborhood School,R,R,R,R,R,R,R,R,R,R,R,R
15K464,Park Slope Collegiate,R,R,R,R,R,R,R,R,R,R,R,R
17K241,P.S. 241 Emma L. Johnston,R,R,R,R,R,R,R,R,R,R,R,R
07X456,Alfred E. Smith Campus YABC,R,R,R,R,R,R,R,R,R,R,R,R
03M145,"P.S. 145, The Bloomingdale School",R,R,R,R,R,R,R,R,R,R,R,R
18K637,Academy for Conservation and the Environment,R,R,R,R,R,R,6,R,R,R,R,R
03M208,The Alain L. Locke Magnet School for Environmental,R,R,R,R,R,R,R,R,R,R,R,R
07X359,Concourse Village Elementary School,R,R,R,R,R,R,R,R,R,R,R,R
19K507,Performing Arts and Technology High School,R,R,R,R,R,R,18,R,R,R,R,R
02M290,P.S. 290 Manhattan New School,R,R,R,R,R,R,R,R,R,R,R,R
12X242,Mott Hall V,R,R,R,R,R,R,R,R,R,R,R,R
11X567,Linden Tree Elementary School,R,R,R,R,R,R,R,R,R,R,R,R
12X314,Fairmont Neighborhood School,R,R,R,R,R,R,R,R,R,R,R,R
11X287,North Bronx School of Empowerment,R,R,R,R,R,R,R,R,R,R,R,R
02M183,P.S. 183 Robert L. Stevenson,R,R,R,R,R,R,R,R,R,R,R,R
12X684,Wings Academy,R,R,R,R,R,R,R,R,R,R,R,R
01M020,P.S. 020 Anna Silver,R,R,R,R,R,R,R,R,R,R,R,R
05M148,Eagle Academy for Young Men of Harlem,R,R,R,R,R,R,R,R,R,R,R,R
09X252,Mott Hall Bronx High School,R,R,R,R,R,R,13,R,R,R,R,R
02M580,Richard R. Green High School of Teaching,R,R,R,R,R,R,R,R,R,R,R,R
20K030,P.S./I.S. 30 Mary White Ovington,R,R,R,R,R,R,R,R,R,R,R,R
16K688,The Brooklyn Academy of Global Finance,R,6,R,R,R,R,R,R,R,R,R,R
02M276,Battery Park City School,R,R,R,R,R,R,R,R,R,R,R,R
07X600,Alfred E. Smith Career and Technical Education Hig,R,7,R,R,R,R,10,R,R,R,R,R
11X288,Collegiate Institute for Math and Science,R,R,R,R,R,R,R,R,R,R,R,R
10X159,P.S. 159 Luis Munoz Marin Biling,R,R,R,R,R,R,R,R,R,R,R,R
08X467,Mott Hall Community School,R,R,R,R,R,R,R,R,R,R,R,R
14K250,P.S. 250 George H. Lindsay,R,R,R,R,R,R,R,R,R,R,R,R
04M012,Tag Young Scholars,R,R,R,R,R,R,R,R,R,R,R,R
06M314,Muscota,R,R,R,R,R,R,R,R,R,R,R,R
02M507,Urban Assembly Gateway School for Technology,R,R,R,R,R,R,R,R,R,R,R,R
09X236,P.S. 236 Langston Hughes,R,R,R,R,R,R,R,R,R,R,R,R
15K001,P.S. 001 The Bergen,R,R,R,R,R,R,R,R,R,R,R,R
01M015,P.S. 015 Roberto Clemente,R,R,R,R,R,R,R,R,R,R,R,R
04M206,P.S. 206 Jose Celso Barbosa,R,R,R,R,R,R,R,R,R,R,R,R
