no_travel_sick,deliver_package_locker,made_trips,deliver_prepared,deliver_package_home,deliver_food,deliver_package_work
995,0,1,0,0,0,0
995,0,1,0,1,0,0
995,-9998,1,-9998,-9998,-9998,-9998
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
0,0,0,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,1,0,0
0,0,0,0,1,0,0
0,0,0,1,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,1
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,1,0,0
995,0,1,0,0,0,0
995,-9998,1,-9998,-9998,-9998,-9998
995,0,1,0,0,0,0
995,0,1,0,1,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
995,0,1,0,1,0,1
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
0,0,0,0,1,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,1,0,0
995,0,1,0,1,0,0
995,0,1,0,0,0,0
995,0,1,0,1,0,0
995,0,1,0,0,0,0
0,0,0,0,0,0,0
995,0,1,0,0,0,0
995,-9998,1,-9998,-9998,-9998,-9998
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
0,0,0,0,0,0,0
995,0,1,0,1,0,0
995,0,1,0,0,0,1
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,1,0,0,0
995,0,1,0,0,0,0
0,0,0,0,1,0,0
995,1,1,0,0,0,0
995,0,1,1,1,0,0
0,0,0,0,1,0,0
0,0,0,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,1,0,0
995,0,1,0,0,0,0
995,-9998,1,-9998,-9998,-9998,-9998
995,0,1,1,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
0,0,0,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
0,0,0,0,0,0,0
995,0,1,1,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
1,0,0,0,0,0,0
995,0,1,0,0,0,0
0,0,0,0,0,0,0
995,0,1,0,1,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
0,0,0,1,1,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,1,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
0,0,0,0,1,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
0,0,0,1,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,-9998,1,-9998,-9998,-9998,-9998
995,0,1,0,0,0,0
995,0,1,0,1,0,0
995,0,1,0,1,0,0
995,0,1,0,1,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,1,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
0,0,0,0,0,0,0
995,0,1,0,0,0,0
1,0,0,0,0,0,0
995,0,1,0,1,0,0
995,0,1,0,1,0,0
995,0,1,0,0,0,0
0,0,0,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,1,0
-9998,-9998,0,-9998,-9998,-9998,-9998
995,0,1,0,0,0,0
995,0,1,0,1,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,1,0,0
995,0,1,0,1,0,0
0,0,0,0,0,0,0
995,0,1,0,0,0,0
995,-9998,1,-9998,-9998,-9998,-9998
995,0,1,0,1,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,-9998,1,-9998,-9998,-9998,-9998
995,0,1,0,1,0,0
995,0,1,0,1,0,0
995,0,1,0,1,0,0
995,0,1,0,1,0,0
995,0,1,0,0,0,0
0,0,0,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
0,0,0,0,0,0,0
995,0,1,0,1,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,1,0,0,0
995,-9998,1,-9998,-9998,-9998,-9998
0,0,0,0,0,0,0
995,0,1,0,0,0,0
1,0,0,0,0,0,0
995,-9998,1,-9998,-9998,-9998,-9998
995,0,1,0,0,0,0
995,0,1,0,1,0,0
995,0,1,0,1,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
0,0,0,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,1,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,0,0,0,0
995,0,1,1,0,0,0
995,0,1,0,0,0,0
0,0,0,0,0,0,0
995,0,1,0,1,0,0
995,0,1,0,1,0,0
0,0,0,0,0,0,0
0,0,0,1,0,0,0
995,0,1,0,0,0,0
0,0,0,0,1,0,0
995,0,1,0,1,0,0
995,0,1,1,0,0,0
995,0,1,0,0,0,1
995,0,1,0,0,0,0
0,0,0,0,1,0,0
0,0,0,0,0,0,0
995,0,1,0,0,0,0
0,0,0,0,0,0,0
995,0,1,0,1,0,0
