latitude,longitude,comparable_rental_2_neighborhood,brooklyn_cooperatives_comparable_properties_est_gross_income,community_council,brooklyn_cooperatives_comparable_properties_total_units,comparable_rental_2_gross_income_per_sqft,comparable_rental_1_gross_income_per_sqft,brooklyn_cooperatives_comparable_properties_neighborhood
40.617523,-74.038966,BAY RIDGE,2071843,43.0,99,17.74,15.36,BAY RIDGE
40.714543,-73.954837,WILLIAMSBURG-NORTH,470925,33.0,11,16.11,15.16,WILLIAMSBURG-NORTH
40.628805,-73.971352,MILL BASIN,1271555,44.0,100,42.7,13.6,OCEAN PARKWAY-NORTH
40.604451,-73.966742,MILL BASIN,1776890,47.0,113,42.7,13.6,OCEAN PARKWAY-SOUTH
,,MILL BASIN,656565,,60,42.7,13.6,GRAVESEND
40.576647,-73.968441,BRIGHTON BEACH,560032,48.0,30,13.28,17.05,BRIGHTON BEACH
40.674797,-73.964238,BEDFORD STUYVESANT,312541,35.0,16,20.71,20.47,PROSPECT HEIGHTS
40.603108,-74.009338,BAY RIDGE,1495679,43.0,192,7.17,9.38,BATH BEACH
40.639411,-73.955249,FLATBUSH-CENTRAL,132897,40.0,16,10.17,10.47,FLATBUSH-CENTRAL
40.614927,-73.954343,FLATBUSH-CENTRAL,362021,48.0,41,9.24,9.98,MIDWOOD
40.672535,-73.972545,BUSHWICK,167092,39.0,12,19.35,28.7,PARK SLOPE
,,PARK SLOPE,253322,,16,22.03,26.4,PARK SLOPE
40.636345,-73.987173,FLATBUSH-LEFFERTS GARDEN,296600,39.0,13,20.77,18.05,BOROUGH PARK
40.589374,-73.949521,MILL BASIN,803275,48.0,63,42.7,13.6,SHEEPSHEAD BAY
40.693006,-73.996917,BEDFORD STUYVESANT,630134,33.0,18,24.12,49.8,BROOKLYN HEIGHTS
40.676602,-73.969233,CROWN HEIGHTS,184055,35.0,16,22.29,23.24,PROSPECT HEIGHTS
40.608766,-73.998977,MILL BASIN,642575,47.0,49,42.7,13.6,BENSONHURST
40.638928,-73.97325,BAY RIDGE,1057200,39.0,59,15.94,19.29,OCEAN PARKWAY-NORTH
,,PARK SLOPE,247093,,16,24.68,20.13,PARK SLOPE
40.698597,-73.992452,FLATBUSH-CENTRAL,8500147,33.0,370,12.88,16.15,BROOKLYN HEIGHTS
40.675123,-73.973009,PROSPECT HEIGHTS,1263228,39.0,56,19.68,24.39,PARK SLOPE
,,BOERUM HILL,312760,,16,22.58,19.7,BOROUGH PARK
,,PARK SLOPE SOUTH,172546,,13,22.76,22.43,PARK SLOPE
40.654057,-73.974823,FLATBUSH-CENTRAL,1442516,39.0,155,9.5,9.64,WINDSOR TERRACE
40.696019,-73.995478,BAY RIDGE,878834,33.0,29,19.38,20.11,BROOKLYN HEIGHTS
40.661354,-73.96968,WILLIAMSBURG-EAST,344355,39.0,20,22.18,22.58,WINDSOR TERRACE
40.695621,-73.991778,BOERUM HILL,945868,33.0,60,30.2,28.7,BROOKLYN HEIGHTS
40.651617,-73.965144,FLATBUSH-LEFFERTS GARDEN,898270,40.0,73,20.77,18.05,FLATBUSH-CENTRAL
,,CROWN HEIGHTS,851194,,60,20.11,19.38,PARK SLOPE
40.630992,-73.971747,OCEAN PARKWAY-NORTH,1488930,40.0,90,16.72,16.72,OCEAN PARKWAY-NORTH
40.697532,-73.994785,FORT GREENE,515292,33.0,40,24.44,23.65,BROOKLYN HEIGHTS
40.687394,-73.967678,WINDSOR TERRACE,1713866,35.0,96,21.27,17.74,CLINTON HILL
,,MILL BASIN,1021165,,65,42.7,13.6,GRAVESEND
40.721168,-73.946755,GREENPOINT,324883,33.0,16,49.8,21.82,GREENPOINT
,,WILLIAMSBURG-SOUTH,348000,,31,23.07,16.08,WILLIAMSBURG-SOUTH
40.672505,-73.965374,CROWN HEIGHTS,631008,35.0,40,16.07,15.28,PROSPECT HEIGHTS
40.586733,-73.949023,MILL BASIN,2137345,48.0,149,42.7,13.6,SHEEPSHEAD BAY
40.645795,-73.974274,KENSINGTON,372376,39.0,39,6.99,14.17,KENSINGTON
40.59427,-73.964796,OCEAN PARKWAY-SOUTH,1067573,47.0,78,13.51,14.95,OCEAN PARKWAY-SOUTH
40.661354,-73.96968,BOROUGH PARK,273307,39.0,16,19.13,19.33,PARK SLOPE
40.626955,-74.026666,BAY RIDGE,1054771,43.0,48,15.94,19.29,BAY RIDGE
40.640413,-73.991958,FLATBUSH-LEFFERTS GARDEN,186400,39.0,20,20.77,18.05,BOROUGH PARK
40.654906,-73.958489,FLATBUSH-LEFFERTS GARDEN,809150,40.0,78,20.77,18.05,FLATBUSH-CENTRAL
40.695835,-73.991673,BRIGHTON BEACH,2959961,33.0,121,24.9,45.1,BROOKLYN HEIGHTS
40.697982,-73.996495,BROOKLYN HEIGHTS,2013897,33.0,84,28.2,20.91,BROOKLYN HEIGHTS
40.675773,-73.915189,OCEAN HILL,188850,41.0,24,7.72,7.23,OCEAN HILL
,,WILLIAMSBURG-SOUTH,538662,,41,10.71,14.83,WILLIAMSBURG-SOUTH
40.677375,-73.944808,CROWN HEIGHTS,197921,36.0,23,11.44,10.69,CROWN HEIGHTS
40.694779,-73.996931,BROOKLYN HEIGHTS,351030,33.0,16,17.72,22.58,BROOKLYN HEIGHTS
,,FLATBUSH-LEFFERTS GARDEN,901960,,58,20.77,18.05,OLD MILL BASIN
,,MILL BASIN,526265,,48,42.7,13.6,MIDWOOD
40.696604,-73.995207,CLINTON HILL,443233,33.0,24,24.6,22.81,BROOKLYN HEIGHTS
40.692048,-73.964181,CLINTON HILL,4000685,35.0,287,17.2,16.15,CLINTON HILL
40.607898,-73.996035,MIDWOOD,505470,47.0,54,9.57,15.11,BENSONHURST
,,FLATBUSH-CENTRAL,681353,,82,10.47,10.17,FLATBUSH-CENTRAL
,,,1678320,,84,,15.88,BAY RIDGE
40.617875,-74.036838,OCEAN PARKWAY-NORTH,704250,43.0,49,13.06,15.65,BAY RIDGE
40.634932,-73.958119,FLATBUSH-CENTRAL,1104428,45.0,104,9.95,9.95,FLATBUSH-CENTRAL
,,FLATBUSH-LEFFERTS GARDEN,1493260,,128,20.77,18.05,BERGEN BEACH
40.603846,-74.01739,BAY RIDGE,455618,43.0,54,11.77,11.5,BATH BEACH
40.697156,-73.977443,BROOKLYN HEIGHTS,2294510,35.0,158,16.15,17.2,NAVY YARD
40.697268,-73.994912,WILLIAMSBURG-SOUTH,232696,33.0,19,17.12,38.9,BROOKLYN HEIGHTS
40.671391,-73.975123,CLINTON HILL,567437,39.0,17,22.32,23.65,PARK SLOPE
40.631224,-73.957444,MIDWOOD,801235,45.0,66,9.57,15.11,FLATBUSH-CENTRAL
,,MILL BASIN,1171150,,62,42.7,13.6,MIDWOOD
40.673269,-73.979588,COBBLE HILL,533178,39.0,43,18.78,17.17,PARK SLOPE
40.624807,-74.040671,BATH BEACH,3564576,43.0,174,15.98,16.0,BAY RIDGE
,,FLATBUSH-CENTRAL,597816,,66,9.5,9.64,FLATBUSH-CENTRAL
40.61707,-74.038689,BAY RIDGE,1173830,43.0,54,16.01,15.23,BAY RIDGE
40.617167,-73.98691,FLATBUSH-LEFFERTS GARDEN,218370,47.0,21,20.77,18.05,BOROUGH PARK
40.667584,-73.95679,CROWN HEIGHTS,689898,35.0,65,12.95,13.42,CROWN HEIGHTS
,,EAST NEW YORK,343732,,18,23.62,15.94,PARK SLOPE SOUTH
40.613909,-73.949272,MILL BASIN,922920,48.0,79,42.7,13.6,MIDWOOD
40.648978,-73.980598,WINDSOR TERRACE,2001422,39.0,166,11.37,21.27,WINDSOR TERRACE
40.634803,-73.951065,FLATBUSH-CENTRAL,610280,45.0,73,9.5,9.64,FLATBUSH-CENTRAL
40.604935,-73.966832,MILL BASIN,965825,44.0,83,42.7,13.6,OCEAN PARKWAY-SOUTH
40.677216,-73.966677,PROSPECT HEIGHTS,138331,35.0,16,22.46,18.79,PROSPECT HEIGHTS
,,MILL BASIN,1428460,,156,42.7,13.6,OCEAN PARKWAY-SOUTH
40.63426,-73.958015,FLATBUSH-CENTRAL,589812,45.0,67,9.95,9.95,FLATBUSH-CENTRAL
40.697436,-73.992881,BROOKLYN HEIGHTS,6388425,33.0,301,16.15,12.88,BROOKLYN HEIGHTS
