brooklyn_cooperatives_comparable_properties_address,comparable_rental_1_gross_sqft,community_board,comparable_rental_2_gross_sqft,comparable_rental_2_dist_from_coop_in_miles
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""9411 SHORE ROAD"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",81000,10.0,96952.0,0.65
"{'latitude': '40.714528092855', 'longitude': '-73.954858073945', 'human_address': '{""address"": ""64 HAVEMEYER STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",32625,1.0,26100.0,0.15
"{'latitude': '40.628941072506', 'longitude': '-73.971685704399', 'human_address': '{""address"": ""800 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",25075,14.0,107569.0,3.15
"{'latitude': '40.604687768398', 'longitude': '-73.967081100248', 'human_address': '{""address"": ""1802 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",25075,15.0,107569.0,2.7
"{'latitude': '40.609040092905', 'longitude': '-73.975024724451', 'human_address': '{""address"": ""1543 1 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",25075,,107569.0,3.05
"{'latitude': '40.576980051214', 'longitude': '-73.968051236283', 'human_address': '{""address"": ""3045 OCEAN PARKWAY"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",27000,13.0,30800.0,0.6
"{'latitude': '40.674728060228', 'longitude': '-73.964066308496', 'human_address': '{""address"": ""430 STERLING PLACE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",10460,8.0,14796.0,0.9
"{'latitude': '42.433188999772', 'longitude': '-78.748646000413', 'human_address': '{""address"": ""8847 BAY 16 STREET"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",78063,11.0,118800.0,2.25
"{'latitude': '40.639451899077', 'longitude': '-73.955216461757', 'human_address': '{""address"": ""2323 NEWKIRK AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",16000,14.0,13400.0,0.2
"{'latitude': '40.614978526173', 'longitude': '-73.954261299993', 'human_address': '{""address"": ""1925 OCEAN AVENUE"", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": """"}'}",36276,14.0,36408.0,2.05
