address_1,agency_name,community_district,service_setting_taxonomy,city,bin,language_taxonomy,accepts_dropins,program_id,bp_category,capacity_units,site_budget,catchment_zone
290 St Marks Place,MOCJ,501.0,,staten island,5000314.0,,False,115,,,,
388 WILLIS AVENUE,DYCD,201.0,,bronx,2102176.0,,False,264,,seats,,"[""bx01""]"
198 E 161 St,MOCJ,204.0,,bronx,2099027.0,,False,111,,,,
,MOCJ,,,,,,False,102,,,,
370 Fountain Ave,MOCJ,305.0,,brooklyn,3095977.0,,False,115,,,,
,MOCJ,,,,,,False,115,,,,
109-29 Sutphin Boulevard,DYCD,412.0,,jamaica,4586007.0,,False,264,,seats,,"[""qn12""]"
1620 BRUCKNER BOULEVARD,DSS,209.0,,bronx,2118950.0,,False,121,,,,
199 WATER STREET,DSS,101.0,,new york,1001162.0,,False,122,,,,
2 Allen Street,DYCD,103.0,,new york,1088837.0,,False,264,,seats,,"[""mn03""]"
,DSS,,,,,,False,130,,,,"[""brooklyn""]"
,MOCJ,,,,,,False,115,,,,
100 Centre St.,MOCJ,101.0,,new york,1079000.0,,False,110,,,,
150 Court Street,DYCD,306.0,,brooklyn,3003069.0,,False,264,,seats,,"[""bk06""]"
36-46 37th Street,MOCJ,401.0,,long island city,4009552.0,,False,109,,,,
825 EAST 233 STREET,DOP,212.0,,bronx,2068259.0,,False,140,,,129400.0,
321 Palmetto Street,DYCD,304.0,"[""school""]",brooklyn,3413715.0,"[""english"",""spanish""]",False,279,,seats,,"[""bk04""]"
70 OCEAN PARKWAY,DYCD,307.0,,brooklyn,3124019.0,,False,264,,seats,,"[""bk07""]"
120 Schermerhorn Street,MOCJ,302.0,,brooklyn,3000534.0,,False,109,,,,
,MOCJ,,,,,,False,115,,,,
,MOCJ,,,,,,False,115,,,,
60 EAST TREMONT AVENUE,DSS,205.0,,bronx,2007915.0,,False,122,,,,
715 Ocean Terrace,MOCJ,502.0,,staten island,5113169.0,,False,115,,,,
400 EAST FORDHAM ROAD,SBS,206.0,,bronx,2116415.0,,False,229,,,,
423 Gates Ave,MOCJ,303.0,,brooklyn,3050909.0,,False,102,,,,
299 Broadway,MOCJ,101.0,,new york,1001648.0,,False,109,,,,
2021 BERGEN STREET,DYCD,316.0,"[""school""]",brooklyn,3038939.0,,False,279,,seats,,"[""bk16""]"
301 Henry Street,DYCD,103.0,,new york,1003737.0,,False,270,,seats,,"[""mn03""]"
225 ADELPHI STREET,DYCD,302.0,"[""school""]",brooklyn,3058531.0,,False,279,,seats,,"[""bk02""]"
133-04 39 Avenue,DYCD,407.0,,flushing,4000000.0,,False,276,,seats,,"[""qn07""]"
1510 WATERS PLACE,DOHMH,211.0,,bronx,2115332.0,,False,181,,,,
127 WEST 127 STREET,DOP,110.0,,new york,1057904.0,,False,136,,,,
,MOCJ,,,,,,False,102,,,,
150 Richmond Terrace,DSS,501.0,,staten island,5000104.0,,False,235,,,,
1150 Carroll Street,MOCJ,309.0,,brooklyn,3337869.0,,False,204,,,,
692 BLAKE AVENUE,DOP,305.0,,brooklyn,3338955.0,,False,136,,,,
,MOCJ,,,,,,False,107,,,,
,MOCJ,,,,,,False,204,,,,"[""all boroughs""]"
