ell_french_2,math_l3_l4_2,hispanic_2,ell_haitian_creole_1,other_2,grade_k,grade_8,grade_7,ell_other_1,other_1,male_1,math_level_2_2,math_l3_l4_1
No Data,57.9%,26.5%,No Data,0.9%,2183,2436,2566,No Data,188,10630,26.1%,7548
No Data,43.7%,57.1%,No Data,1.6%,2637,3151,2921,No Data,403,13136,31.2%,7397
No Data,16.9%,22.2%,No Data,2.3%,110,64,74,No Data,22,491,26.1%,94
No Data,15.9%,23.0%,No Data,1.5%,404,374,393,No Data,63,2778,29.4%,380
No Data,43.0%,36.9%,No Data,3.7%,248,486,461,No Data,120,1625,28.3%,904
No Data,23.8%,74.9%,No Data,1.1%,4256,3775,3696,No Data,416,19100,31.9%,5321
No Data,20.9%,46.1%,No Data,1.8%,1721,1676,1585,No Data,287,8101,31.7%,2055
s,12.9%,76.3%,s,0.3%,1886,644,728,905,36,6316,31.3%,730
No Data,19.1%,21.5%,No Data,3.1%,211,207,203,No Data,60,1027,28.9%,215
0.2%,21.0%,26.6%,s,0.8%,681,361,375,864,36,2458,33.8%,471
6.0%,9.3%,44.3%,8,2.7%,71,52,40,49,14,273,16.9%,23
No Data,21.2%,31.9%,No Data,4.1%,184,167,154,No Data,68,842,32.0%,194
No Data,20.6%,20.7%,No Data,1.7%,455,347,361,No Data,67,2050,33.2%,463
1.8%,6.9%,87.6%,s,0.4%,728,721,657,445,24,3588,24.3%,252
No Data,28.4%,19.0%,No Data,2.8%,287,298,240,No Data,83,1396,29.3%,486
No Data,22.0%,39.4%,No Data,1.1%,368,414,445,No Data,42,2624,32.0%,512
No Data,6.9%,72.3%,No Data,0.7%,223,346,329,No Data,21,1881,19.9%,129
No Data,28.2%,13.9%,No Data,2.4%,288,631,489,No Data,84,1698,33.4%,643
No Data,16.5%,75.5%,No Data,s,157,94,134,No Data,s,619,29.7%,124
No Data,8.0%,46.4%,No Data,1.3%,223,326,367,No Data,42,2195,19.1%,176
No Data,25.4%,6.4%,No Data,1.4%,1045,1175,1058,No Data,140,5170,33.1%,1652
No Data,29.2%,60.5%,No Data,1.3%,1258,1283,1292,No Data,146,5695,30.6%,1952
No Data,17.6%,77.8%,No Data,0.9%,943,602,612,No Data,65,3789,30.9%,755
1.7%,47.0%,13.2%,s,1.0%,370,110,123,347,21,1131,26.5%,411
No Data,6.4%,44.7%,No Data,1.9%,152,195,211,No Data,35,1194,18.7%,75
No Data,71.4%,14.0%,No Data,2.3%,1747,1951,2031,No Data,388,8860,20.5%,7312
No Data,41.2%,63.1%,No Data,0.7%,4914,4258,4356,No Data,294,22181,31.8%,10870
No Data,16.3%,45.8%,No Data,1.9%,635,645,650,No Data,115,3288,28.5%,628
No Data,28.5%,62.1%,No Data,1.5%,279,449,406,No Data,46,1523,31.8%,559
No Data,13.9%,11.3%,No Data,1.8%,112,91,94,No Data,18,497,30.8%,80
No Data,16.3%,45.0%,No Data,2.0%,293,204,192,No Data,49,1235,28.2%,226
No Data,44.8%,15.6%,No Data,1.9%,2662,2134,2096,No Data,451,11880,29.9%,6191
No Data,16.1%,22.2%,No Data,3.0%,103,77,74,No Data,25,433,31.9%,74
No Data,18.2%,43.5%,No Data,0.8%,564,498,549,No Data,45,3520,29.4%,583
No Data,3.3%,71.6%,No Data,1.0%,286,431,442,No Data,37,2442,16.7%,79
