category,ell_chinese_1,math_test_takers,math_level_3_2,total_enrollment,ell_urdu_1,asian_2,ela_test_takers,white_2
Receive free or reduced price lunch,No Data,13043,26.2%,20713,No Data,57.8%,13311,9.9%
Receive free or reduced price lunch,No Data,16910,23.6%,25894,No Data,22.1%,16943,13.1%
Reside in temporary housing,No Data,556,13.1%,949,No Data,2.7%,563,2.2%
Students with Disabilities,No Data,2394,10.6%,4163,No Data,9.8%,2422,25.0%
Attend school outside district of residence,No Data,2100,20.5%,3235,No Data,5.9%,2315,19.0%
All Students,No Data,22374,15.7%,37523,No Data,4.4%,22494,4.8%
All Students,No Data,9844,14.0%,15842,No Data,8.3%,9838,1.8%
English Language Learners,937,5651,9.8%,11608,56,17.9%,5201,5.2%
Reside in temporary housing,No Data,1126,12.6%,1967,No Data,16.1%,1144,1.5%
Students with Disabilities,No Data,1535,12.6%,2510,No Data,2.7%,1601,23.1%
All Students,No Data,6805,12.7%,11225,No Data,0.8%,6917,1.4%
All Students,No Data,15048,14.3%,25376,No Data,1.3%,15070,1.2%
Reside in temporary housing,No Data,993,14.6%,1822,No Data,4.8%,1007,16.9%
Students with Disabilities,No Data,2336,11.6%,4514,No Data,8.1%,2396,24.5%
Receive free or reduced price lunch,No Data,7291,27.9%,10915,No Data,62.5%,7949,15.0%
Receive free or reduced price lunch,No Data,9552,13.8%,15312,No Data,8.5%,9547,1.7%
Attend school outside district of residence,No Data,1244,20.1%,1866,No Data,0.4%,1290,1.4%
Students with Disabilities,No Data,1390,19.6%,2355,No Data,35.6%,1421,28.5%
English Language Learners,s,238,s,391,s,8.2%,226,s
Attend school outside district of residence,No Data,764,13.9%,1283,No Data,10.4%,844,1.6%
Receive free or reduced price lunch,No Data,4904,16.7%,8170,No Data,5.1%,5159,3.5%
Receive free or reduced price lunch,No Data,5893,16.0%,9321,No Data,1.4%,5953,2.3%
English Language Learners,231,272,10.7%,579,s,43.7%,253,5.2%
English Language Learners,26,1601,6.9%,2701,s,10.6%,1399,6.8%
English Language Learners,s,1344,5.4%,2262,6,15.2%,1178,4.4%
All Students,No Data,18085,23.7%,28378,No Data,21.9%,18222,15.6%
Reside in temporary housing,No Data,1855,13.7%,3185,No Data,7.3%,1852,4.5%
Receive free or reduced price lunch,No Data,17305,19.0%,28415,No Data,24.8%,18208,6.1%
Students with Disabilities,No Data,2653,21.5%,4357,No Data,19.8%,2718,36.8%
Receive free or reduced price lunch,No Data,11162,16.1%,17982,No Data,6.0%,11111,5.3%
Receive free or reduced price lunch,No Data,4075,11.5%,6772,No Data,1.2%,4259,1.2%
Reside in temporary housing,No Data,3176,12.8%,5700,No Data,1.0%,3067,1.4%
Receive free or reduced price lunch,No Data,6556,12.6%,10776,No Data,0.8%,6648,1.4%
English Language Learners,5153,4813,19.2%,10206,308,59.4%,4365,16.5%
Students with Disabilities,No Data,5031,5.5%,8117,No Data,1.6%,5138,3.1%
English Language Learners,7,992,3.2%,1800,s,1.7%,929,2.4%
