menu_item_id,restaurant_item_name,sugar,dietary_fiber,protein_100g,restaurant_id,trans_fat,restaurant,food_category,carbohydrates_100g,carbohydrates
10762,"Baskin Robbins Cappuccino Blast, Medium",57.0,1.0,1.0,5,0.0,Baskin Robbins,Beverages,10.0,66.0
80339,"Auntie Anne's Cherry Coke, 21 oz",53.0,0.0,0.0,4,0.0,Auntie Anne's,Beverages,9.0,53.0
120362,Applebee's Kiwi Lemonade,42.0,0.0,,2,0.0,Applebee's,Beverages,,46.0
10588,"Baskin Robbins Made w/ M&Ms 31� Below, Large",171.0,6.0,4.0,5,1.0,Baskin Robbins,Desserts,27.0,187.0
170014,7 Eleven Monterey Jack Taquito,,,,1,,7 Eleven,Appetizers & Sides,,
10108,Applebee's Classic Burger,7.0,2.0,,2,1.5,Applebee's,Burgers,,44.0
90306,"Auntie Anne's Fuze, Sweet Tea, 32 fl oz",45.0,0.0,0.0,4,0.0,Auntie Anne's,Beverages,5.0,45.0
10148,"Applebee's Mozzarella Sticks, for Build Your Sampler",5.0,3.0,,2,0.0,Applebee's,Appetizers & Sides,,39.0
80375,"Auntie Anne's Sprite, 32 oz",61.0,0.0,0.0,4,0.0,Auntie Anne's,Beverages,8.0,69.0
90171,Arby's Kings Hawaiian Fish Deluxe Sandwich,19.0,2.0,8.0,3,0.5,Arby's,Sandwiches,25.0,74.0
10581,"Baskin Robbins Jamoca Almond Fudge Ice Cream, 4 Scoop",19.0,1.0,4.0,5,0.0,Baskin Robbins,Desserts,25.0,28.0
90916,"Baskin Robbins Coke Float w/ Soft Serve, Small",48.0,1.0,2.0,5,0.0,Baskin Robbins,Beverages,11.0,49.0
170465,"Baskin Robbins Bobsled Brownie Ice Cream, 2.5 oz Scoop",15.0,1.0,4.0,5,0.0,Baskin Robbins,Desserts,28.0,20.0
170484,Baskin Robbins Customized Cake,,,,5,,Baskin Robbins,Desserts,,
