item_name,calories,total_fat,serving_size_unit,serving_size,dietary_fiber_100g,shareable,limited_time_offer,saturated_fat_100g
Butchers Meat & Potatoes,720.0,38.0,,,,0,0,
"Crispy Chicken Tender Salad, Lunch",630.0,44.0,,,,0,0,
"Chicken Quesadilla, Appetizers",860.0,51.0,,,,0,0,
"Lemonade Mixer, Strawberry, 32 fl oz",460.0,0.0,fl oz,32.0,0.0,0,0,0.0
"Extra Thick Shake, Chocolate, Medium",620.0,18.0,fl oz,16.0,1.0,0,0,2.0
"Hi C Fruit Punch, 21 oz",200.0,0.0,fl oz,21.0,0.0,0,0,0.0
"Frozen Lemonade Mixer, Mango, 16 fl oz",,,fl oz,16.0,,0,0,
"Gold Peak, Green Tea, 32 oz",250.0,0.0,fl oz,32.0,0.0,0,0,0.0
"Diet Mountain Dew, 30 oz",0.0,0.0,fl oz,30.0,0.0,0,0,0.0
2 for $1.69 Any Ring Donut,,,,,,0,0,
Dijon Honey Mustard Dressing,210.0,18.0,,,,0,0,
Four Cheese Mac & Cheese,460.0,24.0,,,,0,0,
"Chocolate Mousse Royale Ice Cream, 2.5 oz Scoop",180.0,11.0,g,71.0,1.0,0,1,11.0
"Frozen Lemonade Mixer, Wild Cherry, 16 oz",,,fl oz,16.0,,0,0,
"Raspberry Unsweetened Iced Tea, 32 fl oz",0.0,0.0,fl oz,32.0,0.0,0,0,0.0
5 Buffalo Chicken Tenders,670.0,34.0,g,289.0,1.0,0,1,2.0
"Bananas n Strawberry Flavored Ice Cream, 4 oz Scoop",220.0,10.0,g,113.0,0.0,0,1,6.0
"Extra Thick Shake, Vanilla, Medium",500.0,19.0,fl oz,16.0,0.0,0,0,3.0
8 oz USDA Choice Top Sirloin,280.0,10.0,,,,0,0,
"Energy Shot, Berry",,,,,,0,0,
"Made w/ Snickers Soft Serve Parfait, Regular",730.0,24.0,g,368.0,1.0,0,0,4.0
"Lemonade Mixer, Blue Raspberry, 42 fl oz",,,fl oz,42.0,,0,0,
Dr Pepper,100.0,0.0,fl oz,16.0,0.0,0,0,0.0
Sour Patch Kids Watermelon Slurpee,,,,,,0,0,
Jalapeno & Cheese Pretzel Dog w/ Butter,370.0,20.0,g,130.0,1.0,0,0,7.0
Cake Cone,25.0,0.0,g,6.0,0.0,0,0,0.0
"Caffeine Free Coca Cola, 30 oz",150.0,0.0,fl oz,30.0,0.0,0,0,0.0
"Lemonade Iced Tea, 16 fl oz",,,fl oz,16.0,,0,0,
Sausage & Egg w/ Biscuit Platter,720.0,46.0,g,279.0,1.0,0,0,6.0
"Sweet Asian Chile Sauce, for Double Crunch Bone In Wings & Boneless Wings",250.0,2.0,,,,0,0,
"Icee, Blue Raspberry, 21 fl oz",160.0,0.0,fl oz,21.0,0.0,0,0,0.0
Caramel Dip,130.0,3.0,g,40.0,0.0,0,0,4.0
