restaurant_item_name,calories_100g,protein,year,cholesterol,sugar_100g,trans_fat_100g
7 Eleven 6 Mini Breakfast Sausage Empanadas,,,2018,,,
Applebee's Pepper Crusted Sirloin & Whole Grains,,30.0,2018,60.0,,
7 Eleven 100% Colombian Coffee,,,2018,,,
7 Eleven Homestyle Turkey Chili,,,2018,,,
7 Eleven Blueberry Muffin,,,2018,,,
Applebee's Extra Bacon,,7.0,2018,20.0,,
Baskin Robbins Cakes,,,2018,,,
7 Eleven Go!Yum Candy Bars,,,2018,,,
"Applebee's Honey BBQ Sauce, for Combo Sauces & Build Your Sampler",,1.0,2018,0.0,,
"7 Eleven Energy Shot, Watermelon",,,2018,,,
7 Eleven Cheese Lasagna w/ Meat Sauce,,,2018,,,
Applebee's Chicken Grillers,,38.0,2018,125.0,,
"Baskin Robbins Oreo Cookies n Cream Ice Cream, 4 oz Scoop",230.0,5.0,2018,50.0,18.0,0.0
"Baskin Robbins Pink Bubblegum Ice Cream, 2.5 oz Scoop",225.0,3.0,2018,30.0,24.0,0.0
Applebee's Spinach & Artichoke Chicken Cavatappi,,50.0,2018,85.0,,
"Baskin Robbins Creole Cream Cheese Ice Cream, 2.5 oz Scoop",197.0,3.0,2018,30.0,17.0,0.0
"Applebee's Barqs Root Beer, 30 oz",19.0,0.0,2018,0.0,5.0,0.0
7 Eleven Premium Organic Juice,,,2018,,,
Arby's Reuben Sandwich,221.0,37.0,2018,80.0,2.0,0.0
Auntie Anne's Jalapeno Pretzel w/ Salt,250.0,8.0,2018,0.0,8.0,0.0
Applebee's Mug Root Beer,24.0,0.0,2018,0.0,6.0,0.0
Applebee's Crispy Chicken Tender Salad,,51.0,2018,315.0,,
Applebee's Boneless Wings,,39.0,2018,95.0,,
Applebee's Extra Patty,,33.0,2018,120.0,,
"Baskin Robbins Maui Brownie Madness Frozen Yogurt, 4 oz Scoop",204.0,6.0,2018,30.0,19.0,0.0
"Applebee's Lipton Peach Iced Tea, 30 oz",14.0,0.0,2018,0.0,4.0,0.0
"Auntie Anne's Old Fashioned Lemonade, 32 fl oz",41.0,0.0,2018,0.0,10.0,0.0
"Baskin Robbins Chocolate Mousse Royale Ice Cream, 4 oz Scoop",257.0,5.0,2018,40.0,18.0,0.0
7 Eleven Snack Sticks,,,2018,,,
Auntie Anne's Original Pretzel Nuggets No Butter,252.0,9.0,2018,0.0,8.0,0.0
Arby's Triple Chocolate Cookie,474.0,5.0,2018,40.0,33.0,0.0
"Auntie Anne's Sprite, 21 oz",32.0,0.0,2018,0.0,7.0,0.0
Applebee's Cedar Grilled Lemon Chicken,,42.0,2018,125.0,,
7 Eleven Chicken Parmesan,,,2018,,,
Baskin Robbins Bobsled Brownie Warm Brownie Sundae,320.0,14.0,2018,90.0,29.0,0.0
Applebee's Grilled Chicken Bacon Wrap,,64.0,2018,190.0,,
Applebee's Quesadilla Burger,,63.0,2018,215.0,,
"7 Eleven Bacon, Egg & Cheese Melt",,,2018,,,
Applebee's IBC Root Beer,24.0,0.0,2018,0.0,6.0,0.0
Applebee's Summer Squeeze Wildberry,,0.0,2018,0.0,,
Applebee's Steak Quesadilla,,41.0,2018,110.0,,
Applebee's Summer Squeeze,,0.0,2018,0.0,,
Applebee's Summer Squeeze Mango,,0.0,2018,0.0,,
"Baskin Robbins Made w/ Snickers 31� Below, Mini",169.0,12.0,2018,45.0,19.0,0.0
"Applebee's Caffeine Free Diet Coke, 16 oz",0.0,0.0,2018,0.0,0.0,0.0
"Baskin Robbins Made w/ Snickers Soft Serve Parfait, Mini",180.0,9.0,2018,35.0,24.0,0.0
"Auntie Anne's Peach Unsweetened Iced Tea, 32 fl oz",0.0,0.0,2018,0.0,0.0,0.0
Arby's 1/2 Pound Roast Beef Sandwich,207.0,48.0,2018,130.0,2.0,1.0
"Auntie Anne's Fuze, Black Tea w/ Lemon, 21 fl oz",20.0,0.0,2018,0.0,5.0,0.0
Applebee's Perfect Pomegranate Margarita,,0.0,2018,0.0,,
Arby's Cherry Turnover,305.0,4.0,2018,0.0,31.0,0.0
Applebee's Kraft Macaroni & Cheese,,10.0,2018,10.0,,
"Baskin Robbins Ice Cream Float, Medium",90.0,8.0,2018,120.0,11.0,0.0
"Auntie Anne's Fuze, Sweet Tea, 21 fl oz",20.0,0.0,2018,0.0,5.0,0.0
