plate_id,issue_date,summons_number-registration_state
KUJ9677,2022-07-06T00:00:00.000,1481981080-NY
G2363L,2022-06-25T00:00:00.000,1449219366-FL
KLJ8033,2022-06-19T00:00:00.000,1480614087-NY
HOL9069,2022-06-21T00:00:00.000,1425951648-99
HJP6180,2022-06-01T00:00:00.000,1307576539-NY
KNE2282,2022-07-05T00:00:00.000,1481168009-NY
KTT3210,2022-06-22T00:00:00.000,1481873635-NY
GCN3785,2022-06-15T00:00:00.000,1480635560-NY
KLE6797,2022-06-29T00:00:00.000,1440043814-NY
JJA9807,2022-07-01T00:00:00.000,1478532040-NY
KGA4942,2022-06-09T00:00:00.000,1478520802-NY
KUU6107,2022-06-13T00:00:00.000,4024579605-NY
KHA8108,2022-07-01T00:00:00.000,1479590174-NY
HVF2193,2022-06-24T00:00:00.000,1412740010-NY
KSP1448,2022-06-29T00:00:00.000,1440212132-NY
GXC6753,2022-06-27T00:00:00.000,1463885441-NY
JFZ9455,2022-06-11T00:00:00.000,1447963143-NY
KDW8982,2022-07-05T00:00:00.000,1480582955-NY
JHV8536,2022-06-16T00:00:00.000,1427354741-NY
JHJ2036,2022-06-17T00:00:00.000,1484726364-NY
KJC9372,2022-06-26T00:00:00.000,1449157452-NY
HMY4993,2022-06-20T00:00:00.000,1478525824-NY
HNN6536,2022-06-22T00:00:00.000,1484799732-NY
KSP2161,2022-06-05T00:00:00.000,1484765035-NY
KSE3609,2022-06-06T00:00:00.000,1484752030-NY
JPH6683,2022-06-24T00:00:00.000,1481974646-NY
JFP2778,2022-06-26T00:00:00.000,1480636678-NY
KGT5674,2022-07-08T00:00:00.000,1481048922-NY
JJA9814,2022-07-06T00:00:00.000,1481170170-NY
GSM1138,2022-07-01T00:00:00.000,1478520772-NY
JER1863,2022-06-10T00:00:00.000,1484697303-NY
JEH4647,2022-06-08T00:00:00.000,1479839152-NY
G319GR,2022-06-14T00:00:00.000,1448904006-NJ
G9868J,2022-07-02T00:00:00.000,1430067895-FL
GD2556,2022-06-23T00:00:00.000,1484768668-NY
LPW1758,2022-06-18T00:00:00.000,1478531137-PA
KSD3888,2022-06-16T00:00:00.000,1480357571-NY
JPN2824,2022-06-05T00:00:00.000,1462135020-NY
KWS9603,2022-07-05T00:00:00.000,1481167935-NY
KEM5631,2022-07-02T00:00:00.000,1482047809-NY
LDKS32,2022-07-04T00:00:00.000,1460223019-FL
HYB4256,2022-07-05T00:00:00.000,1481167996-NY
KPR1932,2022-06-15T00:00:00.000,1482046477-NY
KMC6536,2022-07-05T00:00:00.000,1481168058-NY
KFW6528,2022-07-06T00:00:00.000,1478510110-NY
KDF5816,2022-06-20T00:00:00.000,1478529842-NY
KUB4270,2022-06-24T00:00:00.000,1482005736-NY
L42LYG,2022-06-20T00:00:00.000,1480698386-NJ
KTR2943,2022-07-01T00:00:00.000,1479839425-NY
GFM1072,2022-07-07T00:00:00.000,1481166384-NY
HNW1697,2022-06-23T00:00:00.000,1481873623-NY
KPR2840,2022-06-26T00:00:00.000,1478530480-NY
KWG8669,2022-06-30T00:00:00.000,1441872073-NY
KFR4322,2022-06-05T00:00:00.000,1462135882-NY
KNU8782,2022-06-21T00:00:00.000,1484790893-NY
KBRED,2022-07-02T00:00:00.000,1452227834-NY
KVT3908,2022-06-24T00:00:00.000,1446757778-99
JRV8619,2022-07-07T00:00:00.000,1482049119-NY
KPR2840,2022-06-26T00:00:00.000,1478530467-NY
KTR2943,2022-06-24T00:00:00.000,1479839371-NY
KEF6708,2022-06-26T00:00:00.000,1484795027-NY
KUU5721,2022-06-25T00:00:00.000,1449121913-NY
KTR5885,2022-07-02T00:00:00.000,1457281016-NY
KES3746,2022-06-17T00:00:00.000,1436334111-NY
KGL5904,2022-06-13T00:00:00.000,1457216644-NY
KPR2660,2022-07-01T00:00:00.000,1482044328-NY
KMC5019,2022-06-26T00:00:00.000,1481919325-NY
KKR2075,2022-06-19T00:00:00.000,1478500281-NY
JKW7174,2022-06-14T00:00:00.000,1482045254-NY
KFL2006,2022-07-01T00:00:00.000,1479839413-NY
KJX4675,2022-07-03T00:00:00.000,1440212156-NY
KSB7027,2022-06-05T00:00:00.000,1480327839-NY
HDE5505,2022-07-04T00:00:00.000,1484721330-NY
JMJ6020,2022-06-26T00:00:00.000,1462549019-NY
G0096K,2022-06-21T00:00:00.000,1478530066-FL
JRC3403,2022-06-20T00:00:00.000,1481951622-NY
KJJ3075,2022-06-27T00:00:00.000,1441871860-NY
KNV1564,2022-06-26T00:00:00.000,1484765096-NY
KTD8103,2022-07-02T00:00:00.000,1481852115-NY
JMD4273,2022-07-01T00:00:00.000,1455220437-NY
JGJ9846,2022-06-23T00:00:00.000,1481974622-NY
KXL6045,2022-06-18T00:00:00.000,1446940615-NY
KWX7878,2022-07-03T00:00:00.000,1456644981-NY
JNL5725,2022-06-30T00:00:00.000,1481855621-NY
JRY9112,2022-07-05T00:00:00.000,1481168113-NY
KNU9617,2022-06-12T00:00:00.000,1480637348-NY
JBR8834,2022-07-05T00:00:00.000,1481167959-NY
JSC9890,2022-06-28T00:00:00.000,1480628700-NY
GZD4485,2022-06-13T00:00:00.000,4024582501-NY
HRS3598,2022-06-06T00:00:00.000,1480321084-NY
KSJ6471,2022-07-01T00:00:00.000,1430067883-NY
KKX3584,2022-07-04T00:00:00.000,1478532051-NY
KMJ1564,2022-07-02T00:00:00.000,1426446378-NY
KFR7708,2022-06-11T00:00:00.000,1484726352-NY
KRP1565,2022-06-02T00:00:00.000,1446447856-NY
GDM5641,2022-07-04T00:00:00.000,1484721809-NY
KVC6253,2022-07-07T00:00:00.000,1457605612-NY
H73NYD,2022-06-23T00:00:00.000,1484697698-NJ
KJZ1420,2022-06-06T00:00:00.000,1480321047-NY
KKC3044,2022-06-23T00:00:00.000,1479519996-NY
HCA3747,2022-07-05T00:00:00.000,1484741640-NY
JEM3045,2022-06-22T00:00:00.000,1435283715-OH
KVT2855,2022-06-27T00:00:00.000,1478526816-NY
H45GGH,2022-06-26T00:00:00.000,1449688950-NJ
KVV6962,2022-06-10T00:00:00.000,1480629790-NY
KKY2419,2022-06-15T00:00:00.000,1456021928-NY
KJS1972,2023-06-20T00:00:00.000,1482071757-NY
KEK5348,2022-05-14T00:00:00.000,1465600267-NY
MCA7116,2022-06-07T00:00:00.000,1465601193-NY
KRN2447,2022-06-21T00:00:00.000,1427354133-NY
KTV1465,2022-06-25T00:00:00.000,1480334200-NY
KSX6366,2022-06-25T00:00:00.000,1484699683-FL
KWE2557,2024-03-27T00:00:00.000,1482081167-NY
JRY3473,2022-06-23T00:00:00.000,1478524674-NY
KLW4461,2022-07-03T00:00:00.000,1478431179-NY
JGF9982,2022-06-26T00:00:00.000,1461402918-NY
KOJOB,2022-06-26T00:00:00.000,1478531794-NY
JJS9684,2022-06-11T00:00:00.000,1448533946-NY
KE19407,2022-07-04T00:00:00.000,1481939506-99
KLA6711,2022-06-24T00:00:00.000,1427353463-NY
KKL6583,2022-06-26T00:00:00.000,1455310037-NY
KHD9344,2022-06-16T00:00:00.000,1282002934-NY
KTX9202,2022-06-23T00:00:00.000,1479405917-NY
HGR2036,2022-07-03T00:00:00.000,1446496326-NY
GUH3667,2022-07-07T00:00:00.000,1481168022-NY
LXP9370,2022-06-21T00:00:00.000,1426448430-PA
KNV1114,2022-06-17T00:00:00.000,1484799460-NY
KEX3655,2022-07-05T00:00:00.000,1462591309-NY
GGD2501,2022-07-03T00:00:00.000,1460588721-NY
KGY7497,2022-06-25T00:00:00.000,1478525216-PA
KSX5809,2022-06-16T00:00:00.000,1478689808-99
KSB6460,2022-07-03T00:00:00.000,1481882030-NY
HPN8181,2022-05-11T00:00:00.000,1449218490-NY
HSJ2132,2022-06-26T00:00:00.000,1452325583-NY
JGL3116,2022-07-05T00:00:00.000,1481168060-NY
KJJ8637,2022-06-20T00:00:00.000,1484698204-NY
LGT2882,2022-06-19T00:00:00.000,1449689292-PA
HJD8334,2022-07-05T00:00:00.000,1481168071-99
KJY8060,2022-06-23T00:00:00.000,1481871158-NY
HUV4643,2022-06-14T00:00:00.000,1441873247-NY
KPR2840,2022-06-26T00:00:00.000,1478530479-NY
GQH7507,2022-06-21T00:00:00.000,1484780796-OH
KTJ7222,2022-06-24T00:00:00.000,1481854987-NY
JMR2374,2022-06-10T00:00:00.000,1479839243-NY
G0096K,2022-07-05T00:00:00.000,1478532129-FL
HUW3790,2022-07-02T00:00:00.000,1480695701-NY
KBTT873,2022-06-12T00:00:00.000,1448981827-NY
KUB2036,2022-07-03T00:00:00.000,1447845470-NY
JKX5233,2022-06-26T00:00:00.000,1452325560-NY
KHN2049,2022-06-20T00:00:00.000,1484768103-NY
KKN6505,2022-06-08T00:00:00.000,1462137386-NY
KVN1502,2022-07-05T00:00:00.000,1372162562-NY
JHN1130,2022-06-25T00:00:00.000,1480700459-NY
GKZ4808,2022-07-09T00:00:00.000,1425871859-NY
KWP3882,2022-07-03T00:00:00.000,1446925699-NY
HKN8480,2022-06-27T00:00:00.000,1482051217-NY
GRA3798,2022-06-13T00:00:00.000,1456023718-NY
KHB5094,2022-06-10T00:00:00.000,1462132947-NY
KUP4071,2022-06-28T00:00:00.000,1480582840-NY
KLZ7742,2022-07-06T00:00:00.000,1425965556-NY
KNF6409,2022-06-21T00:00:00.000,1478530777-NY
JG4W8B,2022-07-09T00:00:00.000,1464318920-MI
KUA2793,2022-06-22T00:00:00.000,1480635303-NY
LPM4502,2022-06-14T00:00:00.000,1480936509-PA
HYJ1996,2022-06-29T00:00:00.000,1480634669-NY
KXL6296,2022-07-09T00:00:00.000,1449380761-NY
HTD3936,2022-06-17T00:00:00.000,1447699439-NY
MLUXXURY,2022-06-24T00:00:00.000,1478532210-NY
KRN3417,2022-06-19T00:00:00.000,1449703781-NY
HIX6511,2000-05-22T00:00:00.000,1462548945-NY
KVJ6336,2022-06-21T00:00:00.000,1480669672-NY
KFL2006,2022-06-03T00:00:00.000,1479839115-NY
KTX3183,2022-07-07T00:00:00.000,1481166372-NY
KTR2943,2022-06-29T00:00:00.000,1479839401-NY
KXB3720,2022-07-03T00:00:00.000,1478512076-NY
HLR8652,2022-06-18T00:00:00.000,1463885416-NY
KGM9439,2022-06-16T00:00:00.000,1447578004-NY
KEV4487,2022-06-13T00:00:00.000,1484697315-NY
KJC6354,2022-06-23T00:00:00.000,1457283384-NY
GFW3047,2022-06-16T00:00:00.000,1481871559-NY
KDJ4384,2022-06-28T00:00:00.000,1481854203-PA
HJJ9998,2022-06-10T00:00:00.000,1484717909-NY
M51PUV,2022-06-19T00:00:00.000,1484697686-NJ
HXA1581,2022-07-07T00:00:00.000,1465439043-NY
KNB7335,2022-06-15T00:00:00.000,1449688937-NY
JNR3645,2022-06-22T00:00:00.000,1480695907-NY
KSP1448,2022-06-29T00:00:00.000,1440210895-NY
H85LPA,2022-05-06T00:00:00.000,1446828244-NJ
KKA5108,2022-07-10T00:00:00.000,1478690227-NY
KES4716,2022-06-27T00:00:00.000,1460128886-NY
GTK6061,2022-07-02T00:00:00.000,1478289806-NY
KF5293,2022-06-21T00:00:00.000,1478531472-NY
KWT4567,2022-06-28T00:00:00.000,1447037560-PA
JLE1690,2022-06-11T00:00:00.000,1484781211-NY
GYX1255,2022-06-27T00:00:00.000,1452325595-NY
KGD2328,2022-06-20T00:00:00.000,1440212478-PA
KDR8007,2022-06-19T00:00:00.000,1480673936-NY
