summons_number,street_name,vehicle_body_type,violation_code,issuer_command,violation_county,street_code2,vehicle_color,days_parking_in_effect,issuer_precinct,meter_number,time_first_observed,intersecting_street,violation_location
1478530248,DEFOE PL,SUBN,14,COOP,BX,12550,BLK,BBBBBBB,0,-,,,45.0
1460125447,105 AVE,SDN,50,0103,Q,24940,WH,BBBBBBB,103,-,0530A,177 ST,103.0
1484765096,B 106TH,SUBN,14,0003,NY,0,BLUE,BBBBBBB,3,-,,ROCKAWAY,100.0
1455220437,PIER 40,SUBN,20,0001,NY,0,GRAY,BBBBBBB,1,-,,353 WEST ST,6.0
1446494550,WHITE PLAINS RD,SUBN,19,0047,,40404,,BBBBBBB,47,-,1600P,,47.0
1460126014,103 ROAD,SDN,98,0103,,24690,WHT,BBBBBBB,103,-,,,103.0
1481975997,40 AVE,P-U,51,0111,,40200,GRAY,BBBBBBB,111,-,,,111.0
1460821361,NEW KIRK AVE,SDN,46,0067,,40404,BL,BBBBBBB,67,-,,,
1457166021,191 ST,SDN,40,0103,Q,68190,BLACK,BBBBBBB,103,-,,,103.0
1481830703,BURLING STREET,SUBN,40,0109,Q,51895,WHITE,BBBBBBB,109,-,,,109.0
1430067895,w 162 st,SDN,20,0163,BX,40404,GOLD,BBBBBBB,163,-,,,44.0
1463658187,41 STREET,SUBN,16,0072,K,5130,GY,BBBBBBB,72,-,,,72.0
1479839231,MAIN ST,SUBN,24,0976,NY,60611,BK,BBBBBBB,976,-,,RI,114.0
1480628669,E 86 ST,SDN,98,0069,K,40230,W,BBBBBBB,69,-,,,69.0
1482045254,%E 78 ST,SUBN,14,0019,NY,14980,GRY,BBBBBBB,19,-,,CHEROKEE PL,19.0
1448903993,WEST 33RD STREET,,41,0010,,11010,RED,BBBBBBB,10,-,,,10.0
1438931517,FATHER ZEISER,SDN,46,0052,BX,70620,,BBBBBBB,52,-,,,52.0
1484697728,SOUTH ST,,63,0001,NY,13015,BLUE,BBBBBBB,1,-,,,1.0
1455306265,CEDAR GROVE BEACH,SDN,27,0005,R,47823,GOLD,BBBBBBB,5,-,,,122.0
1481939506,25 AVE,SUBN,98,0115,Q,15990,BK,BBBBBBB,115,-,,,115.0
1484697686,SOUTH ST,SDN,63,0001,NY,13015,BLUE,BBBBBBB,1,-,,,1.0
1480959066,7TH AVE,SUBN,46,0032,,36750,WHITE,BBBBBBB,32,-,,,32.0
1455032529,VANDERBILT AVE,SUBN,14,0968,NY,17890,BLK,BBBBBBB,968,-,,E 45TH ST,14.0
1457605612,PITKIN AVE,SUBN,46,0073,NY,23130,RD,BBBBBBB,73,-,,,73.0
1484773639,GARNET STREET,SDN,48,0076,K,29830,BLU,BBBBBBB,76,-,1200P,,76.0
1481856560,JUDGE ST,SDN,98,0110,,58990,GRY,BBBBBBB,110,-,,,110.0
1484773056,CENTRE ST,SDN,14,0076,K,0,WH,BBBBBBB,76,-,,I/O CLINTON ST,76.0
1478525824,ADLER PLACE,SUBN,40,CCPD,BX,9600,WT,BBBBBBB,0,-,,,45.0
1484752752,CROTONA PARK SOUTH,SUBN,20,0002,BX,22425,BLK,BBBBBBB,2,-,,CROTONA PARK,42.0
1462136230,158TH ST,SUBN,14,0001,NY,11630,BLK,BBBBBBB,1,-,,FORT WASHINGTON PARK,30.0
1435369014,BOSTON RD,VAN,19,0163,,15220,WHT,BBBBBBB,163,-,,,49.0
1447728257,27 AVE,SDN,19,0114,,5055,BLK,BBBBBBB,114,-,,,114.0
1484768954,DEGRAW ST,SDN,40,0076,NY,49630,BLUE,BBBBBBB,76,-,0200P,,76.0
1480628700,E 101 ST,SDN,46,0069,K,14280,BK,BBBBBBB,69,-,,,69.0
1480629807,E 83 ST,SDN,40,0069,K,41730,BLU,BBBBBBB,69,-,,,69.0
1462549068,JAMAICA AVE,,98,0075,K,56430,GRY,BBBBBBB,75,-,0706P,,75.0
1484799951,4 AVE,SDN,48,0072,K,9130,BLK,BBBBBBB,72,-,,,72.0
1446891379,N/S VAN CORTLANDT PK,P-U,20,0002,,0,,BBBBBBB,2,-,,E/O BROADWAY,50.0
1478442967,WINCHESTER BLVD,SUBN,70,0915,Q,65590,GY,BBBBBBB,915,-,,,105.0
1460588691,RIIS BEACH BAY 3 LOT,SUBN,68,0835,Q,60790,SILVE,BBBBBBB,835,-,,ROCKAWAY BEACH BLVD,100.0
1480628876,PAERDEGAT 14 ST,SUBN,98,0069,K,68942,,BBBBBBB,69,-,,,69.0
1480636666,EAST 99 STREET,SDN,40,0069,K,85870,GRAY,BBBBBBB,69,-,,,69.0
1480321060,ARTHUR AVE,SUBN,17,0002,BX,0,BLUE,YYYYYBB,2,-,,WALTER GLADWIN PARK,48.0
1484799732,30 ST,SUBN,17,0072,K,5430,BLUE,YYYYYBB,72,-,,,72.0
1462135997,N/O W 176TH ST,SUBN,19,0001,NY,0,BLK,BBBBBBB,1,-,,E/S/O AMSTERDAM AVE,33.0
1457414648,BARCLAY CIR,P-U,51,0123,R,31425,BK,BBBBBBB,123,-,,,123.0
1484741596,CROTONA PARK EAST,SUBN,98,0002,BX,67320,GREY,BBBBBBB,2,-,,,42.0
1484798594,61 ST,SUBN,98,0072,K,5780,BLACK,BBBBBBB,72,-,,,72.0
1481166372,MORRIS PARK AVE,SUBN,20,BXTE,BX,41520,GY,YYYYYYY,0,-,,,49.0
1446953920,COMMERCIAL ST,FOUR,46,0004,K,34430,GRAY,BBBBBBB,4,-,,DUPONT ST,94.0
1478500050,S/O 140 DONIZETTI PL,SDN,98,CCPD,BX,23800,SIL,BBBBBBB,0,-,,,45.0
1480630160,E 89,SDN,46,0069,K,44430,G,BBBBBBB,69,-,,,69.0
1307575845,BOAT BASIN,SUBN,51,0110,Q,0,BLACK,BBBBBBB,110,-,,SHEA REAF,110.0
1482047627,E 102ND ST,SUBN,70,0023,NY,10210,RED,BBBBBBB,23,-,,,23.0
1480321187,VIELE AVE,SUBN,20,0002,BX,13385,ORANG,BBBBBBB,2,-,,BARRETTO POINT PARK,41.0
1449703756,N/W/C/O VERMONT PL,SDN,14,0075,K,0,GRAY,BBBBBBB,75,-,,HIGHLAND BLVD,75.0
1480629868,E 80 ST,SDN,46,0069,K,41730,GY,BBBBBBB,69,-,,,69.0
1307576424,126 ST,VAN,46,0114,Q,35780,GR,BBBBBBB,114,-,,,110.0
1484780796,30 ST,SDN,98,0072,K,5280,BL,BBBBBBB,72,-,,,72.0
1484768139,HICKS ST,SDN,20,0076,K,90930,WH,BBBBBBB,76,-,,,76.0
1484703261,PARK RD,SDN,45,0002,BX,0,BLK,BBBBBBB,2,-,,ORCHARD BEACH PARKIN,45.0
1478689808,E 44TH ST,SUBN,17,0968,NY,25390,GRY,BBBBBBB,968,-,,,14.0
1481856522,50 AVE,VAN,40,0110,Q,18740,WH,BBBBBBB,110,-,,,110.0
1480673961,10 AVE,SDN,40,0068,K,10030,GREY,BBBBBBB,68,-,,,68.0
1478532142,DEBS PL,SDN,40,COOP,BX,24980,BRN,BBBBBBB,0,-,,,45.0
1481882030,30 RD,SDN,40,0114,Q,66390,BLK,BBBBBBB,114,-,,,114.0
1481856534,CALLOWAY ST,,98,0110,K,12240,,YBYBBYB,110,-,,,110.0
1478511023,ELGAR PLACE,SUBN,14,COOP,BX,23800,WHITE,BBBBBBB,0,-,,,45.0
1478525149,BARTOW AVE,SDN,68,CCPD,BX,9600,BLU,BBBBBBB,0,-,,,45.0
1480694666,E 28 ST,SUBN,40,0061,K,14730,BLU,BBBBBBB,61,-,,,61.0
1480334406,DYKER BEACH PARK,SDN,14,0004,K,6180,BLUE,BBBBBBB,4,-,,,62.0
1478531198,DEBS PL,SDN,14,CCPD,BX,23800,BLK,BBBBBBB,0,-,,CUL DE SAC,45.0
1460150442,MOTT AVE,SDN,46,0101,Q,30140,RD,BBBBBBB,101,-,0320P,,101.0
1478530418,DEBS PL,SUBN,14,COOP,BX,24980,BLU,BBBBBBB,0,-,,,45.0
1480577042,SWINTON,P-U,98,0045,BX,45120,WH,BBBBBBB,45,-,,,45.0
1447578004,ROOSEVELT AVE,SUBN,19,0115,Q,16490,ORANG,BBBBBBB,115,-,,,115.0
