street_name,violation_time,plate_type,street_code1,violation_in_front_of_or,house_number,unregistered_vehicle,violation_precinct,street_code3,vehicle_year,from_hours_in_effect
3RD AVE,0850A,PAS,10210,F,1851,0.0,23,19030,2006,ALL
RIVERBANK STATE PARK,0438P,PAS,13930,,,0.0,30,36670,2022,ALL
3RD AVE,0900A,PAS,10210,F,1782,0.0,23,18950,2013,ALL
21 AVE,0817A,PAS,7230,,8303,0.0,62,10780,2020,ALL
102 AVE,0821P,PAS,19440,F,215-23,0.0,105,26690,2019,ALL
E 78  ST,0332P,PAS,18550,,,0.0,19,0,2020,ALL
PITKIN AVE,1115A,PAS,70930,F,1658,0.0,73,25930,0,ALL
52 ST,0536P,PAS,9180,O,,0.0,66,0,0,ALL
25 AVE,0204P,PAS,7240,F,76-04,0.0,115,16140,2020,ALL
W 170 STT,0521P,PAS,0,F,,0.0,44,0,2013,ALL
PIER 40,0848A,PAS,10160,F,,0.0,6,0,2019,ALL
W 87 ST,0440P,PAS,35510,F,31,0.0,24,15710,2013,ALL
STEINWAY ST,1020P,PAS,64290,F,28-12,0.0,114,7790,0,ALL
HAZEN STREET,1209P,PAS,0,O,18-33,0.0,174,0,2008,ALL
FOWLER AVE,0305P,PAS,33420,F,1723,0.0,49,52220,2022,ALL
W 28TH ST,1037A,PAS,34330,F,,0.0,10,0,2004,ALL
SCHERMERHORN STREET,0339P,PAS,75530,F,200,0.0,84,20530,2012,ALL
20 ST,1024A,PAS,7180,F,242,0.0,72,5680,2017,ALL
MARTHA AVE,0455P,OMT,0,F,4273,0.0,0,40404,2019,ALL
ROWLAND ST,1108P,OMT,62620,F,1419,0.0,45,69520,2017,ALL
41 STREET,0330A,PAS,9640,O,24-43,0.0,114,7240,2015,ALL
W 25TH,0220P,PAS,91630,,,0.0,60,0,2010,ALL
KANE ST,0946A,PAS,53950,,,0.0,76,0,2021,ALL
MADISON AVE,0600P,PAS,25390,F,1544,0.0,23,19070,2013,ALL
W 29 ST,1035A,PAS,34350,F,102,0.0,14,10610,0,ALL
42 STREET,0348A,PAS,9790,F,3406,0.0,114,8590,2017,ALL
GRAND CONCOURSE,0850A,PAS,36420,F,800,0.0,40,26400,2017,0800A
PURDY ST,1150A,PAS,59820,F,1512,0.0,43,66320,2021,ALL
ADLER PLACE,0456A,PAS,7730,F,35,0.0,45,23800,2016,ALL
WASHINGTON ST,0310A,PAS,33390,O,416,0.0,1,32710,2022,ALL
BAY 7 ST,1156A,PAS,15980,O,97,0.0,62,15780,2021,ALL
REMINGTON ST,0617P,PAS,60190,F,102-37,0.0,103,53790,2011,ALL
WEST STREET,0231P,PAS,11115,F,52,0.0,1,29440,0,ALL
30 ST,0832A,PAS,8080,O,178,0.0,72,73725,2022,0700A
CHERRY AVENUE,0906P,PAS,38990,F,143-01,0.0,109,62630,0,ALL
HERKIMER ST,0450A,PAS,49130,F,1226,0.0,73,58630,0,ALL
E 101 ST,0303A,PAS,38185,F,1436,0.0,69,75970,2016,ALL
ELGAR PLACE,0650P,PAS,30430,F,100,0.0,45,12550,2020,ALL
BROADWAY,1130P,PAS,13610,F,4466,0.0,34,37590,2015,ALL
EAST 103 STREET,1105A,PAS,38200,F,983,0.0,69,14080,2015,ALL
PILOT ST,0605P,PAS,58520,F,151,0.0,45,23800,1999,ALL
ROOSEVELT AVE,0140A,PAS,61090,F,79-17,0.0,115,16590,2020,ALL
MOTT AVE,1110P,PAS,56090,F,1612,0.0,101,30140,2016,ALL
E 44TH ST,0250P,PAS,17870,F,49,0.0,14,32670,2020,ALL
MAIN ST,0620A,PAS,54580,F,900,0.0,114,0,2014,ALL
COMMERCE ST,1235P,PAS,28530,F,71,0.0,76,86730,2018,0700A
