menu_item_id,item_name,regional,cholesterol_100g,total_fat_100g,sodium,sodium_100g,saturated_fat,item_description,serving_size_household,kids_meal
150053,Applesauce,0,,,5.0,,0.0,"Applesauce, Kids Sides",,1
35394,Sour Cream & Onion Pretzel w/ Salt,0,0.0,1.0,1240.0,969.0,0.5,"Sour Cream & Onion Pretzel w/ Salt w/out Butter, Soft Pretzels, Signature Pretzels",,0
1622,"Curly Fries, Small",0,0.0,17.0,940.0,734.0,3.0,"Curly Fries, Friends of Meat, Sides, Small; Choice of Adding: Ketchup",,0
10012,French Onion Soup,0,,,1390.0,,13.0,"French Onion Soup w/ Melted Cheese & Croutons, Soups or Salads, Apps & Bar Snacks, Sides, Extras, Lunch Combos Signature, Add Ons; Choice in: Lunch Combos Signature",,0
170016,Sprinklicious Donut,0,,,,,,"Sprinklicious Donut, Bakery, Start My Day, Snacks",,0
170242,"Frozen Lemonade Mixer, Blue Raspberry, 16 fl oz",0,,,,,,"Frozen Lemonade Mixer, Blue Raspberry, 16 fl oz, Drinks, Frozen Lemonade Mixers",,0
80384,"Orange Fanta, 16 oz",0,0.0,0.0,15.0,3.0,0.0,"Orange Fanta, 16 oz, Fountain Drinks, Drinks, Coca Cola Products",,0
10403,"Ultimate Chocolate Shake, Large",0,13.0,4.0,540.0,92.0,15.0,"Ultimate Chocolate Shake, Large, Drinks & Desserts, Desserts, Shakes, Arbys US Menu Items w/out Gluten",,0
150049,The Classic Combo,0,,,7240.0,,41.0,"The Classic Combo w/ Mozzarella Sticks, Spinach & Artichoke Dip, Chicken Quesadilla & Boneless Wings w/out Sauce or Dressing, Appetizers",,0
150100,Thai Shrimp Salad,0,,,1570.0,,3.5,"Thai Shrimp Salad w/ Chili Lime Vinaigrette Dressing, Edamame, Almonds, Asian Greens, Wonton Strips & Peanut Sauce, Lighter Fare, Salads",,0
170120,Crunchy Onion Rings,0,,,3360.0,,10.0,"Crunchy Onion Rings, Appetizers",,0
80325,"Lemonade Mixers, Strawberry, 42 fl oz",0,,,,,,"Lemonade Mixers, Strawberry, 42 fl oz, Drinks, Lemonade Mixers",,0
10585,"Butterfinger 31� Below, Large",0,15.0,7.0,680.0,100.0,27.0,"Butterfinger 31� Below w/ Vanilla Soft Serve & Butterfinger Pieces, Large, 31� Below Mix Ins, Specialties, Ice Cream",,0
10222,Classic Fries,0,,,970.0,,3.5,"Classic Fries, Sides, Burgers, From The Grill, Sandwiches, Tacos & More, Kids, Kids & Adult Menu",,1
10766,"Caramel Cappuccino Blast, Small",0,13.0,4.0,200.0,44.0,10.0,"Caramel Cappuccino Blast w/ Vanilla Ice Cream, Caramel Syrup, Whipped Cream & Caramel Praline Topping, Small, Cappuccino Blast, Beverages, Specialties, Ice Cream",,0
