sales_document_number,sd_document_category,sales_document_type_id,order_reason_id,delivery_block_id,sales_organization_id,distribution_channel_id,division_id,document_date,requested_delivery_date,sold_to_customer_id,sales_document_id,created_date,created_by,sales_document_item,plant_id,material_id,material_group_id,sales_document_item_category_id,product_hierarchy_id,base_uom_id,order_quantity,sales_uom_id,net_value,net_price,sd_document_currency_id,gross_weight,weight_uom_id,returns_item,reason_rejection_id,_fivetran_deleted,_fivetran_synced,delivery_status,overall_status,item_delivery_status
VB0003,C655,OR0151,AGR50,LIfSK929,Vko024,VtW033,SP014,2025-01-14,2025-01-21,CUSt0030,VB0003,2025-01-23,ERNAM026,19,PL059,Mat0011,MAtkL014,PSTY19,pRoDH01,122,-1006.0,VrkME10,-5003.0,199,91,15,115,H6,-1,6,2024-09-28 22:20:32,L4,G5,VaL25
VB0026,C374,Or113,AGr053,lIFSK093,VkO003,vTW52,Sp72,2025-01-27,2025-02-07,CUsT0061,VB0026,2025-01-22,ERnAM715,14,Pl41,MAT001303,MATKL400,pSTy19,PrODH022,130,-1003.0,VRKME13,-4991.0,193,94,15,128,H1,-3,-7,2024-10-03 20:21:40,l69,g6,val13
VB0049,C6,OR018,AGR658,LIFsk02,vKo013,VtW128,Sp323,2025-01-06,2025-02-02,CUSt802,VB0049,2025-01-10,ErnAM010,7,pL311,MAT4710,mATkL014,psTY12,PRODH56,133,-990.0,VRKME13,-4991.0,199,96,14,121,H2,9,4,2025-04-27 10:09:18,l61,G1610,vAL39
VB0018,C493,OR012,AGr12,lIFsK017,VKO342,VTW012,sp025,2025-01-08,2025-01-25,cuST002,VB0018,2025-01-26,ERnAM920,4,pl015,MAt0062,MATkl012,psTY10,PrODH098,132,-994.0,VrKME4,-5004.0,196,109,18,129,H7,5,5,2025-04-20 17:07:52,L16,g52,VAl38
VB0009,C9,Or921,AGr916,LIFSK01625,VKo089,VTW083,SP010,2025-01-26,2025-01-28,CUST001377,VB0009,2025-01-02,ERnaM023,16,Pl318,mAT8018,MATkl016,PSTY13,ProDH015,122,-1000.0,vRKME27,-4994.0,208,99,29,119,H4,-6,3,2024-11-06 02:46:44,l8,g85,val29
VB0034,C6,OR71,AgR000,liFSK025,vkO016,VTW180,SP93,2025-01-25,2025-01-20,CuSt001,VB0034,2025-01-16,ERNAM42,4,PL013,MAt0517,MAtKl01,pStY1,PRODH96,124,-1001.0,VRKmE85,-4999.0,199,93,12,133,H393,10,-5,2024-10-20 11:30:07,L18,g90,VAl3
VB0025,C4,or023,AGr229,LIFsK91,VKo08,vTw02,sP929,2025-01-06,2025-01-25,CUST0028,VB0025,2025-01-10,eRNaM026,2,Pl084,MaT0111,MAtKl018,PSTy3,PRodH01,122,-996.0,VRkmE16,-5001.0,207,90,24,133,H755,-1,1,2024-10-02 08:55:51,l98,g17,val30
VB0079,C2,OR141,AgR006,LifSK025,VKo087,vtW028,Sp043,2025-02-02,2025-02-13,CuST082,VB0079,2025-01-29,erNAM020,14,Pl02,MAT6013,MATKL01359,PsTy11,PRODh219,129,-1008.0,VrKMe1,-5010.0,206,95,26,121,H0,-5,-6,2024-08-27 16:53:11,L44,g63,vAl94
VB0019,C0,Or810,AGr825,lIFSK921,vKO317,vtW026,sP328,2025-01-18,2025-01-24,CuST9023,VB0019,2025-01-12,ERnAm010,16,pl01,MAT541,MATKl098,PSTy80,PRODH35,119,-999.0,VRKME13,-5010.0,193,105,12,125,H7,7,0,2024-08-07 12:03:27,L24,g8,Val6
VB0037,C6,OR177,aGr012,LIFsK917,Vko01,VTW58,SP02692,2025-01-17,2025-01-18,cUST0048,VB0037,2025-01-03,ERnAM916,2,Pl81,mAT000,MatKL011,PSTY17,PRoDH718,132,-1007.0,VRKME16,-4999.0,191,108,26,131,H836,10,10,2025-01-03 23:19:10,l52,G1418,vaL5
VB0085,C760,OR744,AGr423,lIFSK125,VKo529,vtW018,sP039,2025-01-31,2025-02-13,CUST5010,VB0085,2025-01-07,ErNAm026,13,Pl213,MAT3030,mATKL81,PSty11,ProDH013,131,-992.0,VRKME18,-5008.0,208,94,24,131,H170,9,-7,2025-02-01 00:11:01,L39,G45,Val18
VB0022,C5,OR116,AGR900,LIFSk046,VkO12,Vtw023,SP662,2025-02-03,2025-01-25,CusT0015,VB0022,2025-01-03,eRNAm020,3,pl01,MAt101,MATkL05,PSTy2,PRoDH066,130,-992.0,VRKME1533,-5007.0,191,101,26,123,H7,5,7,2024-07-28 02:11:32,L20,g73,VaL27
VB0015,C7,or024,AGR01942,LIFSK12,VKO016,VTW127,SP61,2025-01-20,2025-01-24,CuST003,VB0015,2025-01-14,ERnAM71,15,Pl819,MAt006,MATKL018,PSTy70,PRODH01150,127,-1004.0,VRkME96,-5003.0,210,91,14,113,H8,-2,-9,2025-05-26 15:38:37,L28,G28,vAL29
VB0067,C7,OR396,agR01,LIFsK720,vKO048,vTW613,Sp062,2025-02-03,2025-02-13,CUST001167,VB0067,2025-01-25,ErNAM030,10,PL242,MAt004,maTKL011,PstY1,PRODH647,113,-997.0,VRkmE1,-5000.0,201,109,24,126,H2,10,-7,2025-04-03 15:50:48,l35,g06,vAL3
VB0075,C1,oR522,Agr023,liFSK028,vKo02,VTW132,SP024,2025-01-08,2025-02-14,cUsT0023,VB0075,2025-01-22,ERNaM61,6,pL031,mAT005,MaTKL911,psTY11,ProDH01,124,-994.0,vRKmE1,-5008.0,205,95,12,113,H8,9,6,2025-03-09 17:52:42,l8,g96,val23
VB0056,C9,Or078,AGR754,LifSK015,VKo047,vtW011,SP823,2025-01-11,2025-01-25,CUst0028,VB0056,2025-01-22,eRnAM025,15,Pl025,MAT1007,mATkL019,PsTy1,pRODH002,125,-1009.0,vRKME63,-5007.0,190,92,19,132,H0,-6,6,2024-11-06 00:58:20,l34,G74,val3377
VB0021,C695,OR040,AGR029,LIfSK09,VkO420,vTW097,Sp721,2025-01-22,2025-02-04,CUST001645,VB0021,2025-01-06,ERNAM028,3,Pl115,MaT031,MATKL631,PSTY16,PRODH012,113,-998.0,VrKMe11,-5009.0,198,91,12,133,H8,4,-9,2024-12-30 03:17:23,l20,G13,vAl86
VB0076,C3,OR05,AgR313,lIFSk015,vkO025,VtW08,SP644,2025-01-04,2025-02-06,CUsT0125,VB0076,2025-01-24,eRNAm019,15,Pl511,MAt0087,MaTKL712,pSTy17,PrODh01,125,-994.0,vRKME3,-5009.0,209,98,11,128,H0,8,4,2025-04-13 01:01:50,L1529,g81,val1210
VB0005,C3,oR31,AgR825,LIFSK314,VKO02703,VtW62,SP027,2025-01-06,2025-01-20,CuST7029,VB0005,2025-01-27,ERNAM150,,pL00,maT0010,mATkL01,PsTY25,prODH014,121,-996.0,VrKmE1,-4996.0,197,105,22,115,H7,7,8,2025-04-09 20:02:17,l46,G34,VAl33
VB0047,C5,or025,aGR21,liFSK025,vKO079,vtW01,SP21,2025-01-14,2025-02-05,CUSt0001,VB0047,2025-01-20,ERNaM032,8,pL51,MAt7017,MATKL015,psTY1,PRoDH51,131,-998.0,vRKME82,-5007.0,192,92,29,120,H0,3,-6,2025-05-16 14:02:24,L18,g4,VaL3
VB0032,C7,OR405,AGr098,LIfSK221,VkO226,vTW122,sp01,2025-02-02,2025-01-21,CUST4424,VB0032,2025-01-20,ERnAM42,2,pl016,MAt7013,MATKL017,PSTY14,prODH014,127,-1005.0,VrkME1,-5009.0,200,104,26,123,H7,-5,3,2024-11-17 09:13:09,l59,G2263,val35
VB0043,C2,Or321,AGR02276,LiFsK020,VkO055,VTW98,SP021,2025-01-11,2025-01-26,cUST6029,VB0043,2025-01-01,eRNAM091,7,pl018,MAT9038,MAtKL008,PSTY1123,PRoDh015,126,-993.0,vRkME15,-5009.0,190,97,29,115,H7,-4,-6,2025-02-14 13:58:57,L25,G20,Val96
