mandt,vbeln,rfstk,rfgsk,bestk,lfstk,lfgsk,wbstk,fkstk,fksak,buchk,abstk,gbstk,kostk,lvstk,uvals,uvvls,uvfas,uvall,uvvlk,uvfak,uvprs,vbtyp,vbobj,aedat,fkivk,relik,uvk01,uvk02,uvk03,uvk04,uvk05,uvs01,uvs02,uvs03,uvs04,uvs05,pkstk,cmpsa,cmpsb,cmpsc,cmpsd,cmpse,cmpsf,cmpsg,cmpsh,cmpsi,cmpsj,cmpsk,cmpsl,cmps0,cmps1,cmps2,cmgst,trsta,koquk,costa,saprl,uvpas,uvpis,uvwas,uvpak,uvpik,uvwak,uvgek,cmpsm,dcstk,vestk,vlstk,rrsta,block,fsstk,lsstk,spstg,pdstk,fmstk,manek,spe_tmpid,hdall,hdals,cmps_cm,cmps_te,vbtyp_ext,fsh_ar_stat_hdr,hvr_is_deleted,hvr_change_time
100,VB001,R1,G1,B1,L1,G2,W1,F1,S1,BK1,A1,G1,K1,L2,VALS1,VV1,VFA1,VALL1,VVLK1,VFAK1,VPRS1,V1,OBJ1,2025-01-01,FIK1,REL1,K01,K02,K03,K04,K05,S01,S02,S03,S04,S05,PK1,A,B,C,D,E,F,G,H,I,J,K,L,CM0,CM1,CM2,GST1,TR1,KQ1,CO1,REL6,PAS1,PIS1,WAS1,PAK1,PIK1,WAK1,GEK1,CMM1,DC1,VE1,VL1,RR1,BLOCK1,FS1,LS1,SP1,PD1,FM1,MAN1,TMPID1,HDALL1,HDALS1,CMCM1,CMTE1,VX1,STAT1,0,2025-06-01 12:00:00
200,VB002,R2,G2,B2,L2,G3,W2,F2,S2,BK2,A2,G2,K2,L3,VALS2,VV2,VFA2,VALL2,VVLK2,VFAK2,VPRS2,V2,OBJ2,2025-02-01,FIK2,REL2,K06,K07,K08,K09,K10,S06,S07,S08,S09,S10,PK2,M,N,O,P,Q,R,S,T,U,V,W,X,CM3,CM4,CM5,GST2,TR2,KQ2,CO2,REL7,PAS2,PIS2,WAS2,PAK2,PIK2,WAK2,GEK2,CMM2,DC2,VE2,VL2,RR2,BLOCK2,FS2,LS2,SP2,PD2,FM2,MAN2,TMPID2,HDALL2,HDALS2,CMCM2,CMTE2,VX2,STAT2,1,2025-06-01 12:02:00
143,VB0003,R15,G1846,b84,L4,g96,w63,f9,S26,bK3,A19,G5,k30,l12,VALS23,Vv45,VFA2783,VALl2,vVLK85,vFAK0,vPrS1,V01,ObJ6,2025-01-02,FIK1321,REL1279,k046,k775,k09,k005,k143,s083,S03,S009,s29,s175,pK89,A6,N5,O851,D8,Q8,F99,S49,T7,U970,J7,W937,X3,CM05,cM29,CM5455,GST2584,TR16,kQ3,Co48,ReL08,pAs24,PIs58,WAs3,Pak11,piK21,wAK30,geK24,cMM1,Dc9,VE16,vl2,rr27,blOCK1,fS72,Ls5,SP25,pd17,Fm5,mAN68,TMPid18,HdALL67,HDaLs29,CMCm6,cMTE9,VX44,STat27,11,2025-06-01 12:01:51
200,VB0026,r85,G12,B18,l69,G1,W24,F0,s32,bk16,a00,g6,k19,l9,VaLs2,VV13,VFA22,vALl24,VVLk40,VfAk21,vPRS39,V1284,OBJ18,2025-01-01,fiK13,reL1,k00,K070,k635,k05,K432,S61,S27,S034,S04751,S881,pK6,M9,B6,O5,P828,E346,R3,G1,T1,I7,J5,K8,X365,CM4,Cm0,cm2,GsT50,tr18,kQ04,co1,REL33,PaS4,PIs6,WAS19,PAK1505,PIk1,wAK82,gEK64,CMm33,dc27,ve28,VL1165,rr2,BLocK15,fS88,lS95,Sp45,pD48,Fm8,Man29,TMPID39,HDALL87,hdALS13,CmCm2,CmTE21,VX15,STAT4,1,2025-06-01 12:01:24
92,VB0049,r7,g49,B17,l61,g70,W14,f8,S35,bK16,A14,G1610,k08,l1,ValS2,vv2,VfA20,vAlL11,vVlK2,vFAK7,vPRs2,V92,OBJ123,2025-01-26,fiK18,REL26,K498,K024,k035,K041,k458,s11,S022,S346,S658,s758,Pk00,M5,N990,C9,P7,Q7,R532,G4,T4,U6,V5,W6,X697,CM31,CM10,cM74,GST14,tR8,KQ29,CO20,rEl69,paS28,Pis26,WAs8,pAk25,PIK2414,wAK97,geK26,CMM32,dC12,VE29,Vl4,Rr5,bLOcK14,fs21,Ls53,SP19,PD16,fm27,Man25,tMPiD17,hDALL26,HDAls10,CMCm4,cMTe2,vX75,STAT9,9,2025-06-01 12:00:00
112,VB0018,R13,G17,B56,L16,G0,w24,F63,s26,bk20,a05,g52,k12,L74,VALs03,VV1118,Vfa10,VALL13,VVLK1783,vFAk12,VpRs19,v06,oBJ8,2025-01-09,FIK05,REl6,k011,K97,K051,k07,k350,S553,S94,S842,S134,S005,pk1,A9,N496,O771,D5,E9,F3,G4,T0,U9,J2,W7,L3,cM0,cM9,cm53,gsT21,Tr83,kq27,co27,rEL27,PAS14,PIs9,Was15,PAk6,PIK1268,WAK27,gEK8,cMM0,Dc95,VE10,Vl76,RR2310,BloCK27,FS23,ls14,Sp32,pD24,FM28,MAN27,tMpID2,hDAlL2,HDALS1904,CMcm13,cmTE1,Vx7,STAT16,0,2025-06-01 12:01:42
194,VB0009,R22,G51,b7,l8,G36,w02,f8,S29,BK12,a81,g85,K2452,l1,VAls2,vV44,VFa94,VALl44,VVLK16,VFaK3,vpRS2,V27,obJ1,2025-01-05,Fik1,REL1460,k077,k124,k099,K055,k851,s76,s050,s93,s199,s095,Pk59,A6,N0,O3,D8,Q6,F0,S2,T0,U7,J4,K194,X1,CM38,Cm06,CM51,GST22,tr16,Kq50,CO1659,ReL69,pAS5,PiS05,WAS12,Pak2,PIK60,WAK14,geK29,CMm1,DC13,VE25,VL11,Rr8,BlOcK20,Fs19,lS05,SP73,PD1930,fm18,MAN15,TmPiD2,HDAlL05,hDALs24,cMcM22,CmTe20,Vx5,STAT26,1,2025-06-01 12:00:29
133,VB0034,R77,G7,B2595,L18,g61,W22,F81,S28,bK5,A20,g90,K14,L76,VALs74,vV39,VFA2408,VALL222,vVlK1,VFAK1499,VpRs2,V22,ObJ86,2025-01-29,FiK26,REL1863,k311,K02391,K947,k498,K05313,S99,S822,S04,s740,S106,Pk07,M433,N1,C9,P25,Q6,F9,S441,H486,I807,J8,W1,X142,cM1,cM57,cm55,GSt95,TR27,kq18,Co5,REL75,PaS97,PIs11,waS2,PAK24,Pik1,WaK66,gEk16,CMM10,Dc56,VE30,VL13,RR2212,BlOCk16,fS57,LS24,sp1,Pd07,FM53,Man17,TmPiD24,HDAlL26,HdALs11,cmCM2,CmtE24,vx10,sTAT35,-7,2025-06-01 12:01:17
155,VB0025,R12,g49,b6,l98,g81,W15,F2314,s55,Bk86,A9,g17,k62,l6,VaLs26,Vv0,VFA12,vAlL23,VvlK19,VFAK2167,vPRS91,V02,oBj10,2025-01-26,FIK19,REL5,K061,k075,K729,k445,k20,s037,s029,S531,S40,S055,Pk0,A1,B1,C7,D9,Q325,F399,S5,T0,U1,V1,W8,L8,cm08,CM4602,CM23,gSt14,TR10,kq10,co13,ReL2,paS22,PIs1,wAs12,pAK8,piK20,Wak21,GeK70,CMM8,dC37,ve24,vL4,rr2,BlOCk1,fs1,Ls45,sP51,pd18,Fm7,maN11,tMpID1,HDaLl16,HDAls16,CMCM2838,CMTE26,VX2125,StAT78,7,2025-06-01 12:01:23
185,VB0079,R19,g27,b47,L44,g4,w86,f16,S1155,bk25,A65,g63,k9,l87,vaLS22,vV50,Vfa17,VAll11,VVLK1504,VFAK49,vPrS1,v64,obJ26,2025-01-16,Fik21,ReL4,K075,k524,k282,K87,k709,S16,s02,S561,S86,s15,PK24,A27,N81,O300,D5,E444,R35,G6,T7,I4,J812,W181,L9,cM5,Cm43,Cm31,GsT7,tR07,kQ5,Co8,REl94,Pas25,PIs91,WAS19,PAK17,piK11,waK10,GEk5,Cmm15,dC6,Ve8,vl22,rR93,BLOCK91,fS42,lS6,SP1242,Pd1,fM5,MaN61,TmpID21,hdALL2,hDALS01,CmCm26,CMtE7,vx1,StAt22,-5,2025-06-01 12:01:04
