mandt,posnr,vbeln,uvpak,uvvlk,mill_vs_vssta,pksta,lssta,vlstp,absta,fksta,fkivp,lfgsa,rrsta,lfsta,fksaa,wbsta,ltsps,costa,fssta,kosta,uvpik,uvfak,uvall,rfgsa,uvprs,lvsta,rfsta,cmppj,cmppi,hdall,besta,pdsta,fsh_ar_stat_itm,manek,gbsta,uvwak,dcsta,uvp05,uvp02,uvp04,koqua,uvp01,uvp03,_fivetran_deleted,_fivetran_synced,_fivetran_sap_archived
val1,1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,t,2023-01-01 12:00:00,val1
val2,2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,f,2023-01-02 12:00:00,val2
val3,3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,f,2023-01-03 12:00:00,val3
val26,0,vb0003,val10,val11,vAl48,val24,VAl26,val1932,vaL4,VaL13,vAL17,vAL2,VaL35,VaL25,VAl19,vaL60,val21,VAl19,vaL4,vaL43,vAl80,VAl10,vAl30,val2761,Val6,vAL1,vaL9,VAl20,VAl21,Val68,val13,vAl65,Val68,vAl0,vAl3,vaL8,vAL34,Val5,vAl82,VaL33,val2979,VaL12,vAL2,f2,2023-01-01 18:04:56,VaL14
Val02,13,vb0026,val22,val33,vAl85,vAL15,val25,VAl3,Val47,vaL8,vAl31,VAl15,val11,val13,VaL2,vaL6,Val8,val83,val32,vAL23,val274,vaL16,VAl1,Val7,val2353,vaL9,val25,VAl28,vAl93,Val07,val21,vAl88,vAl6,vAL36,vaL68,Val21,VaL23,vAl9,vAl24,VAl3,vAl13,VAl2,VaL30,f7,2023-01-02 00:41:02,Val93
vAL38,9,vb0049,VAl19,vaL40,VaL10,vaL01,VaL17,val7,VaL25,VAl28,VAl22,vaL55,vAl51,vAL39,vAL15,vAl16,VaL36,Val00,Val30,vAL28,vaL08,VAl2,val10,vAl3,vAL3,vaL00,Val27,VAl38,val2197,val13,vAl5,VaL28,VaL1,vaL35,VAl39,Val5,Val66,val08,vAl48,Val25,vAl7,val25,Val13,t185,2023-01-02 12:07:13,VAl30
VAl3,7,vb0018,VAl31,VAl11,vAl9,vaL90,Val77,vAl17,val39,val9,VaL25,vAl57,VAl3,VAl38,Val7,vaL3,val8,val10,VaL3,VaL15,Val62,VAl25,vAL21,vAl27,VAl3,val18,Val42,vAL34,vaL72,val113,vaL05,Val8,val5,VaL34,VaL2,val32,VaL15,vAl7,VaL37,vaL57,vaL70,Val06,VAl16,f0,2023-01-03 10:46:57,vAL11
val21,-3,vb0009,val39,vAL11,vAl8,Val6,val34,vaL79,val35,val14,vAL37,VaL37,vAl98,val29,val11,vAl05,Val9,val25,vaL04,vaL52,vAl99,vAL36,vAl8,VAl2,VAl11,vAl53,VaL15,vAl84,vAL34,vaL26,vaL8,vAl3,vAl64,vaL78,vAL22,VAl13,val84,val32,val25,vAl6,val30,val19,vAL36,t3,2023-01-02 22:38:05,VaL2
Val75,1,vb0034,vAl45,val1599,val6,vaL53,val20,val39,val28,VaL18,val3744,Val91,val2864,VAl3,Val31,Val8,val15,val40,VAl24,VaL14,VaL34,val39,vAL28,vAL1,VaL33,val19,Val94,vAL37,VaL32,vAL20,vaL23,VAl31,Val66,vAl22,VAl1,vAl33,VaL36,val21,Val1,val37,vaL36,Val15,vAL2,f6,2023-01-01 22:45:41,val2664
VAl3,13,vb0025,vAl2,VAl3,val36,val35,Val96,VAl1,vAl59,Val45,vAL12,vaL84,val31,val30,vAl53,VAl30,VAl34,vAL1,val3815,val3778,VaL32,vAl9,VAl18,vAL1,val31,vAL3,vaL44,val2212,vaL9,val2510,Val07,vAl66,val1984,VaL2,val4,VaL30,val3600,val94,VaL20,VaL3,vAl8,vAL27,val1276,t8,2023-01-01 22:58:54,vAl99
vAL13,5,vb0079,vaL86,vAl0,val3485,val3704,val11,vAl6,val37,vaL77,Val29,VAl3,Val91,vAl94,val2495,vAL25,vAL26,VAl26,val9,VaL33,Val56,VaL18,VaL1,vAl9,vaL0,val13,val3500,Val89,VaL26,vAl84,val16,VAl1,VAl3,Val5,vaL78,VaL2,vAl5,vAL1,vAl60,val3926,VaL27,val11,vaL96,f621,2023-01-01 20:46:46,vaL75
vAl15,11,vb0019,VaL34,Val8,VAl3,vAL27,Val82,val2593,vAL36,val6,vAl12,val38,vAl98,Val6,val2615,VaL20,VAl3,val12,VaL3,VaL21,vAL21,vAl90,vaL22,VAl2,VaL22,Val0,vAl88,val36,VaL22,val78,val31,val5,vAl73,val23,Val56,vAl2,vAL39,vAL32,vAL3,val85,val2369,vAl27,Val75,t0,2023-01-03 03:19:38,VAl2
