contract_id,nta,service_taxonomy,population_taxonomy
4740,SI22,"[""athletic leagues""]",
6648,BX39,,
7487,BX14,"[""emergency preparedness and response"",""client evaluation/assessment"",""intake"",""preventive services""]",
5641,,"[""outreach"",""conflict resolution/mediation"",""crisis intervention/management"",""emergency preparedness and response"",""preventive services"",""client evaluation/assessment"",""client referrals"",""counseling"",""mentoring"",""academic supports"",""work readiness"",""service/care planning"",""leadership development"",""discharge/re-entry"",""recreational services"",""community engagement"",""community advocacy""]",
4740,BK82,"[""athletic leagues""]",
4740,,"[""athletic leagues""]",
8325,QN01,,
7164,BX09,,
1969,MN25,,
7303,MN27,,
6284,,,
4740,,"[""athletic leagues""]",
4856,MN27,"[""restitution collections""]",
6602,BK33,,
5248,QN68,"[""case management"",""individual advocacy"",""individual client outreach""]",
3929,BX62,,
2980,BK77,,
159,BK40,,
5262,BK38,"[""case management"",""individual advocacy"",""individual client outreach""]",
4740,,"[""athletic leagues""]",
4740,,"[""recreational services"",""arts and culture"",""mentoring""]",
1961,BX41,,
4740,SI24,"[""athletic leagues""]",
4368,BX40,,
5622,BK75,"[""outreach"",""conflict resolution/mediation"",""crisis intervention/management"",""emergency preparedness and response"",""preventive services"",""mental health services"",""client evaluation/assessment"",""client referrals"",""counseling"",""mentoring"",""service/care planning"",""recreational services"",""community engagement"",""community advocacy""]",
4197,MN24,"[""case management"",""individual advocacy"",""individual client outreach""]",
2302,BK79,,
1637,MN28,,
2605,BK68,,
2337,QN22,,
3258,BX37,,
8685,MN03,,
5676,,"[""outreach"",""conflict resolution/mediation"",""crisis intervention/management"",""emergency preparedness and response"",""preventive services"",""mental health services"",""client evaluation/assessment"",""client referrals"",""counseling"",""mentoring"",""work readiness"",""service/care planning"",""community engagement""]",
6928,SI22,,
7493,BK63,"[""outreach"",""community advocacy"",""training"",""legal services""]",
8812,BK85,,
4003,,"[""civic engagement"",""community engagement"",""community advocacy"",""outreach"",""client referrals"",""volunteering"",""training"",""leadership development"",""case conferencing"",""conference"",""crisis intervention/management"",""career exploration"",""enrollment and recruitment"",""entrepreneurial training"",""job/vocational training"",""materials design and development"",""mentoring"",""preventive services"",""project based learning"",""recreational services"",""resource directory guides"",""resource fairs"",""street outreach"",""symposia"",""team-based coaching"",""toolkits"",""training delivery"",""training materials development"",""needs assessment"",""client evaluation/assessment"",""emergency preparedness and response"",""case management"",""meal delivery""]",
3822,,"[""outreach"",""community advocacy"",""training"",""supportive services""]",
5644,QN12,"[""outreach"",""conflict resolution/mediation"",""crisis intervention/management"",""emergency preparedness and response"",""preventive services"",""mental health services"",""client evaluation/assessment"",""client referrals"",""counseling"",""mentoring"",""service/care planning"",""recreational services"",""community engagement"",""community advocacy""]",
431,QN53,,
4740,MN11,"[""recreational services""]",
1970,MN25,,
6798,MN35,,
4023,BK72,"[""outreach"",""community advocacy"",""community engagement"",""supportive services""]",
7809,MN25,,
7464,BK43,,
4740,BX40,"[""recreational services""]",
