site_name,address_2,fixed_address,state_senate_district,provider_id,state,bp_population
Bronx Family Justice Center,,True,32.0,10,NY,
Bronx,Lower Level,True,32.0,1564,NY,
301 Henry Street Youth Center,,True,26.0,38,NY,
Staten Island Workforce1 Center,3rd Floor,True,23.0,947,NY,
Belmont & Concourse Village,,False,,1577,,
Academy of Arts and Letters,,True,25.0,369,NY,
Queensbridge Houses Playstreets and VIBE,,False,,607,,
East New York,,True,19.0,99,NY,
I2B,,True,19.0,607,NY,
Manhattan Family Justice Center,,True,26.0,21,NY,
Bronx Family Justice Center,,True,32.0,64,NY,
Queensbridge Houses Basketball League,,False,,607,,
Staten Island Justice Center (North Shore),,True,23.0,152,NY,
Warehouse and Delivery of non-perishable food to Food Pantries and Soup Kitchens,,False,,44,,"[""everyone""]"
"Bridge The Gap Youth, Inc.",,True,17.0,2585,NY,
Cure Violence - 75 Precinct (B),,False,,1430,,
Sheltering Arms-Marolla Place,,True,36.0,152,NY,
Queens,,True,10.0,2064,NY,
Cure Violence - 77 Precinct,,False,,152,,
"CAMBA Legal Services, Inc. - HQ",,True,21.0,31,NY,
Brooklyn,,True,18.0,1187,NY,
A. Philop Randolph Campus High School,,True,30.0,502,NY,
Bronx Dance Academy School,,True,36.0,587,NY,
Harlem Center,,True,30.0,607,NY,
