hispanic,ela_level_3_1,ell_haitian_creole,math_level_4_1,ela_level_1_1,ell_spanish_1,ela_level_2,math_level_2,hispanic_1,math_test_takers,ell_urdu,grade_5,ell_urdu_1
s,41.2%,,76.5%,s,,s,s,s,17,,9,
s,,,s,,,,s,s,s,,,
s,,s,s,,s,,s,s,s,s,,s
43,s,s,s,58.3%,95.5%,s,s,97.7%,11,s,,s
76,s,s,s,55.9%,96.2%,13,11,96.2%,35,s,9,s
s,s,,s,s,,s,s,s,s,,,
25,42.9%,,77.1%,s,,s,s,26.3%,35,,s,
22,46.4%,,85.5%,s,,s,s,14.6%,83,,23,
s,s,,100.0%,s,,s,s,s,16,,16,
s,,s,,,s,,,s,,s,,s
42,s,,s,28.6%,,19,11,97.7%,43,,12,
s,,,,,,,,s,,,,
11,,s,,,100.0%,,,100.0%,,s,,s
15,s,,s,s,,s,s,93.8%,s,,,
115,25.6%,,13.4%,32.9%,,27,23,98.3%,82,,21,
s,,,,,,,,s,,,,
s,,,,,,,,s,,,,
s,,,,,,,,s,,,,
16,s,,s,s,,s,s,100.0%,s,,s,
s,s,,s,s,,s,s,s,s,,s,
s,s,,s,s,,s,s,s,s,,,
275,s,s,s,58.2%,96.9%,59,32,96.2%,150,s,33,s
10,38.3%,,70.2%,s,,s,s,7.4%,47,,,
6,s,,s,s,,s,s,100.0%,s,,s,
s,,s,,,s,,,s,,s,,s
61,,,,,,,,89.7%,,,,
s,s,,s,s,,s,s,s,s,,,
24,s,,s,s,,s,s,92.3%,12,,s,
s,,,,,,,,s,,,,
s,36.0%,,88.0%,s,,s,s,s,25,,8,
s,s,,s,s,,s,s,s,s,,,
s,s,,s,s,,s,s,s,6,,s,
s,s,,s,s,,s,s,s,10,,,
13,,,,,,,,43.3%,,,,
s,s,,s,s,,s,s,s,s,,,
s,,,,,,,,s,,,,
73,25.0%,,8.2%,16.7%,,31,27,100.0%,73,,,
s,s,,s,s,,s,s,s,s,,,
30,,,,,,,,100.0%,,,,
139,s,,s,46.7%,,11,7,98.6%,35,,20,
10,60.0%,,52.0%,s,,s,7,25.0%,25,,8,
24,45.7%,,40.0%,s,,10,s,42.1%,35,,9,
126,35.3%,,s,s,,10,s,90.6%,18,,,
15,s,,s,s,,s,s,100.0%,s,,,
66,s,s,s,48.4%,95.6%,9,s,97.1%,32,s,s,s
s,s,,s,s,,s,s,s,s,,s,
s,,,,,,,,s,,,,
38,,,,,,,,97.4%,,,,
s,s,,s,s,,s,s,s,s,,,
29,43.8%,,s,s,,6,s,78.4%,16,,,
s,s,s,s,s,s,s,s,s,s,s,s,s
50,22.1%,,85.3%,s,,s,s,13.7%,190,,61,
15,23.4%,,83.1%,s,,s,s,9.3%,77,,16,
s,,,,,,,,s,,,,
26,s,s,s,66.7%,100.0%,s,s,100.0%,11,s,s,s
s,,,,,,,,s,,,,
57,83.3%,,57.9%,s,,s,s,91.9%,19,,,
31,s,s,s,s,96.9%,s,s,96.9%,9,s,,s
10,30.0%,,s,s,,9,6,50.0%,20,,s,
s,,s,,,s,,,s,,s,,s
27,,s,,,100.0%,,,100.0%,,s,,s
s,,s,,,s,,,s,,s,,s
s,s,,s,s,,s,s,s,s,,s,
s,,s,,,s,,,s,,s,,s
