ela_level_4_1,category,male,asian,special_program,white_1,ell_korean,school_name,ell_korean_1,ell_french,math_level_1_1,ela_l3_l4,ela_l3_l4_1,other,ela_level_2_1,grade_4,ell_bengali
52.9%,Receive free or reduced price lunch,6,12,Gifted and Talented,24.0%,,P.S. 032 Samuel Mills Sprole,,,s,16,94.1%,s,s,s,
,Receive free or reduced price lunch,s,s,Dual Language,s,,"Elementary School for Math, Science, and Technolog",,,s,,,s,,,
,English Language Learners,s,s,Dual Language,s,s,"Elementary School for Math, Science, and Technolog",s,s,s,,,s,,,s
s,English Language Learners,21,s,Dual Language,s,s,James Weldon Johnson,s,s,63.6%,s,s,s,s,,s
s,English Language Learners,38,s,Dual Language,s,s,P.S. 153 Adam Clayton Powell,s,s,57.1%,s,s,s,38.2%,13,s
s,Students in temporary housing,s,8,Gifted and Talented,s,,P.S. 164 Caesar Rodney,,,s,s,s,s,s,,
54.3%,All Students,55,31,Gifted and Talented,25.3%,,P.S. 111 Adolph S. Ochs,,,s,34,97.1%,s,s,s,
50.0%,All Students,73,16,Gifted and Talented,57.6%,,P.S. 163 Alfred E. Smith,,,s,81,96.4%,11,s,31,
81.3%,Receive free or reduced price lunch,s,15,Gifted and Talented,s,,P.S. 176 Ovington,,,s,s,s,s,s,,
,English Language Learners,s,s,Dual Language,s,s,P.S. 131 Brooklyn,s,s,,,,s,,,s
s,Receive free or reduced price lunch,23,s,Dual Language,s,,P.S. 098 Shorac Kappock,,,46.5%,s,s,s,45.2%,10,
,All Students,s,s,Dual Language,s,,P.S. 131 Brooklyn,,,,,,s,,,
,English Language Learners,s,s,Dual Language,s,s,P.S. 345 Patrolman Robert Bolden,s,s,,,,s,,,s
s,Attend school outside district of residence,9,s,Dual Language,s,,Washington Heights Expeditionary Learning School,,,s,s,s,s,s,,
8.5%,Receive free or reduced price lunch,54,s,Dual Language,s,,P.S. 165 Robert E. Simon,,,34.1%,28,34.1%,s,32.9%,22,
,Students with Disabilities,s,s,Dual Language,s,,P.S. 003 The Bedford Village,,,,,,s,,,
,Attend school outside district of residence,s,s,Dual Language,s,,P.S. 276 Louis Marshall,,,,,,s,,,
,Students in temporary housing,s,s,Gifted and Talented,s,,P.S. 130 Hernando De Soto,,,,,,s,,,
s,Students in temporary housing,7,s,Dual Language,s,,P.S. 109 Sedgwick,,,s,s,s,s,s,,
s,Students with Disabilities,s,s,Gifted and Talented,s,,P.S. 165 Robert E. Simon,,,s,s,s,s,s,s,
s,Students with Disabilities,s,s,Dual Language,s,,The Lexington Academy,,,s,s,s,s,s,s,
