black,grade_2,ell_chinese_1,other_1,ell_haitian_creole_1,grade_3,female,math_level_1,ela_level_3,male_1
s,s,,s,,s,19,s,7,24.0%
s,,,s,,s,s,s,,s
s,,s,s,s,s,s,s,,s
s,13,s,s,s,12,23,7,s,47.7%
s,14,s,s,s,13,41,20,s,48.1%
s,s,,s,,s,s,s,s,s
s,26,,s,,20,40,s,15,57.9%
15,24,,7.3%,,30,78,s,39,48.3%
s,,,s,,,s,s,s,s
s,,s,s,s,,s,,,s
s,,,s,,21,20,20,s,53.5%
s,,,s,,,s,,,s
s,s,s,s,s,,s,,,s
s,s,,s,,6,7,s,s,56.3%
s,19,,s,,18,63,28,21,46.2%
s,,,s,,,s,,,s
s,,,s,,,s,,,s
s,,,s,,,s,,,s
s,,,s,,s,9,s,s,43.8%
s,s,,s,,s,s,s,s,s
s,,,s,,,s,s,s,s
s,51,s,s,s,36,115,109,s,59.8%
106,29,,s,,29,71,s,18,47.4%
s,s,,s,,s,s,s,s,s
s,,s,s,s,,s,,,s
6,18,,s,,,28,,,58.8%
s,s,,s,,,s,s,s,s
s,s,,s,,s,9,s,s,65.4%
s,7,,s,,,11,,,50.0%
s,s,,s,,6,19,s,9,40.6%
s,,,s,,,s,s,s,s
s,,,s,,s,s,s,s,s
7,,,s,,,s,s,s,s
s,,,s,,,14,,,53.3%
s,s,,s,,s,s,s,s,s
s,s,,s,,,s,,,s
s,,,s,,,38,25,18,47.9%
s,,,s,,,s,s,s,s
s,,,s,,,18,,,40.0%
s,36,,s,,20,71,19,s,49.6%
21,7,,s,,7,18,s,15,55.0%
14,12,,s,,16,27,s,16,52.6%
12,40,,s,,20,81,s,6,41.7%
s,s,,s,,s,8,s,s,46.7%
s,13,s,s,s,15,32,18,s,52.9%
s,s,,s,,s,s,s,s,s
s,,,s,,,s,,,s
s,,,s,,,23,,,41.0%
s,,,s,,,s,s,s,s
s,7,,s,,9,20,s,7,45.9%
s,s,,s,,s,s,s,s,s
s,s,,s,,,s,,,s
22,,,s,,21,16,s,19,52.9%
s,,,s,,,12,10,s,45.5%
s,10,,s,,s,10,s,s,58.3%
s,,,s,,,8,,,50.0%
s,12,s,s,s,12,18,s,7,57.1%
s,,,s,,s,s,s,s,s
s,s,,s,,s,s,s,s,s
s,s,,s,,s,7,s,s,56.3%
s,,,s,,,37,58,s,57.0%
s,s,,s,,,s,s,s,s
s,19,s,s,s,30,57,34,s,48.2%
s,,,s,,,s,s,s,s
10,30,,s,,25,76,40,s,51.0%
s,,,s,,,13,10,s,50.0%
s,s,,s,,,s,,,s
s,32,,8.2%,,32,96,s,42,51.0%
s,17,,9.5%,,12,46,6,s,45.2%
s,,s,s,s,,s,,,s
s,,s,s,s,,20,,,41.2%
s,,,s,,,s,s,s,s
s,14,,s,,29,45,s,42,55.4%
s,10,s,s,s,,13,,,65.8%
s,s,,s,,,6,,,50.0%
16,s,,s,,8,26,9,27,57.4%
s,18,,s,,17,74,15,21,41.3%
s,s,s,s,s,s,s,s,s,s
s,10,,s,,12,18,s,s,53.8%
s,,,s,,,s,,,s
s,9,,s,,10,29,s,14,48.2%
s,36,s,s,s,21,69,19,s,50.7%
s,20,31.0%,s,s,s,31,7,s,46.6%
s,18,,s,,22,51,s,10,53.2%
s,8,s,s,s,12,31,s,s,44.6%
s,,,s,,s,s,s,s,s
s,s,,s,,6,7,s,9,66.7%
s,,,s,,,30,49,s,56.5%
54,11,,s,,12,38,s,15,38.7%
s,s,,s,,s,s,s,s,s
s,13,,s,,9,16,s,9,52.9%
s,s,s,s,s,s,s,s,,s
s,s,s,s,s,6,11,13,s,42.1%
s,16,,s,,9,31,s,s,45.6%
s,s,,s,,s,6,s,s,64.7%
6,25,,s,,20,41,9,14,44.6%
s,s,,s,,s,6,s,s,62.5%
9,s,,s,,11,41,22,21,53.4%
7,16,,20.3%,,,36,,,43.8%
7,8,,s,,s,s,s,s,s
s,27,,s,,17,45,9,s,44.4%
s,s,,s,,21,21,s,11,58.8%
s,,,s,,s,s,s,s,s
7,10,,s,,s,10,s,6,56.5%
s,,,s,,,s,s,s,s
9,s,,s,,s,12,s,6,53.8%
109,52,,2.5%,,52,126,s,69,47.5%
s,,,s,,,s,s,s,s
s,,,s,,s,s,s,s,s
10,,,s,,,41,,,48.8%
s,s,,s,,s,7,s,s,46.2%
s,,,s,,s,s,s,,s
s,,,s,,s,s,s,s,s
s,,,s,,,10,,,44.4%
10,s,,s,,14,21,6,s,53.3%
22,53,,6.3%,,71,278,28,138,49.7%
s,16,,s,,19,66,20,6,43.6%
s,14,,s,,31,47,s,44,54.8%
s,,s,s,s,,s,,,s
s,19,s,s,s,9,31,s,s,40.4%
s,s,,s,,s,16,20,s,64.4%
s,s,,s,,6,11,s,s,45.0%
s,,,s,,,s,,,s
s,14,,s,,,19,,,29.6%
s,,,s,,,s,s,s,s
s,,s,s,s,,s,s,s,s
s,,,s,,,9,13,s,59.1%
s,s,,s,,9,28,9,7,36.4%
s,s,s,s,s,,s,s,s,s
s,25,,s,,20,61,27,s,44.5%
8,s,,s,,15,41,22,s,34.9%
s,,,s,,,s,s,s,s
s,,,s,,,s,s,s,s
s,s,,s,,,s,,,s
s,,,s,,,s,,,s
10,s,,s,,7,s,s,7,s
s,,,s,,,s,s,s,s
s,s,,s,,11,27,s,13,55.0%
s,s,,s,,s,18,s,12,57.1%
22,14,,s,,,26,,,40.9%
s,,,s,,s,24,s,s,40.0%
s,,s,s,s,,11,11,s,50.0%
s,s,,s,,s,16,7,s,50.0%
s,7,,s,,6,12,s,s,42.9%
s,24,,s,,28,98,20,s,41.7%
s,,,s,,,72,45,38,45.0%
s,s,,s,,s,s,7,s,s
s,s,,s,,s,s,s,s,s
s,,,s,,,s,10,s,s
14,11,,s,,25,56,s,s,46.2%
s,22,,s,,22,103,19,30,40.1%
59,,,3.7%,,,63,82,24,60.9%
s,17,s,s,s,16,36,12,s,37.9%
s,,,s,,s,s,s,s,s
s,35,,s,,18,63,9,10,50.0%
s,,,s,,,6,11,s,50.0%
s,16,,s,,21,61,20,17,44.5%
s,,,s,,,24,39,s,57.9%
6,19,,9.3%,,18,40,s,12,53.5%
s,s,,s,,,s,,,s
15,,,s,,14,9,s,13,59.1%
s,,,s,,,s,s,s,s
s,,,s,,s,s,,,s
s,,,s,,,s,s,s,s
s,s,,s,,s,8,s,s,42.9%
s,25,,s,,27,64,49,s,49.2%
s,,,s,,10,6,8,s,76.9%
16,s,,s,,8,26,9,27,58.1%
s,,,s,,,s,,,s
s,,,s,,s,s,s,s,s
s,,,s,,,59,66,s,50.8%
s,s,,s,,s,s,s,s,s
s,s,,s,,s,23,6,s,28.1%
s,,,s,,,s,s,s,s
s,,,s,,,14,11,s,48.1%
s,,,s,,,38,60,s,57.8%
s,,,s,,,s,s,s,s
s,s,,s,,s,8,s,6,52.9%
s,s,,s,,s,13,s,s,38.1%
s,,,s,,,10,s,8,56.5%
s,,s,s,s,,s,,,s
s,,,s,,,s,,,s
s,,,s,,,s,,,s
28,17,,s,,12,39,s,s,43.5%
s,23,,s,,,41,,,45.3%
s,64,,9.3%,,64,212,s,75,45.4%
12,37,,s,,17,73,s,s,42.1%
s,s,,s,,,s,s,s,s
12,,,s,,,7,8,s,65.0%
s,,,s,,s,s,s,s,s
s,10,s,s,s,9,17,8,s,41.4%
8,,,s,,21,12,s,14,42.9%
s,s,,s,,,s,,,s
s,,,s,,,s,s,s,s
s,,,s,,,s,,,s
s,17,,s,,17,69,13,21,42.0%
s,,s,s,s,,s,s,s,s
s,6,,s,,7,10,s,8,70.6%
s,,s,s,s,,s,,,s
s,s,,s,,s,s,s,s,s
13,9,,s,,10,28,12,10,49.1%
s,,,s,,,14,11,10,53.3%
s,,,s,,s,s,s,s,s
s,,,s,,s,s,s,s,s
s,,s,s,s,,s,s,,s
7,,,s,,,20,,,62.3%
s,,,s,,27,26,16,18,58.7%
s,s,s,s,s,s,s,s,s,s
s,23,,s,,13,61,17,s,45.0%
s,,s,s,s,,s,,,s
s,15,,s,,,s,,,s
17,17,,s,,7,47,6,21,48.4%
s,,,s,,s,s,s,s,s
s,s,s,s,s,s,s,s,s,s
s,,,s,,s,s,s,s,s
19,17,,s,,12,45,s,s,45.8%
s,,,s,,,s,,,s
s,8,s,s,s,7,29,23,s,50.8%
s,,,s,,,s,,,s
s,34,,s,,17,66,s,6,45.9%
s,,,s,,9,8,8,s,57.9%
s,7,,s,,s,11,s,s,54.2%
s,35,,s,,51,131,60,s,48.4%
s,,s,s,s,,s,,,s
s,,,s,,s,s,s,s,s
s,,s,s,s,,s,,,s
s,,,s,,,s,s,s,s
s,8,,22.0%,,,22,,,46.3%
s,s,,s,,,s,,,s
s,s,,s,,9,25,s,7,50.0%
16,,s,s,100.0%,,s,,,s
s,,,s,,,s,s,s,s
s,s,s,s,s,s,16,11,s,40.7%
s,,,s,,12,8,9,s,60.0%
s,s,,s,,s,17,10,s,65.3%
s,,s,s,s,,s,s,s,s
10,13,,s,,12,45,24,s,48.3%
s,,,s,,s,s,s,s,s
s,22,,s,,,26,,,50.0%
s,s,,s,,s,11,s,7,38.9%
