math_level_3_1,ell_arabic_1,math_level_2_1,ell_other,ell_french_1,ell_spanish,black_1,ell_chinese,dbn,total_enrollment,ell_arabic,grade_7,math_l3_l4,year,ell_russian_1,white
s,,s,,,,s,,15K032,25,,,s,2017-18,,6
s,,s,,,,s,,10X382,s,,,s,2017-18,,s
s,s,s,s,s,s,s,s,10X382,s,s,,s,2017-18,s,s
s,s,s,s,s,42,s,s,04M057,44,s,,s,2017-18,s,s
s,s,31.4%,s,s,76,s,s,06M153,79,s,,s,2017-18,s,s
s,,s,,,,s,,20K164,9,,,s,2017-18,,s
22.9%,,s,,,,s,,02M111,95,,,35,2017-18,,24
10.8%,,s,,,,9.9%,,03M163,151,,,80,2017-18,,87
s,,s,,,,s,,20K176,16,,,s,2017-18,,s
,s,,s,s,s,s,s,15K131,s,s,,,2017-18,s,s
s,,25.6%,,,,s,,06M098,43,,,s,2017-18,,s
,,,,,,s,,15K131,s,,,,2017-18,,s
,s,,s,s,11,s,s,19K345,11,s,,,2017-18,s,s
s,,s,,,,s,,06M348,16,,,s,2017-18,,s
24.4%,,28.0%,,,,s,,03M165,117,,6,31,2017-18,,s
,,,,,,s,,13K003,s,,,,2017-18,,s
,,,,,,s,,18K276,s,,,,2017-18,,s
,,,,,,s,,02M130,s,,,,2017-18,,s
s,,s,,,,s,,09X109,16,,,s,2017-18,,s
s,,s,,,,s,,03M165,s,,,s,2017-18,,s
s,,s,,,,s,,04M072,s,,,s,2017-18,,s
s,s,21.3%,s,s,277,s,s,09X218,286,s,25,s,2017-18,s,s
27.7%,,s,,,,78.5%,,17K316,135,,,46,2017-18,,13
s,,s,,,,s,,17K705,6,,,s,2017-18,,s
,s,,s,s,s,s,s,03M165,s,s,,,2017-18,s,s
,,,,,,8.8%,,04M112,68,,,,2017-18,,s
s,,s,,,,s,,17K316,7,,,s,2017-18,,s
s,,s,,,,s,,09X443,26,,,s,2017-18,,s
,,,,,,s,,14K034,22,,,,2017-18,,19
s,,s,,,,s,,02M217,32,,,s,2017-18,,19
s,,s,,,,s,,02M217,s,,,s,2017-18,,s
s,,s,,,,s,,03M084,6,,,s,2017-18,,s
s,,s,,,,70.0%,,03M256,10,,,s,2017-18,,s
,,,,,,s,,14K250,30,,,,2017-18,,s
s,,s,,,,s,,03M334,s,,,s,2017-18,,s
,,,,,,s,,11X078,s,,,,2017-18,,s
20.5%,,37.0%,,,,s,,10X390,73,,23,21,2017-18,,s
s,,s,,,,s,,05M129,s,,,s,2017-18,,s
,,,,,,s,,14K319,30,,,,2017-18,,s
s,,20.0%,,,,s,,09X311,141,,,s,2017-18,,s
s,,28.0%,,,,52.5%,,13K282,40,,,s,2017-18,,s
28.6%,,s,,,,24.6%,,04M102,57,,,24,2017-18,,s
50.0%,,s,,,,8.6%,,09X011,139,,,s,2017-18,,s
s,,s,,,,s,,06M128,15,,,s,2017-18,,s
s,s,s,s,s,65,s,s,03M075,68,s,,s,2017-18,s,s
s,,s,,,,s,,02M033,8,,,s,2017-18,,s
,,,,,,s,,16K627,s,,,,2017-18,,s
,,,,,,s,,14K319,39,,,,2017-18,,s
s,,s,,,,s,,19K218,s,,s,s,2017-18,,s
s,,s,,,,s,,06M103,37,,,s,2017-18,,s
s,,s,,,,s,,18K068,s,,,s,2017-18,,s
,s,,s,s,s,s,s,02M217,s,s,,,2017-18,s,s
s,,s,,,,s,,20K164,28,,,s,2017-18,,s
35.0%,s,30.0%,s,s,s,s,29,01M020,34,s,,s,2017-18,s,s
s,s,31.7%,s,s,41,s,s,03M247,41,s,11,s,2017-18,s,s
s,,48.1%,,,,100.0%,,17K161,27,,,s,2017-18,,s
s,,s,,,,30.0%,,03M163,20,,,s,2017-18,,7
s,,s,,,,s,,02M198,18,,,s,2017-18,,s
s,,s,,,,s,,13K009,14,,,s,2017-18,,7
18.4%,,s,,,,s,,20K200,74,,,31,2017-18,,55
,s,,s,s,s,s,s,16K627,s,s,,,2017-18,s,s
,,,,,,s,,04M112,27,,,,2017-18,,s
s,,22.5%,,,,s,,12X092,57,,,s,2017-18,,s
s,,s,,,,s,,10X046,s,,,s,2017-18,,s
s,,s,,,,s,,06M128,53,,,s,2017-18,,s
34.0%,,25.5%,,,,s,,20K030,162,,,26,2017-18,,117
s,s,31.3%,s,s,122,s,s,15K024,122,s,,s,2017-18,s,s
s,,s,,,,s,,14K414,12,,,s,2017-18,,s
s,s,s,s,s,58,s,s,06M328,58,s,25,s,2017-18,s,s
s,,31.6%,,,,9.5%,,06M153,147,,,s,2017-18,,s
s,,s,,,,s,,07X161,11,,,s,2017-18,,s
,,,,,,23.7%,,09X449,38,,,,2017-18,,s
s,,s,,,,s,,03M180,7,,,s,2017-18,,s
11.4%,,s,,,,s,,20K104,169,,,88,2017-18,,67
,,,,,,s,,14K018,7,,,,2017-18,,s
35.8%,,30.5%,,,,34.5%,,13K009,287,,,45,2017-18,,88
32.6%,,16.7%,,,,s,,03M084,169,,,113,2017-18,,89
,s,,15,s,s,s,s,14K147,15,s,,,2017-18,s,s
s,,s,,,,s,,06M178,s,,,s,2017-18,,s
s,,s,,,,s,,03M166,20,,,s,2017-18,,6
s,,s,,,,s,,01M378,11,,11,s,2017-18,,s
s,s,77.8%,s,s,22,s,s,13K046,23,s,,s,2017-18,s,s
s,,18.2%,,,,s,,15K094,41,,,s,2017-18,,s
s,,s,,,,s,,14K414,s,,,s,2017-18,,s
35.1%,,s,,,,41.1%,,13K282,141,,,66,2017-18,,47
s,,s,,,,s,,02M124,6,,,s,2017-18,,s
s,,s,,,,11.2%,,06M513,160,,,s,2017-18,,28
,,,,,,s,,13K056,s,,,,2017-18,,s
s,s,37.5%,s,s,24,s,s,10X390,24,s,11,s,2017-18,s,s
s,,s,,,,s,,10X024,21,,,s,2017-18,,s
,,,,,,s,,04M112,37,,,,2017-18,,s
s,,s,,,,s,,14K196,12,,,s,2017-18,,s
s,,s,,,,57.1%,,13K009,28,,,s,2017-18,,s
,,,,,,s,,20K170,s,,,,2017-18,,s
s,,s,,,,s,,04M372,s,,,s,2017-18,,s
,,,,,,s,,08X048,22,,,,2017-18,,s
,,,,,,s,,14K319,s,,,,2017-18,,s
s,,s,,,,s,,02M077,s,,,s,2017-18,,s
s,,s,,,,s,,03M145,18,,,s,2017-18,,s
21.7%,,26.5%,,,,11.0%,,03M075,164,,,30,2017-18,,7
35.0%,,s,,,,24.1%,,01M015,54,,,18,2017-18,,s
s,,s,,,,s,,06M178,s,,,s,2017-18,,s
s,,s,,,,s,,06M048,12,,,s,2017-18,,s
s,,s,,,,s,,20K104,58,,,s,2017-18,,20
s,,s,,,,s,,20K102,s,,,s,2017-18,,s
s,,s,,,,s,,19K159,9,,,s,2017-18,,s
s,s,40.5%,s,s,91,s,s,15K001,91,s,,s,2017-18,s,s
14.9%,,s,,,,10.2%,,08X182,98,,,73,2017-18,,s
s,,s,,,,s,,03M166,9,,,s,2017-18,,s
,,,,,,s,,11X103,s,,,,2017-18,,s
s,,39.7%,,,,s,,06M132,104,,,s,2017-18,,s
38.2%,,s,,,,60.7%,,13K282,61,,,27,2017-18,,9
48.2%,,s,,,,28.1%,,12X214,57,,,45,2017-18,,s
s,,s,,,,42.9%,,14K059,21,,,s,2017-18,,s
s,,33.3%,,,,s,,13K113,30,,16,s,2017-18,,s
s,,s,,,,s,,03M163,s,,,s,2017-18,,s
,,,,,,23.1%,,14K018,52,,,,2017-18,,s
s,,s,,,,s,,04M102,8,,,s,2017-18,,s
s,s,80.0%,s,s,s,100.0%,s,18K068,10,s,,s,2017-18,s,s
s,,s,,,,s,,01M015,7,,,s,2017-18,,s
25.2%,,13.6%,,,,4.0%,,01M184,373,,56,194,2017-18,,7
36.8%,,s,,,,24.2%,,04M102,99,,,42,2017-18,,8
s,,s,,,,s,,20K030,s,,,s,2017-18,,s
s,,35.8%,,,,s,,14K084,95,,,s,2017-18,,8
,s,,s,s,7,s,s,14K018,9,s,,,2017-18,s,s
s,,s,,,,s,,07X584,s,,,s,2017-18,,s
