location,latitude,longitude,:@computed_region_sbqj_enih,vehicle_safety_violations_per_vehicle,affiliated_vehicles,percent_wheelchair_accessible_vehicles,community_board,sector_average_vehicle_safety_violations_per_vehicle,bbl,postcode,injury_crashes_per_vehicle,nta,on_demand_service
"{'latitude': '40.819497', 'longitude': '-73.88907'}",40.819497,-73.88907,24.0,0.11,155.0,0.0,2.0,0.1,2027610018.0,10474.0,0.06,Hunts Point                                                                ,Not Reported
"{'latitude': '40.922042', 'longitude': '-74.069773'}",40.922042,-74.069773,,0.0,16.0,0.0,,0.06,,,0.0,,Not Reported
"{'latitude': '40.711192', 'longitude': '-73.951373'}",40.711192,-73.951373,56.0,0.21,70.0,0.0,1.0,0.1,3023870020.0,11211.0,0.03,North Side-South Side                                                      ,Not Reported
"{'latitude': '40.782137', 'longitude': '-73.826104'}",40.782137,-73.826104,67.0,0.04,53.0,0.0,7.0,0.06,4041480110.0,11357.0,0.02,Whitestone                                                                 ,Not Reported
"{'latitude': '40.764583', 'longitude': '-73.83384'}",40.764583,-73.83384,67.0,0.2,10.0,0.0,7.0,0.09,4049467501.0,11354.0,0.1,Flushing                                                                   ,Not Reported
"{'latitude': '40.701122', 'longitude': '-73.83138'}",40.701122,-73.83138,60.0,0.09,23.0,13.0,9.0,0.09,4092730048.0,11418.0,0.04,Richmond Hill                                                              ,Not Reported
"{'latitude': '40.602225', 'longitude': '-73.99315'}",40.602225,-73.99315,37.0,0.04,27.0,0.0,11.0,0.1,3063480006.0,11214.0,0.0,Bensonhurst West                                                           ,Not Reported
"{'latitude': '40.751777', 'longitude': '-73.930235'}",40.751777,-73.930235,72.0,0.03,35.0,0.0,1.0,0.1,4002140238.0,11101.0,0.0,Hunters Point-Sunnyside-West Maspeth                                       ,Not Reported
"{'latitude': '40.871273', 'longitude': '-73.847835'}",40.871273,-73.847835,32.0,0.02,55.0,0.0,11.0,0.1,2045900040.0,10469.0,0.11,Allerton-Pelham Gardens                                                    ,Not Reported
"{'latitude': '40.779966', 'longitude': '-73.898038'}",40.779966,-73.898038,72.0,0.01,74.0,0.0,1.0,0.06,4008130026.0,11105.0,0.0,Steinway                                                                   ,Yes
"{'latitude': '40.807098', 'longitude': '-73.952675'}",40.807098,-73.952675,18.0,0.16,87.0,0.0,10.0,0.1,1019260061.0,10027.0,0.05,Central Harlem South                                                       ,Not Reported
