latitude,longitude,book_ahead_service,fatal_crash_details,industry_sector,base_provides_safety_training,download_pdf_report,:@computed_region_f5dn_yrer,sector_average_base_safety_violations_per_vehicle,bin
40.819497,-73.88907,Not Reported,,livery,Not Reported,{'url': 'http://www.nyc.gov/html/tlc/downloads/pdf/B01051.pdf'},8.0,0.03,2006322.0
40.922042,-74.069773,Not Reported,,luxury limo,Not Reported,{'url': 'http://www.nyc.gov/html/tlc/downloads/pdf/B01854.pdf'},,0.01,
40.711192,-73.951373,Not Reported,,livery,Not Reported,{'url': 'http://www.nyc.gov/html/tlc/downloads/pdf/B01492.pdf'},36.0,0.03,3062729.0
40.782137,-73.826104,Not Reported,,luxury limo,Not Reported,{'url': 'http://www.nyc.gov/html/tlc/downloads/pdf/B01976.pdf'},22.0,0.01,4099032.0
40.764583,-73.83384,Not Reported,,black car,Not Reported,{'url': 'http://www.nyc.gov/html/tlc/downloads/pdf/B02845.pdf'},22.0,0.02,4308685.0
40.701122,-73.83138,Not Reported,,black car,Not Reported,{'url': 'http://www.nyc.gov/html/tlc/downloads/pdf/B02772.pdf'},46.0,0.02,4539223.0
40.602225,-73.99315,Not Reported,,livery,Not Reported,{'url': 'http://www.nyc.gov/html/tlc/downloads/pdf/B01336.pdf'},1.0,0.03,3165913.0
40.751777,-73.930235,Not Reported,,livery,Not Reported,{'url': 'http://www.nyc.gov/html/tlc/downloads/pdf/B02569.pdf'},39.0,0.03,4445806.0
40.871273,-73.847835,Not Reported,,livery,Not Reported,{'url': 'http://www.nyc.gov/html/tlc/downloads/pdf/B00029.pdf'},59.0,0.03,2056136.0
40.779966,-73.898038,Yes,,luxury limo,Yes,{'url': 'http://www.nyc.gov/html/tlc/downloads/pdf/B01236.pdf'},39.0,0.01,4016134.0
40.807098,-73.952675,Not Reported,,livery,Not Reported,{'url': 'http://www.nyc.gov/html/tlc/downloads/pdf/B00919.pdf'},18.0,0.03,1058485.0
40.675852,-73.96356,Not Reported,,livery,Not Reported,{'url': 'http://www.nyc.gov/html/tlc/downloads/pdf/B01741.pdf'},16.0,0.03,3028882.0
40.765944,-73.912989,Not Reported,,livery,Not Reported,{'url': 'http://www.nyc.gov/html/tlc/downloads/pdf/B00992.pdf'},39.0,0.03,4011371.0
40.756839,-73.999141,Yes,,black car,Yes,{'url': 'http://www.nyc.gov/html/tlc/downloads/pdf/B02067.pdf'},12.0,0.02,1012498.0
40.803251,-73.90843,Yes,,luxury limo,Yes,{'url': 'http://www.nyc.gov/html/tlc/downloads/pdf/B00078.pdf'},49.0,0.01,2004009.0
40.59092,-73.961,Not Reported,,black car,Not Reported,{'url': 'http://www.nyc.gov/html/tlc/downloads/pdf/B02429.pdf'},32.0,0.02,3195540.0
40.617782,-74.101897,Not Reported,,livery,Not Reported,{'url': 'http://www.nyc.gov/html/tlc/downloads/pdf/B01268.pdf'},4.0,0.03,5006704.0
40.737289,-73.89592,Not Reported,,luxury limo,Not Reported,{'url': 'http://www.nyc.gov/html/tlc/downloads/pdf/B02457.pdf'},53.0,0.01,
40.625703,-73.939761,Not Reported,,black car,Not Reported,{'url': 'http://www.nyc.gov/html/tlc/downloads/pdf/B02639.pdf'},5.0,0.02,3208261.0
40.752235,-73.85365,Not Reported,,livery,Not Reported,{'url': 'http://www.nyc.gov/html/tlc/downloads/pdf/B00290.pdf'},65.0,0.03,4044997.0
40.735627,-73.93612,Not Reported,,black car,Not Reported,{'url': 'http://www.nyc.gov/html/tlc/downloads/pdf/B00111.pdf'},53.0,0.02,4003618.0
40.75273,-74.006408,No,,black car,No,{'url': 'http://www.nyc.gov/html/tlc/downloads/pdf/B02865.pdf'},12.0,0.02,1079184.0
40.592698,-73.948855,Not Reported,,luxury limo,Not Reported,{'url': 'http://www.nyc.gov/html/tlc/downloads/pdf/B02382.pdf'},32.0,0.01,3336740.0
40.82848,-73.394994,Not Reported,,black car,Not Reported,{'url': 'http://www.nyc.gov/html/tlc/downloads/pdf/B01912.pdf'},,0.02,
40.740878,-73.942043,Not Reported,,luxury limo,Not Reported,{'url': 'http://www.nyc.gov/html/tlc/downloads/pdf/B00837.pdf'},53.0,0.01,4000770.0
40.688403,-73.819306,Not Reported,,livery,Not Reported,{'url': 'http://www.nyc.gov/html/tlc/downloads/pdf/B02050.pdf'},62.0,0.03,4203928.0
40.830027,-73.9723,Not Reported,,luxury limo,Not Reported,{'url': 'http://www.nyc.gov/html/tlc/downloads/pdf/B02662.pdf'},,0.01,
40.752792,-73.88013,Yes,,livery,Yes,{'url': 'http://www.nyc.gov/html/tlc/downloads/pdf/B00889.pdf'},65.0,0.03,4029523.0
40.75273,-74.00641,No,,black car,No,{'url': 'http://www.nyc.gov/html/tlc/downloads/pdf/B02882.pdf'},12.0,0.02,1079184.0
40.681771,-73.98047,Not Reported,,livery,Not Reported,{'url': 'http://www.nyc.gov/html/tlc/downloads/pdf/B01406.pdf'},68.0,0.03,3006280.0
40.733779,-73.635348,Not Reported,,black car,Not Reported,{'url': 'http://www.nyc.gov/html/tlc/downloads/pdf/B02518.pdf'},,0.02,
40.59092,-73.961,Not Reported,,livery,Not Reported,{'url': 'http://www.nyc.gov/html/tlc/downloads/pdf/B02536.pdf'},32.0,0.03,3195540.0
40.717166,-73.857354,Not Reported,,livery,Not Reported,{'url': 'http://www.nyc.gov/html/tlc/downloads/pdf/B02707.pdf'},40.0,0.03,4467417.0
40.823087,-74.155516,Not Reported,,luxury limo,Not Reported,{'url': 'http://www.nyc.gov/html/tlc/downloads/pdf/B02113.pdf'},,0.01,
40.864833,-73.92718,Not Reported,,livery,Not Reported,{'url': 'http://www.nyc.gov/html/tlc/downloads/pdf/B01083.pdf'},47.0,0.03,1064228.0
40.615053,-73.98053,Not Reported,,livery,Not Reported,{'url': 'http://www.nyc.gov/html/tlc/downloads/pdf/B02420.pdf'},1.0,0.03,3133318.0
40.680078,-73.958011,Not Reported,,livery,Not Reported,{'url': 'http://www.nyc.gov/html/tlc/downloads/pdf/B00373.pdf'},69.0,0.03,3057847.0
40.74393,-73.98819,Not Reported,,black car,Not Reported,{'url': 'http://www.nyc.gov/html/tlc/downloads/pdf/B02800.pdf'},11.0,0.02,1015653.0
40.74844,-73.93946,No,,luxury limo,No,{'url': 'http://www.nyc.gov/html/tlc/downloads/pdf/B02512.pdf'},53.0,0.01,4005121.0
