bin,otherbprop,nta2020,residflag,:@computed_region_92fq_4b7q,firecmpany,:@computed_region_yeji_bk3q,pl_firm07,cdtaname20,commntydst,specldst1,councildst,floorsinit,cdta2020
1056462,,MN0703,Residential,23.0,L022,4.0,,MN07 Upper West Side (CD 7 Approximation),107.0,,7.0,,MN07
4623711,,QN1402,Residential,47.0,E265,3.0,1.0,QN14 The Rockaways (CD 14 Approximation),414.0,,31.0,0.0,QN14
1813248,,,Residential,,,,,,,,,7.0,
3026205,,BK0602,Residential,27.0,E220,2.0,,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),306.0,,39.0,4.0,BK06
3050491,,BK0301,Residential,49.0,L102,2.0,,BK03 Bedford-Stuyvesant (CD 3 Approximation),303.0,,36.0,3.0,BK03
3430162,,BK1202,Residential,18.0,E247,2.0,,BK12 Borough Park-Kensington (CD 12 Approximation),312.0,,44.0,0.0,BK12
3132420,,BK1101,Residential,18.0,E247,2.0,,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),311.0,,43.0,2.0,BK11
4275048,,QN1304,Residential,6.0,L165,3.0,,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),413.0,,27.0,1.0,QN13
3429413,,BK1002,Residential,44.0,E284,2.0,,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),310.0,,38.0,0.0,BK10
3429097,,BK0104,Residential,30.0,E206,2.0,,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),301.0,,34.0,0.0,BK01
3430206,,BK0301,Residential,49.0,E235,2.0,,BK03 Bedford-Stuyvesant (CD 3 Approximation),303.0,,36.0,,BK03
1005242,,MN0303,Residential,50.0,L011,4.0,,MN03 Lower East Side-Chinatown (CD 3 Equivalent),103.0,,2.0,5.0,MN03
2130516,,BX0303,Residential,43.0,E082,5.0,,BX03 Morrisania-Crotona Park East (CD 3 Approximation),203.0,,17.0,,BX03
1043244,,MN0802,Residential,51.0,E022,4.0,,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),108.0,,4.0,4.0,MN08
1015022,,MN0401,Residential,10.0,E001,4.0,,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),104.0,,3.0,,MN04
2117123,,BX0303,Residential,43.0,E082,5.0,,BX03 Morrisania-Crotona Park East (CD 3 Approximation),203.0,,17.0,,BX03
1001595,,MN0102,Residential,32.0,E007,4.0,,MN01 Financial District-Tribeca (CD 1 Equivalent),101.0,,1.0,5.0,MN01
3021219,,BK0602,Residential,27.0,Q001,2.0,,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),306.0,,39.0,4.0,BK06
3341846,,BK0301,Residential,49.0,E230,2.0,,BK03 Bedford-Stuyvesant (CD 3 Approximation),303.0,,36.0,0.0,BK03
1063040,0.0,MN1201,Residential,39.0,E067,4.0,,MN12 Washington Heights-Inwood (CD 12 Equivalent),112.0,,10.0,3.0,MN12
3245859,,BK1503,Residential,15.0,L169,2.0,1.0,BK15 Sheepshead Bay-Gravesend (East) (CD 15 Approximation),315.0,,48.0,0.0,BK15
3021283,,BK0602,Residential,27.0,Q001,2.0,,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),306.0,,39.0,33.0,BK06
304877600.00%,,BK0301,Residential,49.0,L102,2.0,,BK03 Bedford-Stuyvesant (CD 3 Approximation),303.0,,36.0,3.0,BK03
3429512,,BK0502,Residential,37.0,E225,2.0,,BK05 East New York-Cypress Hills (CD 5 Approximation),305.0,,42.0,0.0,BK05
2055193,0.0,BX1103,Residential,2.0,L051,5.0,,BX11 Pelham Parkway-Morris Park (CD 11 Approximation),211.0,,12.0,1.0,BX11
3006986,,BK0601,Residential,38.0,E226,2.0,,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),306.0,G - GOWANUS MIXED USE,39.0,0.0,BK06
3429219,,BK0302,Residential,49.0,L111,2.0,,BK03 Bedford-Stuyvesant (CD 3 Approximation),303.0,,36.0,0.0,BK03
3052870,,BK0302,Residential,49.0,E235,2.0,,BK03 Bedford-Stuyvesant (CD 3 Approximation),303.0,,36.0,4.0,BK03
4625277,,QN1203,Residential,6.0,L133,3.0,,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),412.0,,28.0,0.0,QN12
1063989,,MN1202,Residential,39.0,E093,4.0,,MN12 Washington Heights-Inwood (CD 12 Equivalent),112.0,,10.0,5.0,MN12
3079884,,BK0402,Residential,37.0,Q252,2.0,,BK04 Bushwick (CD 4 Equivalent),304.0,,37.0,3.0,BK04
