addressnum,schmiddle,schelmntry,hotelprop,firebattln,schcommnty,enlargemnt,datelstupd,datecomplt,nonresflag,bct2020,otherbinit,ownership,job_status
30,275.0,115.0,,32.0,15.0,,2025-01-15T00:00:00.000,2025-01-15T00:00:00.000,,3006700.0,,Private For-Profit: Individual,5. Completed Construction
2114,210.0,15.0,,41.0,22.0,,2024-10-29T00:00:00.000,,,3076600.0,,Private For-Profit: Individual,3. Permitted for Construction
527,397.0,154.0,,57.0,17.0,,2025-06-02T00:00:00.000,2025-01-27T00:00:00.000,,3030500.0,0.0,Private For-Profit: Corporation,5. Completed Construction
1227,234.0,11.0,,33.0,22.0,,2025-06-24T00:00:00.000,,,3074000.0,,Private For-Profit: Individual,3. Permitted for Construction
2952,184.0,125.0,,43.0,21.0,,2022-12-15T00:00:00.000,,,3036400.0,0.0,Private For-Profit: Corporation,2. Approved Application
37,94.0,875.0,,2.0,2.0,,2023-08-11T00:00:00.000,,,1007300.0,,Private For-Profit: Corporation,3. Permitted for Construction
707,69.0,192.0,,39.0,19.0,,2025-04-09T00:00:00.000,,,3112000.0,0.0,Private For-Profit: Corporation,3. Permitted for Construction
1896,355.0,725.0,,19.0,10.0,,2022-06-10T00:00:00.000,,,2024300.0,,Private For-Profit: Individual,9. Withdrawn
866,126.0,709.0,,18.0,12.0,,2012-01-19T00:00:00.000,2012-01-19T00:00:00.000,,2036502.0,0.0,Private For-Profit: Other,5. Completed Construction
1780,228.0,167.0,,58.0,18.0,,2025-02-20T00:00:00.000,,,3102801.0,,Private For-Profit: Individual,1. Filed Application
2279,172.0,722.0,,19.0,10.0,,2022-10-25T00:00:00.000,,,2025500.0,0.0,Private For-Profit: Individual,2. Approved Application
2104,194.0,220.0,,42.0,20.0,,2022-12-20T00:00:00.000,,,3025400.0,0.0,Private For-Profit: Individual,1. Filed Application
2222,205.0,27.0,,58.0,22.0,,2025-06-25T00:00:00.000,,,3070601.0,0.0,Private For-Profit: Partnership,1. Filed Application
141,98.0,523.0,,8.0,2.0,,2022-08-16T00:00:00.000,,Non-Residential,1011203.0,,Private For-Profit: Corporation,3. Permitted for Construction
410,88.0,521.0,,9.0,2.0,,2018-06-05T00:00:00.000,,,1012700.0,0.0,Private For-Profit: Corporation,9. Withdrawn
80,64.0,404.0,,47.0,27.0,,2025-05-21T00:00:00.000,,,4091603.0,0.0,Private For-Profit: Corporation,1. Filed Application
