lep,grade_04,black_or_african_american_1,grade_06,grade_04_1,grade_07,grade_11_1,shelter_1,grade_03_1
T,,S,,,,S,S,
27,T,S,12,S,12,,S,S
S,,S,,,,S,S,
100,47,S,,S,,,S,S
6,18,S,,S,,,S,S
66,T,S,,S,,,S,S
36,,S,,,,S,S,
66,,S,61,,111,,S,
35,T,S,,S,,,S,S
372,171,S,,S,,,S,S
61,,S,91,,82,,S,
35,,S,51,,44,,S,
334,203,S,,S,,,,S
123,94,S,,S,,,,S
S,,S,,,,S,S,
28,27,S,,S,,,S,S
41,,S,,,,S,S,
8,,S,,,,S,S,
9,22,S,,S,,,S,S
61,64,S,,S,,,S,S
S,,S,28,,31,,S,
12,,S,72,,53,,S,
25,50,S,,S,,,S,S
11,,S,44,,57,S,S,
30,,S,,,,S,S,
S,23,S,,S,,,S,S
37,,S,83,,60,,S,
S,,S,38,,23,,S,
S,,S,,,,S,S,
55,110,S,49,S,31,,S,S
128,105,S,,S,,,S,S
6,S,S,,S,,,S,S
T,,S,71,,53,,S,
8,70,S,,S,,,S,S
S,,S,,,,S,S,
18,12,S,T,S,22,,S,S
13,19,S,,S,,,S,S
6,,S,,,,S,S,
89,47,S,,S,,,S,S
6,35,S,,S,,,S,S
T,,S,68,,57,,S,
49,T,S,,S,,,S,S
72,64,S,,S,,,S,S
S,41,S,,S,,,S,S
124,79,S,,S,,,S,S
S,,S,,,,S,S,
7,,S,,,,S,S,
T,T,S,,S,,,S,S
88,47,S,,S,,,S,S
S,,S,,,,S,S,
S,,S,,,,S,S,
S,7,S,6,S,9,,S,S
7,,S,26,,33,S,S,
S,69,S,,S,,,S,S
S,,S,,,,S,S,
14,55,S,26,S,21,,S,S
28,46,S,,S,,,S,S
S,31,S,,S,,,S,S
28,33,S,10,S,24,,S,S
T,T,S,,S,,,S,S
125,70,S,107,S,82,,S,S
113,,S,155,,139,,S,
29,,S,73,,66,,S,
10,,S,7,,10,S,S,
24,8,S,14,S,11,,S,S
S,,S,,,,S,S,
132,,S,153,,172,,S,
S,22,S,,S,,,S,S
24,,S,,,,S,S,
120,58,,,S,,,,S
9,T,S,26,S,T,,S,S
127,58,S,39,S,37,,S,S
19,,S,,,,S,S,
183,124,S,,S,,,S,S
S,T,S,,S,,,S,S
165,122,S,,S,,,S,S
16,,S,38,,21,,S,
7,25,S,23,S,21,,S,S
12,,S,,,,S,S,
9,42,S,,S,,,S,S
S,,S,,,,S,S,
12,,S,,,,S,S,
S,,S,63,,47,,S,
T,26,S,,S,,,S,S
T,,S,58,,41,,S,
82,87,S,,S,,,S,S
S,,S,,,,S,S,
6,16,S,,S,,,S,S
25,24,S,,S,,,S,S
S,,S,75,,49,,S,
46,38,S,,S,,,S,S
23,48,S,75,S,58,,S,S
S,,S,24,,10,S,S,
9,T,S,21,S,12,,S,S
90,88,S,,S,,,S,S
66,,S,73,,71,,S,
81,,S,43,,39,,S,
22,68,S,,S,,,S,S
S,,S,,,,S,S,
12,14,S,,S,,,S,S
86,70,S,,S,,,,S
18,27,S,,S,,,S,S
T,T,S,,S,,,S,S
7,65,S,73,S,56,S,S,S
68,,S,84,,57,S,S,
17,30,S,,S,,,,S
8,86,S,,S,,,S,S
103,T,S,,S,,,S,S
132,48,S,,S,,,S,S
S,,S,,,,S,S,
12,,S,,,,S,S,
83,34,S,,S,,,S,S
S,,S,,,,S,S,
10,52,S,,S,,,,S
T,,S,37,,36,,S,
16,39,S,,S,,,S,S
7,,S,,,,S,S,
13,10,S,,S,,,S,S
10,,S,,,,,,
S,,S,19,,25,,S,
98,,S,191,,172,,S,
6,,S,27,,27,,S,
S,,S,,,,S,S,
,,S,,,,S,,
52,,S,,,,S,S,
40,71,S,,S,,,S,S
S,28,S,,S,,,S,S
183,104,S,,S,,,,S
27,46,S,,S,,,S,S
37,51,S,,S,,,S,S
T,53,S,,S,,,S,S
T,T,S,,S,,,S,S
17,,S,19,,36,,S,
71,,S,105,,113,,S,
92,78,S,26,S,T,,S,S
20,,S,,,,S,S,
11,,S,,,,S,S,
24,26,S,,S,,,S,S
111,,S,,,,S,S,
9,,S,44,,33,,S,
S,,S,,,,S,S,
104,47,S,,S,,,S,S
29,30,S,,S,,,S,S
15,31,S,,S,,,S,S
6,,S,10,,15,,S,
33,21,S,,S,,,S,S
27,T,S,,S,,,S,S
51,,S,226,,241,,S,
234,,S,,,,S,S,
29,24,S,,S,,,S,S
13,,S,,,,S,S,
13,,S,,,,S,S,
251,,,27,,33,S,S,
S,,S,,,,S,S,
27,,S,33,,26,S,S,
S,,S,35,,23,,S,
24,,S,,,,S,S,
64,,S,,,,S,S,
15,,S,,,,S,S,
20,62,S,,S,,,S,S
23,,S,,,,S,S,
18,,S,37,,25,,S,
45,20,S,,S,,,S,S
S,,S,,,,S,S,
S,,S,,,,S,S,
S,22,S,,S,,,S,S
S,,S,78,,60,,S,
17,,S,,,,S,S,
85,,S,,,,S,S,
169,,S,,,,S,S,
17,,S,35,,24,S,S,
S,,S,,,,S,S,
T,T,S,,S,,,S,S
16,,S,,,,S,S,
84,,S,86,,100,,S,
16,,S,,,,S,S,
41,,S,31,,32,,S,
70,,S,,,,S,S,
21,,S,69,,75,,S,
12,,S,23,,18,,S,
23,43,S,,S,,,S,S
9,,S,,,,S,S,
90,56,S,,S,,,S,S
124,93,S,95,S,107,,S,S
33,43,S,,S,,,S,S
13,24,S,,S,,,S,S
