asian_or_pacific_islander,iep,grade_10,two_or_more_races,grade_08
24,69,80,S,
S,36,,,10
S,35,45,S,
72,43,,,
S,23,,S,
S,63,,S,
117,65,97,S,
S,53,,S,103
8,43,,,
536,82,,S,
S,86,,,97
,39,,,40
850,87,,S,
114,87,,S,
S,9,12,S,
S,15,,,
10,23,36,S,
12,42,52,S,
S,18,,,
137,68,,T,
S,11,,S,26
S,47,,,60
T,73,,S,
8,58,23,S,28
S,12,26,S,
S,28,,15,
59,43,,S,58
S,23,,S,25
S,11,15,S,
225,98,,S,44
19,88,,,
S,13,,S,
27,47,,S,49
S,103,,68,
S,15,27,S,
8,24,,S,16
S,19,,S,
S,39,33,,
S,78,,S,
28,34,,27,
S,51,,S,67
32,57,,S,
40,55,,S,
S,58,,S,
T,86,,S,
11,20,30,,
T,33,45,S,
74,51,,49,
49,45,,S,
9,16,38,S,
20,34,,S,
17,30,54,S,
S,23,19,S,
S,18,15,S,
S,62,,S,27
74,65,,32,48
26,80,,19,
9,27,,S,
24,38,,S,
S,8,15,S,
12,90,,T,29
S,73,,,
30,183,,S,
S,30,,,36
T,83,87,S,
308,100,,T,94
T,39,,16,
S,58,,S,62
S,47,,,
S,11,,S,
S,16,18,S,
S,31,15,,20
8,22,28,S,
10,39,,S,
S,41,23,S,36
72,65,,S,
S,17,17,,
,63,,,
T,T,,,T
18,51,,S,61
219,89,264,T,
S,47,51,S,
S,27,28,,
9,11,12,S,
S,57,,,
S,38,25,,
S,61,38,S,41
S,31,9,,S
S,33,27,S,35
S,8,9,,
S,27,,13,43
9,28,19,S,29
S,61,,S,
S,54,,S,T
86,10,,30,
80,50,,S,173
S,17,10,S,13
S,24,11,S,26
S,45,38,,
22,22,37,S,
S,29,,S,
S,42,,,
18,29,,S,
179,87,,S,
S,19,25,S,
25,82,,S,
95,91,,S,31
S,25,,S,35
S,12,18,S,
S,42,49,S,
S,60,,S,
21,40,,S,
S,10,,S,13
S,34,,,34
,40,,S,
S,19,S,,
S,43,,S,
S,37,68,,S
S,T,,S,
S,28,,,
S,42,,,82
167,46,45,S,45
15,45,,,58
14,10,20,S,
25,47,37,16,58
17,49,,S,
S,47,,S,
11,29,33,S,
276,108,309,6,
S,25,,S,30
143,49,,,
44,58,82,S,
7,44,,S,
S,32,,S,53
28,55,,S,
S,26,,,26
S,17,10,S,
S,17,33,S,
S,58,,S,19
S,39,,S,
7,11,28,S,
23,45,,18,19
S,8,37,S,34
S,44,,S,
S,48,,,40
45,23,,S,
8,13,,S,
30,43,,S,
310,83,,S,
S,86,,T,
,51,,S,63
S,38,,S,47
S,71,,21,
S,47,,,48
48,57,62,26,51
17,29,,S,
S,21,,S,21
S,40,,S,
S,21,,S,
10,26,22,S,11
S,20,22,S,
S,17,,S,
,71,,,80
S,20,,,
S,33,29,S,
S,33,,S,12
S,13,,S,S
S,64,,26,
S,11,,,21
S,20,,,10
59,47,73,S,
24,50,,S,67
327,55,,S,
S,41,,,51
S,12,S,,
49,37,,S,
7,52,46,,
675,12,268,57,
58,34,,16,57
25,39,,T,
30,57,,S,
S,50,,51,
S,21,,,
13,56,,29,
S,35,33,S,
9,32,34,S,
