other_1,grade_1,english_language_learners_2,grade_pk,white_2,male_1,grade_9,female_2,grade_2,asian_1,male_2,english_language_learners_1
20,94,9.4%,36,35.1%,249,0,52.2%,87,8,47.8%,49
11,0,9.4%,0,2.3%,378,231,34.4%,0,11,65.6%,54
7,0,1.7%,0,8.5%,44,66,81.4%,0,3,18.6%,4
3,72,12.7%,18,2.3%,211,0,51.2%,76,41,48.8%,55
4,25,14.4%,13,3.5%,188,0,50.0%,29,20,50.0%,54
27,0,1.5%,0,1.5%,192,160,59.8%,0,47,40.2%,7
5,46,0.6%,0,65.0%,94,0,40.1%,49,27,59.9%,1
3,0,24.0%,0,0.0%,54,0,46.0%,0,5,54.0%,24
23,72,4.7%,36,59.1%,133,0,52.3%,48,45,47.7%,13
4,0,2.2%,0,38.4%,150,0,35.3%,0,11,64.7%,5
2,0,3.5%,0,7.5%,152,0,40.4%,0,6,59.6%,9
30,105,3.6%,0,70.7%,328,0,50.5%,107,85,49.5%,24
3,33,4.5%,18,9.5%,86,0,52.0%,26,13,48.0%,8
3,0,5.9%,35,40.0%,40,0,52.9%,0,30,47.1%,5
14,0,10.3%,0,2.3%,1017,707,50.9%,0,218,49.1%,214
26,50,3.8%,18,38.7%,161,0,49.4%,46,32,50.6%,12
39,88,4.5%,36,61.0%,254,0,47.6%,66,71,52.4%,22
9,0,3.9%,0,6.5%,137,104,66.9%,0,26,33.1%,16
5,48,15.7%,25,3.2%,202,0,49.8%,29,11,50.2%,63
1,0,3.7%,0,4.9%,165,86,61.5%,0,27,38.5%,16
3,0,6.0%,0,4.9%,123,31,53.6%,0,2,46.4%,16
38,0,0.1%,0,23.1%,1923,813,41.5%,0,2375,58.5%,2
17,61,5.3%,36,28.9%,193,0,53.2%,71,48,46.8%,22
0,20,25.7%,0,0.0%,59,0,47.8%,17,5,52.2%,29
1,61,8.6%,62,2.5%,247,0,52.6%,39,3,47.4%,45
2,59,19.8%,54,6.1%,204,0,54.2%,60,10,45.8%,88
19,35,3.0%,54,35.2%,161,0,51.9%,33,12,48.1%,10
16,0,7.8%,0,4.7%,224,159,53.9%,0,36,46.1%,38
10,53,13.0%,49,6.8%,180,0,51.1%,53,9,48.9%,48
5,0,6.3%,0,2.1%,133,133,69.1%,0,24,30.9%,27
0,0,67.9%,0,0.0%,292,154,48.0%,0,0,52.0%,381
6,0,0.0%,234,52.1%,112,0,52.1%,0,40,47.9%,0
4,0,4.7%,0,5.3%,98,0,48.4%,0,3,51.6%,9
8,51,8.6%,54,8.7%,284,0,48.3%,46,40,51.7%,47
2,48,15.7%,31,4.3%,273,0,44.2%,50,9,55.8%,77
3,0,7.5%,0,4.2%,115,96,46.3%,0,17,53.7%,16
4,0,8.9%,0,8.9%,435,244,42.5%,0,173,57.5%,67
15,0,5.0%,0,2.5%,0,117,100.0%,0,12,0.0%,18
2,0,11.0%,0,3.3%,303,109,27.5%,0,25,72.5%,46
63,114,1.4%,18,64.3%,311,0,50.2%,97,57,49.8%,9
7,0,20.6%,0,2.4%,214,156,48.1%,0,3,51.9%,85
11,0,0.0%,51,55.4%,34,0,59.0%,0,8,41.0%,0
40,103,7.3%,0,47.0%,299,0,47.7%,97,40,52.3%,42
13,0,2.0%,0,26.4%,160,0,53.6%,0,22,46.4%,7
0,121,44.3%,35,1.9%,425,0,48.4%,134,696,51.6%,365
4,0,8.9%,0,2.8%,317,227,56.0%,0,32,44.0%,64
69,94,2.2%,0,56.3%,454,0,47.9%,96,179,52.1%,19
5,28,2.2%,18,62.9%,91,0,51.1%,27,28,48.9%,4
5,0,5.6%,0,1.4%,72,9,50.0%,0,2,50.0%,8
6,0,0.4%,0,15.4%,210,146,56.3%,0,151,43.8%,2
23,0,0.2%,0,12.8%,189,126,58.9%,0,103,41.1%,1
20,0,0.5%,0,33.2%,240,186,63.6%,0,252,36.4%,3
1,0,12.5%,0,1.0%,107,0,46.5%,0,3,53.5%,25
13,0,8.5%,0,21.9%,192,0,47.5%,0,147,52.5%,31
34,73,17.3%,36,8.6%,332,0,49.9%,77,471,50.1%,115
1,0,10.2%,0,4.8%,196,148,41.0%,0,22,59.0%,34
64,0,0.7%,0,34.5%,356,115,49.6%,0,120,50.4%,5
7,0,9.0%,0,1.5%,232,90,43.6%,0,10,56.4%,37
26,162,13.0%,18,3.4%,500,0,48.5%,178,853,51.5%,126
16,0,0.2%,0,35.1%,233,142,62.4%,0,224,37.6%,1
4,0,4.8%,0,1.1%,135,98,64.2%,0,7,35.8%,18
1,0,94.4%,0,12.7%,217,81,36.0%,0,55,64.0%,320
5,39,6.4%,33,7.4%,162,0,42.6%,44,20,57.4%,18
0,27,14.0%,0,4.0%,50,0,50.0%,13,2,50.0%,14
2,0,15.5%,0,6.3%,76,0,46.5%,0,1,53.5%,22
4,0,4.5%,0,5.3%,520,466,69.9%,0,367,30.1%,77
32,0,0.0%,0,65.8%,211,0,52.2%,0,66,47.8%,0
4,0,7.3%,0,0.7%,199,171,62.9%,0,9,37.1%,39
8,0,7.7%,0,4.6%,116,123,72.0%,0,62,28.0%,32
7,0,5.1%,0,38.7%,666,0,46.4%,0,336,53.6%,64
0,19,13.1%,0,2.0%,52,0,47.5%,16,2,52.5%,13
10,0,0.2%,0,63.7%,165,120,67.5%,0,87,32.5%,1
20,100,5.3%,36,58.7%,299,0,53.3%,109,59,46.7%,34
0,0,87.8%,0,6.8%,119,42,46.2%,0,141,53.8%,194
16,0,6.4%,0,3.4%,289,223,57.7%,0,35,42.3%,44
36,0,2.7%,0,7.2%,135,130,67.5%,0,30,32.5%,11
9,0,9.5%,0,1.7%,191,125,53.6%,0,9,46.4%,39
2,0,79.8%,0,12.6%,144,115,54.6%,0,115,45.4%,253
7,0,2.3%,0,5.8%,134,141,73.9%,0,13,26.1%,12
6,0,62.8%,0,1.4%,312,0,44.7%,0,333,55.3%,354
6,23,9.3%,65,22.8%,107,0,50.2%,12,9,49.8%,20
7,100,2.5%,0,56.9%,366,0,49.8%,82,50,50.2%,18
0,0,4.9%,0,8.2%,30,8,50.8%,0,2,49.2%,3
6,0,14.6%,0,4.6%,244,112,46.0%,0,10,54.0%,66
6,0,1.3%,0,10.2%,186,106,58.9%,0,116,41.1%,6
3,0,91.1%,0,12.5%,231,117,39.7%,0,80,60.3%,349
0,29,16.8%,20,4.9%,211,0,45.6%,42,10,54.4%,65
4,0,16.1%,0,2.5%,203,109,42.5%,0,4,57.5%,57
1,0,3.2%,0,4.1%,87,5,60.1%,0,1,39.9%,7
5,0,54.9%,0,5.4%,429,0,46.4%,0,215,53.6%,440
15,48,8.3%,31,1.8%,210,0,45.3%,61,24,54.7%,32
8,33,3.1%,54,15.6%,138,0,57.0%,30,19,43.0%,10
0,0,78.4%,0,1.5%,165,117,50.6%,0,9,49.4%,262
10,0,7.1%,0,6.6%,645,346,50.4%,0,196,49.6%,93
9,0,13.0%,0,2.2%,68,121,69.5%,0,36,30.5%,29
8,0,1.7%,0,17.4%,264,0,56.4%,0,29,43.6%,10
