black_1,grade_7,poverty_2,dbn,hispanic_2,students_with_disabilities_2,school_name
77,0,53.2%,03M084,44.7%,17.9%,P.S. 084 Lillian Weber
195,0,89.1%,03M494,60.1%,22.0%,High School of Arts and Technology
101,0,77.1%,02M531,44.5%,8.9%,Repertory Company High School for Theatre Arts
115,0,89.6%,04M083,60.9%,13.2%,P.S. 083 Luis Munoz Rivera
47,49,100.0%,01M140,77.7%,34.3%,P.S. 140 Nathan Straus
152,0,79.7%,02M298,51.3%,15.7%,Pace High School
2,0,16.6%,02M527,13.4%,19.7%,P.S. 527 - East Side School for Social Action
17,33,94.0%,01M332,75.0%,28.0%,University Neighborhood Middle School
9,0,11.8%,02M343,13.3%,15.1%,The Peck Slip School
61,71,47.4%,02M422,28.9%,25.4%,Quest to Learn
120,93,100.0%,03M258,42.4%,32.9%,Community Action School - MS 258
23,0,13.0%,02M290,8.5%,13.9%,P.S. 290 Manhattan New School
45,0,81.0%,01M063,56.4%,33.0%,The STAR Academy - P.S.63
3,0,28.2%,02M281,17.6%,11.8%,The River School
828,0,74.2%,02M520,46.6%,14.2%,Murry Bergtraum High School for Business Careers
36,0,41.5%,01M364,31.8%,19.5%,Earth School
11,0,4.9%,02M089,14.0%,14.2%,P.S. 89
51,0,75.4%,02M439,72.7%,9.9%,Manhattan Village Academy
114,51,100.0%,04M007,64.4%,20.4%,P.S. 007 Samuel Stern
72,0,74.1%,02M439,71.8%,8.9%,Manhattan Village Academy
118,0,74.3%,02M313,48.7%,18.5%,"James Baldwin School, The: A School for Expedition"
36,0,47.3%,02M475,2.4%,0.6%,Stuyvesant High School
46,0,53.6%,01M110,44.2%,14.8%,P.S. 110 Florence Nightingale
65,0,97.3%,03M241,38.1%,26.5%,STEM Institute of Manhattan
404,76,91.7%,03M076,19.2%,16.5%,P.S. 076 A. Philip Randolph
123,0,100.0%,03M145,63.6%,22.7%,"P.S. 145, The Bloomingdale School"
62,23,39.4%,02M225,37.0%,20.0%,Ella Baker School
131,0,75.5%,02M449,57.6%,21.8%,Vanguard High School
93,0,100.0%,03M145,62.8%,22.6%,"P.S. 145, The Bloomingdale School"
99,0,92.1%,02M296,68.2%,18.8%,High School of Hospitality Management
0,0,100.0%,02M542,100.0%,2.7%,Manhattan Bridges High School
24,0,100.0%,02M391,17.9%,4.7%,Pre-K Center District 02
99,67,100.0%,03M421,38.9%,31.6%,West Prep Academy
202,84,70.3%,03M191,45.7%,18.4%,P.S. 191 Amsterdam
145,60,100.0%,01M188,63.8%,28.6%,P.S. 188 The Island School
88,0,84.1%,02M432,45.3%,26.6%,Murray Hill Academy
171,0,80.3%,02M489,45.2%,14.5%,High School of Economics and Finance
196,0,82.2%,02M316,35.4%,20.6%,Urban Assembly School of Business for Young Women
132,0,81.1%,02M300,58.6%,20.6%,Urban Assembly School of Design and Construction
18,0,8.7%,02M040,13.6%,18.3%,P.S. 040 Augustus Saint-Gaudens
99,0,100.0%,02M303,71.1%,21.8%,"Facing History School, The"
4,0,6.0%,02M340,16.9%,12.0%,Sixth Avenue Elementary School
80,0,38.8%,02M151,25.0%,18.9%,Yorkville Community School
91,111,49.9%,03M862,37.1%,18.6%,Mott Hall II
46,0,95.7%,02M002,7.9%,14.7%,P.S. 002 Meyer London
156,0,79.2%,02M529,70.6%,16.5%,Jacqueline Kennedy Onassis High School
38,91,6.7%,02M276,10.9%,15.6%,Battery Park City School
11,0,11.3%,02M150,13.4%,16.1%,P.S. 150
59,0,100.0%,02M625,52.8%,27.8%,High School of Graphic Communication Arts
56,0,69.2%,02M414,40.2%,10.2%,N.Y.C. Museum School
96,0,80.3%,01M650,52.2%,7.9%,Cascades High School
127,87,44.7%,02M422,35.0%,31.6%,Quest to Learn
66,14,89.0%,01M292,55.7%,32.5%,Henry Street School for International Studies
116,0,81.6%,02M392,61.0%,18.0%,MANHATTAN BUSINESS ACADEMY
115,0,100.0%,02M550,49.9%,3.2%,Liberty High School Academy for Newcomers
24,89,42.8%,02M289,17.8%,17.1%,I.S. 289
106,0,58.1%,02M534,49.6%,25.2%,Harvest Collegiate High School
54,0,100.0%,02M459,35.0%,2.7%,Manhattan International High School
77,0,95.2%,04M038,60.7%,25.8%,P.S. 38 Roberto Clemente
18,24,87.2%,01M332,66.3%,40.7%,University Neighborhood Middle School
41,0,25.2%,03M166,17.9%,14.3%,P.S. 166 The Richard Rodgers School of The Arts and Technology
110,43,96.5%,01M034,62.0%,30.1%,P.S. 034 Franklin D. Roosevelt
112,0,81.1%,02M449,57.3%,21.5%,Vanguard High School
228,47,53.5%,04M012,29.1%,2.4%,Tag Young Scholars
174,0,28.2%,03M479,22.9%,5.8%,Beacon High School
58,0,99.3%,01M142,74.1%,26.1%,P.S. 142 Amalia Castro
98,0,91.2%,02M296,66.4%,17.8%,High School of Hospitality Management
141,0,68.6%,03M075,52.8%,28.4%,P.S. 075 Emily Dickinson
26,0,100.0%,02M124,3.5%,9.4%,P.S. 124 Yung Wing
84,0,81.8%,01M458,55.6%,15.1%,Forsyth Satellite Academy
64,0,29.2%,02M011,27.8%,14.6%,P.S. 011 William T. Harris
185,0,82.9%,02M425,54.2%,18.9%,Leadership and Public Service High School
108,57,94.9%,01M034,62.6%,32.8%,P.S. 034 Franklin D. Roosevelt
44,0,37.0%,02M151,27.6%,17.2%,Yorkville Community School
167,0,83.9%,02M288,52.4%,16.6%,Food and Finance High School
20,0,8.7%,02M041,7.7%,20.1%,P.S. 041 Greenwich Village
344,0,32.4%,03M485,16.7%,1.7%,Fiorello H. LaGuardia High School of Music & Art and Performing Arts
15,144,14.0%,02M114,9.9%,16.0%,East Side Middle School
76,0,82.4%,02M419,74.8%,19.7%,Landmark High School
314,22,79.5%,03M860,21.9%,25.4%,Frederick Douglass Academy II Secondary School
214,0,85.1%,02M580,59.3%,22.8%,Richard R. Green High School of Teaching
6,0,6.6%,02M267,7.4%,18.1%,"East Side Elementary School, PS 267"
144,0,86.5%,03M185,29.5%,20.3%,P.S. 185 - The Early Childhood Discovery and Design
33,0,32.2%,01M315,24.3%,28.6%,The East Village Community School
28,0,86.3%,02M533,51.6%,17.7%,Union Square Academy for Health Sciences
83,0,88.5%,02M419,68.5%,24.5%,Landmark High School
7,0,4.8%,02M234,7.5%,17.3%,P.S. 234 Independence School
145,0,90.1%,03M242,29.6%,32.7%,P.S. 242 - The Young Diplomats Magnet Academy
76,0,100.0%,02M135,58.4%,21.4%,The Urban Assembly School for Emergency Management
82,0,60.5%,02M033,35.5%,11.4%,P.S. 033 Chelsea Prep
38,20,100.0%,02M442,15.8%,2.0%,"Ballet Tech, NYC Public School for Dance"
434,0,100.0%,02M625,63.8%,18.2%,High School of Graphic Communication Arts
10,0,14.1%,02M150,13.6%,14.1%,P.S. 150
448,0,72.9%,02M520,41.0%,20.3%,Murry Bergtraum High School for Business Careers
145,0,86.0%,01M509,51.0%,28.4%,Marta Valle High School
118,0,80.9%,02M298,45.4%,11.6%,Pace High School
40,0,26.2%,02M212,20.7%,14.9%,P.S. 212 Midtown West
92,113,78.9%,02M126,21.8%,16.8%,P.S. 126 Jacob August Riis
4,0,7.7%,02M267,5.4%,20.7%,"East Side Elementary School, PS 267"
29,0,7.8%,03M199,11.4%,14.1%,P.S. 199 Jessie Isador Straus
124,35,100.0%,04M050,58.5%,33.2%,P.S. 050 Vito Marcantonio
115,38,100.0%,04M050,59.9%,36.6%,P.S. 050 Vito Marcantonio
57,78,89.7%,01M345,57.9%,28.3%,"Collaborative Academy of Science, Technology, & La"
11,0,9.1%,02M397,12.3%,14.0%,Spruce Street School
72,0,10.4%,03M087,15.4%,17.0%,P.S. 087 William Sherman
83,0,88.2%,02M500,55.3%,33.8%,Unity Center for Urban Technologies
84,136,100.0%,03M245,25.4%,14.2%,M.S. M245 The Computer School
194,99,100.0%,04M108,66.8%,18.9%,P.S. 108 Assemblyman Angelo Del Toro Educational C
22,0,17.8%,02M158,13.3%,20.3%,P.S. 158 Bayard Taylor
42,0,8.9%,03M087,14.3%,17.4%,P.S. 087 William Sherman
93,0,79.7%,02M531,50.0%,12.6%,Repertory Company High School for Theatre Arts
112,262,25.9%,03M054,14.4%,12.1%,J.H.S. 054 Booker T. Washington
184,0,59.4%,02M519,38.7%,6.2%,Talent Unlimited High School
143,0,88.6%,03M185,35.9%,16.0%,P.S. 185 - The Early Childhood Discovery and Design
40,21,61.7%,02M442,18.1%,2.7%,"Ballet Tech, NYC Public School for Dance"
69,260,18.1%,03M054,11.6%,11.9%,J.H.S. 054 Booker T. Washington
158,137,28.2%,01M539,11.0%,3.8%,"New Explorations into Science, Technology and Math"
201,104,100.0%,04M108,65.4%,18.1%,P.S. 108 Assemblyman Angelo Del Toro Educational C
29,0,11.5%,02M158,9.8%,16.3%,P.S. 158 Bayard Taylor
124,36,100.0%,04M050,60.4%,33.1%,P.S. 050 Vito Marcantonio
103,0,100.0%,02M308,55.7%,28.6%,Lower Manhattan Arts Academy
431,0,100.0%,02M420,49.7%,10.7%,High School for Health Professions and Human Servi
38,0,88.5%,02M399,32.8%,18.0%,The High School For Language And Diplomacy
94,0,47.7%,03M163,45.7%,14.8%,P.S. 163 Alfred E. Smith
84,19,83.9%,01M292,53.3%,33.1%,Henry Street School for International Studies
78,0,46.0%,02M376,41.8%,13.9%,NYC iSchool
167,0,79.5%,02M489,45.8%,15.0%,High School of Economics and Finance
129,67,100.0%,04M096,71.2%,21.4%,P.S. 096 Joseph Lanzetta
71,0,57.6%,02M198,37.8%,19.8%,P.S. 198 Isador E. Ida Straus
139,103,69.0%,01M450,53.3%,26.6%,East Side Community School
98,0,86.4%,04M037,53.4%,24.4%,River East Elementary
49,0,100.0%,02M001,21.8%,22.5%,P.S. 001 Alfred E. Smith
10,0,100.0%,02M042,3.3%,13.4%,P.S. 042 Benjamin Altman
182,0,25.3%,03M479,23.8%,4.8%,Beacon High School
37,29,91.7%,01M345,50.0%,38.6%,"Collaborative Academy of Science, Technology, & La"
37,15,17.7%,03M859,14.4%,13.4%,Special Music School
34,58,14.0%,03M243,13.6%,4.1%,M.S. 243 Center School
22,92,100.0%,02M260,10.1%,17.3%,M.S. 260 Clinton School Writers & Artists
76,61,100.0%,02M111,60.9%,29.0%,P.S. 111 Adolph S. Ochs
41,55,100.0%,01M301,58.2%,32.9%,"Technology, Arts, and Sciences Studio"
4,0,10.8%,02M267,8.8%,15.5%,"East Side Elementary School, PS 267"
93,0,25.3%,01M696,18.3%,0.7%,Bard High School Early College
48,0,100.0%,01M515,19.8%,2.4%,Lower East Side Preparatory High School
26,62,9.9%,03M334,9.2%,3.5%,The Anderson School
35,0,35.8%,02M412,15.5%,15.0%,N.Y.C. Lab School for Collaborative Studies
74,0,91.0%,04M072,81.2%,24.0%,The Lexington Academy
7,0,100.0%,02M042,3.7%,15.2%,P.S. 042 Benjamin Altman
124,0,77.4%,02M392,62.1%,18.3%,MANHATTAN BUSINESS ACADEMY
100,0,79.3%,01M650,48.2%,8.6%,Cascades High School
206,0,69.6%,02M400,57.2%,14.8%,High School for Environmental Studies
149,87,77.5%,01M450,55.8%,28.1%,East Side Community School
26,0,100.0%,02M135,69.0%,17.2%,The Urban Assembly School for Emergency Management
93,0,79.9%,02M432,54.8%,25.8%,Murray Hill Academy
121,0,77.2%,02M449,57.1%,21.5%,Vanguard High School
165,0,84.0%,01M509,48.9%,24.2%,Marta Valle High School
58,61,70.7%,03M250,54.7%,25.4%,M.S. 250 West Side Collaborative Middle School
1,65,96.8%,03M247,99.1%,20.4%,M.S. M247 Dual Language Middle School
19,0,11.6%,02M040,13.6%,17.2%,P.S. 040 Augustus Saint-Gaudens
85,0,69.0%,02M313,54.4%,14.1%,"James Baldwin School, The: A School for Expedition"
210,0,89.9%,03M494,57.2%,17.4%,High School of Arts and Technology
10,15,8.0%,03M859,8.7%,3.6%,Special Music School
63,0,50.9%,02M198,30.7%,20.6%,P.S. 198 Isador E. Ida Straus
66,67,100.0%,01M140,77.9%,27.0%,P.S. 140 Nathan Straus
38,0,19.5%,03M166,16.8%,13.0%,P.S. 166 The Richard Rodgers School of The Arts and Technology
131,0,79.8%,02M544,59.6%,11.8%,Independence High School
61,0,50.6%,03M417,40.3%,17.6%,Frank Mccourt High School
126,0,88.2%,03M403,61.3%,22.4%,The Global Learning Collaborative
22,0,21.2%,02M212,22.8%,12.4%,P.S. 212 Midtown West
203,35,75.0%,02M655,62.3%,19.8%,Life Sciences Secondary School
170,0,79.4%,02M288,52.0%,15.7%,Food and Finance High School
89,0,88.2%,02M570,60.0%,13.7%,Satellite Academy High School
54,0,100.0%,02M459,47.4%,3.2%,Manhattan International High School
40,65,100.0%,01M140,79.5%,35.3%,P.S. 140 Nathan Straus
57,0,71.3%,03M404,65.3%,11.9%,Innovation Diploma Plus
118,0,71.6%,02M546,50.3%,23.3%,Academy for Software Engineering
83,59,86.4%,03M256,48.5%,30.2%,M.S. 256 Academic & Athletic Excellence
146,0,81.7%,02M615,56.2%,19.2%,Chelsea Career and Technical Education High School
88,0,39.9%,02M011,30.0%,16.7%,P.S. 011 William T. Harris
177,0,60.5%,02M519,39.3%,3.9%,Talent Unlimited High School
28,16,14.1%,03M859,8.9%,10.5%,Special Music School
11,0,14.2%,02M150,17.4%,17.9%,P.S. 150
209,71,75.0%,03M191,43.2%,22.7%,P.S. 191 Amsterdam
140,0,82.7%,03M242,28.5%,29.9%,P.S. 242 - The Young Diplomats Magnet Academy
24,0,93.1%,02M394,22.9%,0.0%,Emma Lazarus High School
115,0,90.1%,01M509,52.2%,27.9%,Marta Valle High School
50,0,72.2%,02M605,56.5%,15.8%,Humanities Preparatory Academy
26,0,67.3%,02M411,13.4%,3.2%,Baruch College Campus High School
218,99,100.0%,04M057,67.5%,26.6%,James Weldon Johnson
85,0,95.0%,04M072,81.5%,21.8%,The Lexington Academy
32,0,48.6%,01M361,30.0%,17.4%,The Children's Workshop School
651,0,82.7%,02M600,53.1%,12.0%,The High School of Fashion Industries
100,0,84.7%,04M037,49.3%,22.3%,River East Elementary
58,123,69.2%,01M839,42.2%,26.8%,Tompkins Square Middle School
78,282,20.9%,03M054,13.9%,12.2%,J.H.S. 054 Booker T. Washington
95,0,81.0%,02M432,53.1%,22.1%,Murray Hill Academy
208,57,58.6%,04M012,25.9%,3.3%,Tag Young Scholars
36,64,9.9%,03M334,9.0%,2.8%,The Anderson School
19,0,89.7%,02M427,89.1%,5.1%,MANHATTAN ACADEMY FOR ARTS & LANGUAGE
15,0,100.0%,02M124,2.8%,9.7%,P.S. 124 Yung Wing
131,0,92.4%,03M185,32.6%,15.6%,P.S. 185 - The Early Childhood Discovery and Design
53,123,69.3%,01M839,40.5%,26.1%,Tompkins Square Middle School
32,0,28.7%,01M315,22.1%,24.6%,The East Village Community School
48,0,83.4%,02M047,64.5%,25.4%,47 The American Sign Language and English Secondar
34,166,95.5%,02M131,14.3%,27.4%,M.S. 131
0,0,100.0%,02M542,99.8%,1.7%,Manhattan Bridges High School
49,101,100.0%,01M378,69.4%,26.2%,School for Global Leaders
114,0,77.5%,02M449,59.0%,21.2%,Vanguard High School
99,74,100.0%,03M421,42.1%,23.6%,West Prep Academy
97,0,90.0%,02M296,68.2%,18.9%,High School of Hospitality Management
17,185,36.9%,02M312,10.3%,14.1%,New York City Lab Middle School for Collaborative
5,0,7.5%,02M267,6.3%,17.5%,"East Side Elementary School, PS 267"
29,0,100.0%,01M515,8.9%,1.2%,Lower East Side Preparatory High School
133,0,70.1%,03M075,56.4%,28.5%,P.S. 075 Emily Dickinson
66,0,100.0%,02M001,15.6%,16.0%,P.S. 001 Alfred E. Smith
215,0,71.9%,02M374,42.8%,18.0%,Gramercy Arts High School
53,0,100.0%,01M020,48.8%,22.7%,P.S. 020 Anna Silver
39,51,91.1%,01M301,59.5%,36.1%,"Technology, Arts, and Sciences Studio"
14,0,89.7%,02M427,84.6%,7.4%,MANHATTAN ACADEMY FOR ARTS & LANGUAGE
25,48,93.2%,01M332,73.5%,28.2%,University Neighborhood Middle School
36,22,100.0%,02M442,16.0%,2.0%,"Ballet Tech, NYC Public School for Dance"
40,0,38.7%,01M363,34.2%,22.0%,Neighborhood School
29,0,21.4%,03M009,21.4%,15.3%,P.S. 009 Sarah Anderson
58,0,75.5%,02M414,40.5%,6.9%,N.Y.C. Museum School
50,23,63.0%,02M442,22.7%,1.9%,"Ballet Tech, NYC Public School for Dance"
18,0,16.8%,02M150,15.2%,15.8%,P.S. 150
202,0,90.2%,03M494,59.0%,20.7%,High School of Arts and Technology
309,25,100.0%,03M415,38.8%,21.9%,Wadleigh Secondary School for the Performing & Vis
144,0,100.0%,02M507,53.6%,19.1%,Urban Assembly Gateway School for Technology
64,125,67.4%,01M839,41.7%,23.4%,Tompkins Square Middle School
74,0,62.3%,03M541,37.9%,9.3%,Manhattan / Hunter Science High School
140,0,85.0%,02M615,57.2%,19.6%,Chelsea Career and Technical Education High School
184,0,92.9%,03M494,60.7%,20.4%,High School of Arts and Technology
45,0,49.7%,02M565,35.8%,5.0%,Urban Academy Laboratory High School
48,89,11.2%,02M276,14.4%,13.2%,Battery Park City School
65,119,68.2%,02M896,23.9%,26.0%,Lower Manhattan Community Middle School
103,0,86.1%,04M037,49.0%,24.0%,River East Elementary
44,0,16.8%,02M003,14.6%,17.0%,P.S. 003 Charrette School
31,0,48.1%,01M361,32.6%,25.6%,The Children's Workshop School
102,0,71.5%,02M294,53.8%,21.8%,Essex Street Academy
72,137,35.8%,03M245,24.3%,16.3%,M.S. M245 The Computer School
