programaddress,sunhourclose,programzipcode,tuehouropen,nta
161 Corbin Place,00:00,11235,08:00,Brighton Beach
320 Beach 94th Street,00:00,11693,08:00,Hammels-Arverne-Edgemere
593 Columbus Avenue,00:00,10024,09:00,Upper West Side
150 East 121st Street,00:00,10035,09:00,East Harlem North
180 Mott Street,00:00,10012,09:00,SoHo-TriBeCa-Civic Center-Little Italy
337 ALEXANDER AVENUE,,10454,,Mott Haven-Port Morris
630 Mother Gaston Blvd,00:00,11212,09:00,Brownsville
1201 PENNSYLVANIA AVENUE,,11239,,Starrett City
69-10 75th St.,,11379,,Middle Village
2164 Ralph Avenue,00:00,11234,09:00,Flatlands
196 Albany Avenue,00:00,11213,09:00,Crown Heights North
2965 Frederick Douglass Blvd,00:00,10039,09:00,Central Harlem North-Polo Grounds
401 St Anns Avenue,00:00,10454,08:00,Mott Haven-Port Morris
1081 Coney Island Avenue,,11230,,Flatbush
1175 Gates Avenue,00:00,11221,09:00,Bushwick South
55 Chrystie Street,00:00,10002,09:00,Chinatown
239 WEST   49 STREET,,10019,,Midtown-Midtown South
100 Gold Street Lower Level,00:00,10038,07:00,Battery Park City-Lower Manhattan
131 BEACH   19 STREET,,11691,,Far Rockaway-Bayswater
122 WEST   27 STREET,00:00,10001,09:00,Midtown-Midtown South
57-17 Shore Front Parkway,00:00,11693,08:00,Hammels-Arverne-Edgemere
805 E. 139TH STREET,00:00,10454,09:00,Mott Haven-Port Morris
755 10th Avenue,00:00,10019,08:00,Clinton
2880 West 12th Street,00:00,11224,08:00,West Brighton
27-40 Hoyt Avenue South,00:00,11102,09:00,Old Astoria
2010 Fulton Street,,11233,,Ocean Hill
161 Corbin Place,00:00,11235,09:00,Brighton Beach
189 Gordon Street,00:00,10304,08:00,Stapleton-Rosebank
37-06 77th Street,00:00,11372,09:00,Jackson Heights
143-22 109th Avenue,00:00,11435,08:00,South Jamaica
1271 60th Street,00:00,11219,09:00,
295 East 138 Street,00:00,10454,08:30,Mott Haven-Port Morris
1641 Madison Avenue,00:00,10029,08:00,East Harlem South
870 Ocean Parkway,00:00,11230,08:30,Flatbush
349 EAST 149TH STREET,00:00,10451,09:00,Melrose South-Mott Haven North
530 West 133rd Street,00:00,10027,08:00,Manhattanville
108 WEST  146 STREET,,10039,,Central Harlem North-Polo Grounds
1201 PENNSYLVANIA AVENUE,00:00,11239,09:00,Starrett City
61-10 QUEENS BLVD.,00:00,11377,09:00,Woodside
155-55 Cross Bay Blvd,00:00,11414,08:00,Lindenwood-Howard Beach
7201 8th Avenue,00:00,11228,09:00,Dyker Heights
265 Henry Street,,10002,,Lower East Side
105 North Portland Avenue,00:00,11205,09:00,Fort Greene
200 West Tremont Avenue,00:00,10453,08:00,University Heights-Morris Heights
168 Grand Street,00:00,10013,09:00,SoHo-TriBeCa-Civic Center-Little Italy
1419 Dorchester Road,00:00,11226,08:00,Flatbush
68-07 Burns Street,00:00,11375,08:00,Forest Hills
239 West 49th Street,00:00,10019,09:00,Midtown-Midtown South
135 West 106 Street,00:00,10025,08:30,Morningside Heights
84 Vermilyea Avenue,00:00,10034,08:00,Marble Hill-Inwood
975 Kelly Street Suite #301,00:00,10459,09:00,Longwood
120 Stuyvesant Place Suite 409,00:00,10301,08:00,West New Brighton-New Brighton-St. George
19 Rogers Avenue,00:00,11216,09:00,Crown Heights North
6409 20th Avenue,00:00,11204,08:30,Bensonhurst West
250 W. 66TH STREET,00:00,10023,09:00,Lincoln Square
3135 Park Avenue,00:00,10451,08:00,East Concourse-Concourse Village
50 Lenox Avenue,00:00,10026,08:00,Central Harlem South
325 East 156th Street,00:00,10451,08:00,Melrose South-Mott Haven North
2322 Third Avenue,00:00,10035,09:00,East Harlem North
9502 Seaview Avenue,00:00,11236,08:00,Canarsie
280 Cherry Street,00:00,10002,08:30,Lower East Side
68-52 Fresh Pond Road,00:00,11385,08:00,Ridgewood
961 Ocean Avenue,00:00,11226,09:00,Flatbush
1315 Franklin Avenue,00:00,10456,08:00,Morrisania-Melrose
546 Main Street,00:00,10044,09:00,Lenox Hill-Roosevelt Island
