location1,monhourclose,programcity,:@computed_region_92fq_4b7q,longitude,frihouropen,dfta_funded,wedhouropen,sathouropen
"{'type': 'Point', 'coordinates': [-73.954127, 40.578026]}",04:00,BROOKLYN,15.0,-73.954127,08:00,Y,08:00,00:00
"{'type': 'Point', 'coordinates': [-73.817309, 40.5877]}",04:00,FAR ROCKAWAY,41.0,-73.817309,08:00,Y,08:00,00:00
"{'type': 'Point', 'coordinates': [-73.970904, 40.788212]}",05:00,NEW YORK,19.0,-73.970904,09:00,Y,09:00,00:00
"{'type': 'Point', 'coordinates': [-73.939037, 40.801704]}",05:00,NEW YORK,35.0,-73.939037,09:00,Y,09:00,00:00
"{'type': 'Point', 'coordinates': [-73.995895, 40.7205]}",05:00,NEW YORK,32.0,-73.995895,09:00,Y,09:00,00:00
"{'type': 'Point', 'coordinates': [-73.923486, 40.812322]}",,BRONX,35.0,-73.923486,,Y,,
"{'type': 'Point', 'coordinates': [-73.905278, 40.663471]}",05:00,BROOKLYN,17.0,-73.905278,09:00,Y,09:00,00:00
"{'type': 'Point', 'coordinates': [-73.885082, 40.651173]}",,BROOKLYN,25.0,-73.885082,,Y,,
"{'type': 'Point', 'coordinates': [-73.876664, 40.709285]}",,FLUSHING,34.0,-73.876664,,Y,,
"{'type': 'Point', 'coordinates': [-73.917858, 40.625065]}",05:00,BROOKLYN,8.0,-73.917858,09:00,Y,09:00,00:00
"{'type': 'Point', 'coordinates': [-73.938974, 40.67388]}",05:00,BROOKLYN,49.0,-73.938974,09:00,Y,09:00,00:00
"{'type': 'Point', 'coordinates': [-73.9365, 40.830242]}",05:00,NEW YORK,36.0,-73.9365,09:00,Y,09:00,00:00
"{'type': 'Point', 'coordinates': [-73.914941, 40.81085]}",04:00,BRONX,35.0,-73.914941,08:00,Y,08:00,00:00
"{'type': 'Point', 'coordinates': [-73.966441, 40.631068]}",,BROOKLYN,26.0,-73.966441,,Y,,
"{'type': 'Point', 'coordinates': [-73.919907, 40.691707]}",05:00,BROOKLYN,30.0,-73.919907,09:00,Y,09:00,00:00
"{'type': 'Point', 'coordinates': [-73.994726, 40.716358]}",05:00,NEW YORK,32.0,-73.994726,09:00,Y,09:00,00:00
