building_location,community_district,census_tract,street_name,address_number,other_required,public_space_type,permitted_amenities,principal_public_space
West side of Broadway between West 50th and 51st Streets,5,131.0,BROADWAY,1633,"2 legitimate theaters (one of 1,600 to 1,800 seats and one of 350 to 650 seats)",Special Permit Arcade; Special Permit Plaza; Underground Concourse,Open Air Cafe,"Emery Roth & Sons; Thomas Balsley Associates (for alteration in 1989); Moed de Armas and Shannon, P.C. (for alteration in 2012); The Office of S. Steve Wygoda, Architects and Planners (for alteration in 2014)"
,9,219.0,WEST 131 STREET,614,,Grove; Large Square; Midblock Open Area; Small Square,,
West side of Broadway between West 47th Street and West 48th Street,5,125.0,BROADWAY,1585,,Through Block Connection,,
West side of Seventh Avenue between West 56th and 57th Streets,5,137.0,SEVENTH AVENUE,888,,Plaza,,Emery Roth & Sons; Thomas Balsley Associates (for alteration)
North side of West 48th Street between Broadway and Eighth Avenue,5,125.0,WEST 48 STREET,235,,Urban Plaza,,Schuman Lichtenstein Claman Efron; Thomas Balsley Associates (for alterations circa 2000 and 2009)
North side of West 57th Street between Eighth and Ninth Avenues,4,139.0,WEST 57 STREET,347,,Plaza,,Philip Birnbaum
Northwest  corner of First Avenue and East 83rd Street,8,138.0,EAST 83 STREET,353,,Plaza,,Philip Birnbaum
"Northeast corner of Second Avenue and East 79th Street. Original BBL: 1542/1101-1545,12,49.",8,138.0,EAST 79 STREET,301,,Plaza,,M. Paul Friedberg; Bill Bott and Mathews Nielsen (for alteration in 2003)
"Bounded by Front, Water, and Wall Streets",1,7.0,WALL STREET,100,,Arcade; Plaza,,Emery Roth & Sons
Northwest corner of Third Avenue and East 84th Street,8,148.01,EAST 84 STREET,171,,Residential Plaza,,Philip Birnbaum; Thomas Balsley Associates
Observation wheel and parking garage on northern commuter lot at the St. George ferry terminal.,1,7.0,RICHMOND TERRACE,155,,,,MPFP
North corner of Maiden Lane and William Street,1,15.02,MAIDEN LANE,59,,Arcade; Plaza,,Alfred Easton Poor Architects; Kohn Pedersen Fox (for alteration)
Southeast corner of Second Avenue and East 62nd Street,8,110.0,EAST 62 STREET,300,,Residential Plaza,,Liebman Liebman Associates
South side of West 56th Street between Eighth and Ninth Avenues,4,139.0,WEST 56 STREET,330,,Arcade; Plaza,,Schuman Lichtenstein & Claman
East side of Third Avenue between East 17th and 18th Streets,6,48.0,EAST 17 STREET,201,,Plaza,,Philip Birnbaum
