pops_number,building_address_with_zip,latitude,bbl,:@computed_region_92fq_4b7q,zip_code,longitude-hour_of_access_required
M050071,"108 FIFTH AVENUE, New York, NY 10011",40.737289,1008177501.0,10,10011,-73.993043-24 Hours
M010031,"17 STATE STREET, New York, NY 10004",40.702892,1000090014.0,32,10004,-74.013878-24 Hours
Q020002,"69-02 QUEENS BOULEVARD, Queens, NY 11377",40.739699,4024320009.0,34,11377,-73.89534-nan
M080062,"300 EAST 93 STREET, New York, NY 10128",40.781993,1015557501.0,1,10128,-73.948325-Restricted Hours
M080099,"750 LEXINGTON AVENUE, New York, NY 10022",40.762669,1013940013.0,51,10022,-73.968262-24 Hours
M060067,"300 EAST 54 STREET, New York, NY 10022",40.756954,1013460049.0,51,10022,-73.966399-24 Hours; Restricted Hours
M060028,"141 EAST 48 STREET, New York, NY 10017@",40.755138,1013037501.0,51,10017,-73.972442-24 Hours
M070006,"201 WEST 70 STREET, New York, NY 10023",40.777798,1011620029.0,19,10023,-73.982788-24 Hours
M010056,"43 PARK PLACE, New York, NY 10007",40.713726,1001260008.0,32,10007,-74.009794-24 Hours
M060008,"132 EAST 35 STREET, New York, NY 10016",40.746873,1008900020.0,50,10016,-73.979696-24 Hours
M060025,"630 FIRST AVENUE, New York, NY 10016",40.745155,1009687501.0,51,10016,-73.971836-24 Hours
M060039,"212 EAST 42 STREET, New York, NY 10017",40.750107,1013150044.0,51,10017,-73.973982-24 Hours
M050086,"65 EAST 55 STREET, New York, NY 10022",40.760886,1012910028.0,51,10022,-73.972133-24 Hours
M050018,"550 MADISON AVENUE, New York, NY 10022",40.761462,1012910010.0,51,10022,-73.973504-24 Hours; Closing for Events; Restricted Hours
M050024,"535 MADISON AVENUE, New York, NY 10022",40.76043,1012900021.0,51,10022,-73.973277-24 Hours
M050004,"500 PARK AVENUE, New York, NY 10022",40.762894,1012940037.0,51,10022,-73.970356-24 Hours
M060059,"309 EAST 48 STREET, New York, NY 10017",40.753512,1013410006.0,51,10017,-73.968588-24 Hours
M080012,"200 EAST 65 STREET, New York, NY 10065",40.764775,1014197502.0,51,10065,-73.963557-Restricted Hours
M040011,"525 EIGHTH AVENUE, New York, NY 10018",40.753821,1007600039.0,10,10018,-73.992669-24 Hours
M080019,"300 EAST 62 STREET, New York, NY 10065",40.762203,1014367501.0,1,10065,-73.96279-24 Hours
M050033,"55 EAST 52 STREET, New York, NY 10055",40.759124,1012880027.0,51,10055,-73.973671-Restricted Hours
M060012,"200 EAST 24 STREET, New York, NY 10010",40.739149,1009040050.0,50,10010,-73.982513-24 Hours
M060007,"115 EAST 34 STREET, New York, NY 10016",40.746892,1008900011.0,50,10016,-73.980165-24 Hours
M080050,"200 EAST 89 STREET, New York, NY 10128",40.78051,1015347501.0,1,10128,-73.952402-Restricted Hours
M060082,"401  EAST 34 STREET, New York, NY 10016",40.743838,1009660001.0,51,10016,-73.972537-24 Hours
M080098,"422 EAST 72 STREET, New York, NY 10021",40.766853,1014667501.0,1,10021,-73.955026-24 Hours
